;;;;;;;;;;;;;;;
BALANCE GENERAL;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
Caja;0;-;-;214,57;-;0,06;-;-;-;-;-;-;-;-;-
Bancos;4.504,94;20.008,17;5.851,43;1.148,37;1.883,51;44,48;-;-;-;-;-;-;-;-;-
Cuentas De Ahorro;0;-;-;-;-;326,95;-;-;-;-;-;-;-;-;-
Fondos;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-
SUBTOTAL DISPONIBLE;4.504,94;20.008,17;5.851,43;1.362,94;1.883,51;371,49;-;-;-;-;-;-;-;-;-
INVERSIONES CP;14.341,88;0;0;4.760,64;0;0;-;-;-;-;-;-;-;-;-
Clientes;4.938,71;4.294,76;2.802,10;5.117,26;2.965,37;2.037,15;-;-;-;-;-;-;-;-;-
Cuentas Corrientes Comerciales;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-
Deudas De Difícil Cobro;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-
Provisiones (db);1.938,60;-;-;-;-;293,24;-;-;-;-;-;-;-;-;-
TOTAL DEUDORES COMERCIALES;3.000,11;4.294,76;2.802,10;5.117,26;2.965,37;1.743,91;-;-;-;-;-;-;-;-;-
Cuentas Por Cobrar A Socios y Accionistas;0;-;-;0;-;0;-;-;-;-;-;-;-;-;-
Anticipos y Avances;0;0;0;0;0;491,73;-;-;-;-;-;-;-;-;-
Anticipo De Imptos. y Contrib.O Saldos A Favor;834,37;1.782,24;706,14;36,12;523,09;345,96;-;-;-;-;-;-;-;-;-
Cuentas Por Cobrar a Trabajadores;-;-;-;-;-;1,77;-;-;-;-;-;-;-;-;-
Activos Biológicos CP;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-
Deudores Varios / Otros Activos No Financieros;1.957,43;0;0;0;0;14,15;-;-;-;-;-;-;-;-;-
TOTAL OTROS DEUDORES;2.791,80;1.782,24;706,14;36,12;523,09;853,61;-;-;-;-;-;-;-;-;-
Materias Primas;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-
