BALANCE GENERAL;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;800200934;0;6.613,12;0;-;6.613,12;0;55.463,49;-;-;4.380,31;51.083,18;0;0;19.046,63;-;0;50.440,22;69.486,84;-;-;-;-;-;24.641,72;24.641,72;-;-;-;-;151.824,87;2.185,94;0;38.292,76;38.292,76;70.154,66;0;0;0;11.438,11;0;0;0;0;0;-;-;-;122.071,46;273.896,33;4.042,26;46.951,07;-;-;-;-;-;-;0;-;175.648,53;175.648,53;4.659,52;-;4.652,34;-;-;0;0;-;235.953,72;0;0;2.140,07;0;-;-;0;0;-;2.140,07;238.093,80;28.511,17;0;0;-;28.511,17;0;1.100,93;0;-;-;6.190,44;-;0;35.802,54;273.896,33
2019;800200934;-;6.760,18;-;-;6.760,18;1.869,64;84.083,40;-;-;-;84.083,40;-;0;20.403,35;-;0;0;20.403,35;-;-;-;-;-;17.630,57;17.630,57;-;-;-;-;130.747,14;1.963,12;0;26.249,32;26.249,32;78.967,74;0;0;0;7.053,15;0;0;0;0;0;-;-;-;114.233,32;244.980,47;0;197.094,55;-;-;-;-;-;4.137,76;966,33;-;3.101,63;8.205,72;2.171,00;-;-;-;-;-;-;-;207.471,27;0;0;2.020,84;0;-;-;0;0;-;2.020,84;209.492,12;28.511,17;0;0;-;28.511,17;0;1.100,93;0;-;-;5.876,26;-;0;35.488,35;244.980,47
2018;800200934;-;12.124,35;-;-;12.124,35;950,93;92.817,28;-;-;-;92.817,28;-;0;15.569,99;-;0;0;15.569,99;-;-;-;-;-;17.765,68;17.765,68;-;-;-;-;139.228,22;0;0;25.626,90;25.626,90;84.117,65;0;0;0;4.782,16;0;0;0;0;0;-;-;-;114.526,71;253.754,93;0;208.448,43;-;-;-;-;-;3.631,33;1.871,15;2.926,87;0;8.429,34;3.599,77;-;-;-;-;-;-;-;220.477,54;0;0;1.123,25;0;-;-;0;0;-;1.123,25;221.600,79;28.511,17;0;0;-;28.511,17;0;818,48;0;-;-;2.824,49;-;0;32.154,14;253.754,93
2017;800200934;0;5.612,97;-;-;5.612,97;0;67.063,24;-;-;-;67.063,24;0;925,75;13.683,74;-;0;0;14.609,49;-;-;-;-;-;17.134,14;17.134,14;-;-;-;-;104.419,83;0;0;4.860,64;4.860,64;85.150,98;0;0;0;7.806,95;0;0;0;0;0;-;-;-;97.818,57;202.238,40;5.042,29;161.217,89;0;-;-;-;-;0;235,44;-;0;235,44;1.076,52;-;-;-;-;-;-;-;167.572,14;0;0;-;0;39,86;1.470,89;0;0;-;1.510,75;169.082,89;28.511,17;0;0;-;28.511,17;0;349,71;0;-;-;4.294,63;-;0;33.155,51;202.238,40
2016;800200934;-;4.465,27;-;-;4.465,27;594,44;51.710,01;-;-;-;51.710,01;-;0;6.002,01;-;0;0;6.002,01;-;-;-;-;-;11.072,18;11.072,18;-;-;-;-;73.843,91;0;0;8.361,42;8.361,42;70.509,48;0;0;0;12.518,24;0;0;0;0;0;-;-;-;91.389,14;165.233,05;4.496,16;129.682,13;-;-;-;-;-;0;87,17;-;0;87,17;1.421,34;-;-;-;-;-;-;-;135.686,80;0;0;1.078,39;0;-;-;0;0;-;1.078,39;136.765,19;28.511,17;0;0;-;28.511,17;0;6.154,04;0;-;-;-6.197,35;-;0;28.467,86;165.233,05
2015;800200934;-;5.311,03;-;-;5.311,03;92,59;63.847,74;-;-;-;63.847,74;0;0;4.670,38;-;0;0;4.670,38;-;-;-;-;-;21.264,23;21.264,23;-;-;-;-;95.185,97;0;0;9.518,98;9.518,98;43.940,39;0;0;0;12.296,09;0;0;0;0;0;-;-;-;65.755,46;160.941,43;5.035,98;128.539,60;-;-;-;-;-;0;203,77;-;0;203,77;1.319,13;-;-;-;-;0;0;-;135.098,47;0;0;872,22;0;-;-;0;0;-;872,22;135.970,69;28.511,17;0;0;-;28.511,17;0;6.039,50;0;-;1.145,40;-10.725,33;-;0;24.970,74;160.941,43
2014;800200934;0,5;842,33;3.863,35;0;4.706,18;0;30.643,07;5.378,94;0;119,14;35.902,88;0;13,96;9.106,28;0;-;11.690,52;20.810,77;0;0;0;7.045,88;566,99;20.069,96;27.682,83;0,86;147,45;110,06;258,36;89.361,01;0;-;-;10.771,00;35.835,37;-;-;0;2.819,59;-;-;-;-;0;0;327,64;327,64;49.753,60;139.114,61;63.430,00;16.760,59;5.565,71;754,33;0;132,56;28,18;0;-;0;0;6.480,78;831,66;1.205,63;6.295,63;3.948,82;3.122,08;0;3.122,08;0;102.075,19;0;0;0;0;0;0;0;0;0;0;102.075,19;0;-;-;28.511,17;28.511,17;0;5.799,38;0;0;2.401,24;0;327,64;-;37.039,42;139.114,61
2013;800200934;0,5;1.361,62;0;0;1.362,12;0;21.627,15;3.333,55;0;135,7;24.825,00;0;143,01;5.458,59;30,04;-;1.038,19;6.669,82;0;10.459,97;0;5.702,44;1.425,31;2.784,84;20.372,56;144;0;0;144;53.373,50;0;-;-;13.327,70;22.648,40;-;-;0;3.675,22;-;-;-;-;0;0;959,35;959,35;40.610,67;93.984,17;28.000,00;13.308,73;3.717,62;445,22;0;102,45;15,53;213,12;-;113,7;0;4.607,65;1.521,12;797,13;6.416,80;0;3.354,09;0;3.354,09;0;58.005,51;0;0;0;0;0;0;0;0;0;0;58.005,51;0;-;-;28.511,17;28.511,17;0;5.720,63;0;0;787,52;0;959,35;-;35.978,66;93.984,17
2012;800200934;0,5;1.135,91;817,39;0;1.953,80;44,21;39.739,60;6.792,37;0;273,36;46.258,61;0;349,36;2.386,41;149,28;-;1.188,49;4.073,55;0;7.048,13;0;5.377,81;1.789,04;1.041,95;15.256,93;127,88;0;0;127,88;67.714,97;0;-;-;14.637,92;20.676,70;-;-;0;5.301,67;-;-;-;-;0;0;594,97;594,97;41.211,26;108.926,23;14.800,00;21.571,86;5.082,87;1.971,37;0;303,49;22,5;78,78;-;0;0;7.459,02;5.862,55;799,96;11.701,55;5.411,10;0;0;0;0;67.606,03;0;0;722,7;0;0;0;0;0;0;722,7;68.328,73;0;-;-;28.511,17;28.511,17;0;5.079,43;0;0;6.411,94;0;594,97;-;40.597,51;108.926,23
2011;800200934;0,3;2.256,77;1.862,66;0;4.119,73;291,41;18.884,84;1.537,58;0;581,11;19.841,30;0;109,3;2.405,87;249,23;-;4.586,28;7.350,68;0;0;0;5.962,37;2.426,63;4.055,05;12.444,05;121,35;0;0;121,35;44.168,51;0;-;-;2.299,19;13.206,82;-;-;0;5.517,19;-;-;-;-;24,96;135,89;0;135,89;21.184,04;65.352,55;0;6.334,36;4.496,12;503,72;0;132,1;20,27;0;-;0;0;5.152,19;841,56;810,81;9.747,98;0;1.013,90;0;1.013,90;0;23.900,80;0;0;0;1.445,40;0;0;0;0;0;1.445,40;25.346,20;0;-;-;28.511,17;28.511,17;0;4.381,67;0;0;6.977,63;0;135,89;-;40.006,36;65.352,55
