BALANCE GENERAL;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;;BALANCE GENERAL
2020;890301960;8,15;15.230,48;0;-;15.238,63;39.177,35;139.304,55;-;-;1.529,28;137.775,28;194,82;0;34.407,05;-;0;23.403,75;58.005,62;-;-;-;-;-;118.019,94;118.019,94;-;-;-;-;368.216,81;10.710,37;0;7.257,50;7.257,50;515.793,43;0;1.823,45;1.823,45;0;0;0;32,83;0;32,83;-;-;-;535.617,58;903.834,39;133.789,35;169.766,13;-;-;-;-;-;-;0;-;0;0;5.435,87;12.370,32;0;-;-;2.414,91;2.414,91;-;323.776,58;182.678,86;13.597,13;3.867,87;0;-;-;19.367,12;12.798,09;-;232.309,07;556.085,65;5.966,30;101.397,44;0;-;107.363,74;0;93.426,68;0;-;-;147.028,52;-;-70,2;347.748,74;;6605,24
2019;890301960;-;6.204,77;-;-;6.204,77;0;145.918,95;-;-;-;145.918,95;-;0;16.917,13;-;0;3.157,31;20.074,44;-;-;-;-;-;107.360,28;107.360,28;-;-;-;-;279.558,44;96.394,04;0;12.056,67;12.056,67;486.617,35;0;1.465,52;1.465,52;0;0;0;32,83;0;32,83;-;-;-;596.566,41;876.124,85;80.650,88;169.031,62;-;-;-;-;-;11.492,96;0;-;2.995,96;14.488,91;4.277,98;-;-;-;-;-;-;-;268.449,39;160.051,99;2.692,01;3.212,16;0;-;-;25.143,29;19.536,25;-;210.635,70;479.085,09;5.966,30;101.397,44;0;-;107.363,74;0;93.825,66;0;-;-;195.850,36;-;0;397.039,76;;2019
2018;890301960;-;4.372,02;-;-;4.372,02;0;133.991,72;-;-;-;133.991,72;-;0;9.380,81;-;0;2.266,38;11.647,19;-;-;-;-;-;94.013,09;94.013,09;-;-;-;-;244.024,01;93.136,83;0;17.596,07;17.596,07;476.115,01;0;1.852,10;1.852,10;0;0;0;32,83;0;32,83;-;-;-;588.732,85;832.756,86;30.369,94;140.349,49;-;-;-;-;-;14.893,10;0;0;0;14.893,10;5.359,15;-;-;-;-;-;-;-;190.971,68;192.325,14;12.069,70;3.282,96;0;-;-;21.631,17;495;-;229.803,97;420.775,65;5.966,30;101.397,44;0;-;107.363,74;0;84.541,28;0;-;-;220.076,19;-;0;411.981,21;;2018
2017;890301960;0,15;5.201,21;-;-;5.201,36;1.086,34;114.132,83;-;-;-;114.132,83;0;0;12.339,96;-;0;1.746,49;14.086,45;-;-;-;-;-;79.036,86;79.036,86;-;-;-;-;213.543,85;76.886,92;0;10.229,75;10.229,75;487.990,55;0;630,54;630,54;0;0;0;32,83;0;32,83;-;-;-;575.770,58;789.314,43;14.821,14;148.852,56;0;-;-;-;-;10.252,12;0;-;0;10.252,12;4.519,22;-;-;-;-;-;-;-;178.445,03;206.341,67;10.609,43;-;0;2.653,08;0;11.888,82;495;-;231.988,00;410.433,04;5.966,30;101.397,44;0;-;107.363,74;0;63.728,26;0;-;-;207.789,39;-;0;378.881,39;;5590,33
2016;890301960;-;14.673,67;-;-;14.673,67;182,54;117.474,22;-;-;-;117.474,22;-;0;9.386,56;-;0;1.960,63;11.347,18;-;-;-;-;-;64.603,38;64.603,38;-;-;-;-;208.280,98;75.193,61;0;14.724,42;14.724,42;463.826,84;0;1.320,76;1.320,76;0;0;0;32,83;0;32,83;-;-;-;555.098,46;763.379,44;5.180,97;141.931,41;-;-;-;-;-;12.567,53;0;-;0;12.567,53;5.132,95;-;-;-;-;-;-;-;164.812,85;184.022,85;11.427,97;2.692,25;0;-;-;6.376,21;1.010,00;-;205.529,29;370.342,14;5.966,30;101.397,44;0;-;107.363,74;0;42.384,15;0;-;-;243.289,40;-;0;393.037,30;;2016
2015;890301960;-;16.083,06;-;-;16.083,06;101,5;146.003,08;-;-;-;146.003,08;0;0;13.820,56;-;0;1.670,12;15.490,68;-;-;-;-;-;64.349,81;64.349,81;-;-;-;-;242.028,13;67.395,02;0;17.103,64;17.103,64;443.224,19;0;1.642,22;1.642,22;0;0;0;32,83;0;32,83;-;-;-;529.397,89;771.426,03;39.723,01;137.818,90;-;-;-;-;-;10.154,10;0;-;257,57;10.411,68;7.225,41;-;-;-;-;0;0;-;195.178,99;95.071,43;24.937,71;2.237,49;0;-;-;15.639,12;1.012,00;-;138.897,75;334.076,74;5.966,30;101.397,44;0;-;107.363,74;0;117.846,05;0;-;54.181,70;157.957,80;-;0;437.349,29;;2015
2014;890301960;1,65;16.510,45;41,14;0;16.553,24;97,24;49.697,42;0;0;0;49.697,42;0;288,17;10.387,50;1.890,88;-;85.670,24;98.236,79;27.556,74;1.271,34;2.147,47;1.944,28;22.460,68;1.458,28;56.838,81;1.004,25;0;0;1.004,25;222.427,74;58.132,75;-;-;26.103,57;322.863,45;-;-;2.702,36;1.427,35;-;-;-;-;111,05;708,86;494.199,02;494.907,88;906.248,40;1.128.676,14;3.333,33;61.988,76;10.299,44;1.881,13;0;203,88;68,13;58,52;-;132,84;14.521,25;27.165,17;1.986,71;8.590,63;704,92;0;0;184,16;184,16;0;103.953,69;146.284,60;0;24.937,18;0;1.187,00;1.012,00;11.671,84;0;0;185.092,61;289.046,29;5.966,30;-;-;0;5.966,30;102.669,75;136.692,80;179.499,28;0;26.653,42;-106.759,58;494.907,88;-;839.629,84;;11317,20075
2013;890301960;1,65;9.331,25;41,14;0;9.374,04;2.779,63;37.708,11;0;0;0;37.708,11;0;392,48;11.881,78;1.560,88;-;74.801,50;88.636,65;23.009,13;1.600,40;851,31;2,08;23.280,02;608,72;49.351,65;1.916,19;0;0;1.916,19;189.766,27;46.352,40;-;-;20.590,20;329.706,16;-;-;1.338,25;501;-;-;-;-;111,05;708,86;494.199,02;494.907,88;893.506,93;1.083.273,20;5.000,00;50.133,22;18.309,96;1.408,06;0;87,71;31,82;24,87;-;376,96;5.646,74;25.886,10;1.752,92;7.149,78;169,31;0;0;288,56;288,56;0;90.379,89;132.046,90;0;24.937,18;0;0;2.497,01;16.828,56;0;0;176.309,65;266.689,54;5.966,30;-;-;0;5.966,30;101.763,62;136.692,80;184.012,64;0;-46.403,12;-60.356,45;494.907,88;-;816.583,66;;9799,5385
2012;890301960;10,25;7.892,01;74,48;0;7.976,74;4.541,71;47.786,15;0;0;0;47.786,15;0;1.279,35;14.405,99;1.817,52;-;67.671,07;85.173,92;16.403,83;6.835,59;8.921,85;2,08;23.455,99;3.232,62;58.851,95;1.889,97;0;0;1.889,97;206.220,44;48.479,64;-;-;22.062,92;356.835,20;-;-;1.226,40;2.859,20;-;-;-;-;111,05;708,86;474.285,20;474.994,06;906.568,46;1.112.788,90;1.578,95;54.617,45;20.786,94;1.849,91;0;381,02;32,9;811;-;0;5.949,99;29.811,78;0;8.706,93;2.461,02;0;0;219,8;219,8;0;97.395,92;115.398,97;0;28.280,24;0;0;2.755,09;21.546,73;0;0;167.981,03;265.376,95;5.966,30;-;-;0;5.966,30;101.589,23;136.692,80;188.526,01;0;-23.308,13;-37.048,32;474.994,06;-;847.411,95;;12774,22075
2011;890301960;19,61;8.732,60;39,26;0;8.791,47;422,2;40.204,90;0;0;0;40.204,90;0;3.488,23;13.788,10;2.636,46;-;59.503,77;79.416,56;26.452,60;1.773,61;2.569,80;2,08;24.401,81;4.706,30;59.906,20;1.891,28;0;0;1.891,28;190.632,60;44.673,65;-;-;38.099,24;394.359,95;-;-;3.380,14;4.257,78;-;-;-;-;12.556,68;970,25;414.591,76;415.562,01;912.889,45;1.103.522,05;48.669,89;87.019,52;16.975,96;2.568,85;0;492,53;40,84;2.398,41;-;0;16.843,98;39.320,55;0;9.258,40;2.132,77;0;0;209,16;209,16;0;186.610,29;45.939,95;0;25.937,18;0;0;2.734,44;26.132,09;0;0;100.743,65;287.353,95;5.966,30;-;-;0;5.966,30;101.955,94;136.692,80;193.039,38;0;-37.048,32;0;415.562,01;-;816.168,11;;11600,3745
