BALANCE GENERAL;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;860004137;0;69.911,26;0;-;69.911,26;0;19.037,40;-;-;1.068,55;17.968,85;0;398,04;0;-;0;7.465,27;7.863,31;-;-;-;-;-;9.392,59;9.392,59;-;-;-;-;105.136,01;0;0;0;0;10.711,82;0;1,42;1,42;1.382,15;0;0;0;0;0;-;-;-;12.095,39;117.231,40;36,83;49.042,38;-;-;-;-;-;-;0;-;5.931,80;5.931,80;0;-;1.165,56;-;-;2.058,88;2.058,88;-;58.235,46;0;675,54;0;0;-;-;0;0;-;675,54;58.910,99;29,65;0;0;-;29,65;0;1.847,98;0;-;-;56.442,78;-;0;58.320,40;117.231,40
2019;860004137;-;42.022,62;-;-;42.022,62;412,08;48.161,09;-;-;-;48.161,09;-;0;0;-;0;0;0;-;-;-;-;-;9.991,95;9.991,95;-;-;-;-;100.587,74;1.180,02;0;0;0;9.482,96;0;3,54;3,54;1.275,54;0;0;0;0;0;-;-;-;11.942,06;112.529,79;247,36;46.370,21;-;-;-;-;-;0;1.260,38;-;1.519,97;2.780,35;5.181,26;-;-;-;-;-;-;-;54.579,17;0;980,09;0;0;-;-;0;0;-;980,09;55.559,26;29,65;0;0;-;29,65;0;1.847,98;0;-;-;55.092,92;-;0;56.970,54;112.529,79
2018;860004137;-;33.144,89;-;-;33.144,89;834,98;33.144,55;-;-;-;33.144,55;-;0;0;-;0;0;0;-;-;-;-;-;10.647,76;10.647,76;-;-;-;-;77.772,18;0;0;0;0;10.237,68;0;5,67;5,67;616,4;0;0;0;0;0;-;-;-;10.859,75;88.631,92;0;32.250,31;-;-;-;-;-;0;1.994,40;3.449,86;0;5.444,26;4.245,84;-;-;-;-;-;-;-;41.940,41;0;0;0;0;-;-;0;0;-;0;41.940,41;29,65;0;0;-;29,65;0;1.847,98;0;-;-;44.813,89;-;0;46.691,51;88.631,92
2017;860004137;0;21.059,76;-;-;21.059,76;0;29.239,15;-;-;-;29.239,15;0;746,58;0;-;0;0;746,58;-;-;-;-;-;10.652,87;10.652,87;-;-;-;-;61.698,35;0;0;0;0;11.554,31;0;7,8;7,8;2.405,47;0;0;0;0;0;-;-;-;13.967,57;75.665,93;0;30.760,36;3.025,98;-;-;-;-;0;1.786,25;-;0;4.812,23;872,09;-;-;-;-;-;-;-;36.444,68;0;0;-;0;0;0;0;0;-;0;36.444,68;29,65;0;0;-;29,65;1.153,90;455,31;0;-;-;37.582,39;-;0;39.221,25;75.665,93
2016;860004137;-;15.256,39;-;-;15.256,39;0;25.755,79;-;-;-;25.755,79;-;0;89,23;-;0;886,73;975,97;-;-;-;-;-;8.968,37;8.968,37;-;-;-;-;50.956,52;0;0;0;0;12.494,34;0;0;0;1.600,49;0;0;0;0;0;-;-;-;14.094,82;65.051,34;0;21.891,00;-;-;-;-;-;0;2.331,92;-;3.427,83;5.759,76;0;-;-;-;-;-;-;-;27.650,75;0;0;0;0;-;-;0;0;-;0;27.650,75;29,65;0;0;-;29,65;0;455,31;0;-;-;36.915,63;-;0;37.400,59;65.051,34
2015;860004137;-;41.496,55;-;-;41.496,55;0;26.579,05;-;-;-;26.579,05;0;0;3.827,15;-;0;123,75;3.950,90;-;-;-;-;-;8.430,77;8.430,77;-;-;-;-;80.457,27;0;0;7.902,60;7.902,60;8.050,46;0;39,41;39,41;1.595,83;0;0;0;0;0;-;-;-;17.588,30;98.045,57;0;9.922,93;-;-;-;-;-;0;2.253,41;-;7.635,70;9.889,11;4.560,07;-;-;-;-;0;0;-;24.372,10;0;42.736,05;0;0;-;-;923,95;0;-;43.660,00;68.032,10;29,65;0;0;-;29,65;0;455,31;0;-;4.245,36;25.283,16;-;0;30.013,47;98.045,57
2014;860004137;3,05;216,91;8.180,31;0;8.400,27;5.502,66;26.360,84;7.563,49;4,01;306,38;33.621,95;0;76,91;3.449,86;17,43;-;40,54;3.584,73;2.083,10;1.605,13;4.454,53;0;0;736,46;8.879,22;78,13;435,8;0;513,92;60.502,76;0;-;-;0;5.762,19;-;-;0;0;-;-;-;-;0;0;7.882,98;7.882,98;13.645,16;74.147,92;0;4.279,10;2.520,23;733,52;0;38,2;1,12;9,15;-;417,41;21.102,70;24.822,33;6.361,15;984,91;1.581,63;0;3.770,17;0;3.770,17;0;41.799,30;0;0;0;0;0;0;106,93;0;0;106,93;41.906,23;0;-;-;29,65;29,65;0;455,31;3.873,87;0;6.746,70;13.253,18;7.882,98;-;32.241,69;74.147,92
2013;860004137;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;860004137;3,05;1.710,36;9.645,56;0;11.358,97;389,74;11.897,82;4.768,72;0;44,89;16.621,64;0;131,82;222,2;12,3;-;29,62;395,94;3.195,49;955,96;1.924,23;0;0;457,55;6.533,23;231,34;0;0;231,34;35.530,86;0;-;-;0;3.835,02;-;-;0;779,02;-;-;-;-;0;0;5.667,23;5.667,23;10.281,26;45.812,12;0;2.765,97;1.593,72;507,95;0;175,59;1,06;5,73;-;33,38;14.817,31;17.134,74;1.913,35;664,66;1.590,45;0;786,34;0;786,34;0;24.855,49;0;0;0;0;0;0;342,81;0;0;342,81;25.198,30;0;-;-;29,65;29,65;0;455,31;3.873,88;0;1.077,35;9.510,42;5.667,23;-;20.613,83;45.812,12
2011;860004137;3,13;323,17;7.503,35;0;7.829,64;1.475,73;14.009,89;1.252,64;0;124,55;15.137,99;0;87,29;776;0;-;117,08;980,37;7.490,83;1.128,87;1.039,44;0;0;305,99;9.965,13;83,71;64,74;0;148,45;35.537,31;0;-;-;0;3.725,44;-;-;0;562,87;-;-;-;-;0;0;5.667,23;5.667,23;9.955,54;45.492,85;0;4.590,55;1.952,11;587,67;0;189,67;0,63;7,86;-;137,31;15.759,45;18.634,70;0;534,21;1.501,47;127,78;567,66;0;567,66;0;25.956,37;0;0;0;0;0;0;0;0;0;0;25.956,37;0;-;-;29,65;29,65;0;455,31;3.873,88;0;3.900,79;5.609,63;5.667,23;-;19.536,48;45.492,85
