BALANCE GENERAL; NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;890929497;3,95;8.428,84;0;-;8.432,79;0;22.782,81;-;-;1.136,19;21.646,62;0;51,1;336,91;-;0;646,08;1.034,08;-;-;-;-;-;23.424,51;23.424,51;-;-;-;-;54.538,01;2.223,53;0;0;0;632,28;0;0;0;723,05;0;0;0;0;0;-;-;-;3.578,86;58.116,86;2.620,86;9.952,17;-;-;-;-;-;-;0;-;6.591,50;6.591,50;602,95;495,67;0;-;-;1.305,66;1.305,66;-;21.568,81;6,99;1.757,93;0;0;-;-;909,91;4.023,89;-;6.698,72;28.267,53;51,64;1.464,76;0;-;1.516,40;0;783,71;0;-;-;27.549,22;-;0;29.849,34;58.116,86
2019;890929497;-;3.137,17;-;-;3.137,17;0;20.433,73;-;-;-;20.433,73;-;0;283,15;-;0;69,9;353,05;-;-;-;-;-;26.322,97;26.322,97;-;-;-;-;50.246,92;1.146,53;0;0;0;1.771,99;0;0;0;701,65;0;0;0;0;0;-;-;-;3.620,17;53.867,09;1.382,32;16.573,23;-;-;-;-;-;502,69;0;-;1.183,23;1.685,92;617,61;-;-;-;-;-;-;-;20.259,08;13,52;2.199,97;0;0;-;-;907,38;5.654,98;-;8.775,85;29.034,93;51,64;1.464,76;0;-;1.516,40;0;783,71;0;-;-;22.532,06;-;0;24.832,17;53.867,09
2018;890929497;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;890929497;1,8;1.722,85;-;-;1.724,65;354,48;10.464,83;-;-;-;10.464,83;0;1.049,33;246,36;-;0;0;1.295,69;-;-;-;-;-;17.745,04;17.745,04;-;-;-;-;31.584,70;0;0;10.325,50;10.325,50;1.618,91;0;0;0;626,72;0;0;1.170,53;0;1.170,53;-;-;-;13.741,65;45.326,34;2.768,75;7.739,32;6.656,30;-;-;-;-;0;0;-;0;6.656,30;1.019,48;-;-;-;-;-;-;-;18.183,84;0;7.143,66;-;0;0;0;820,87;2.695,14;-;10.659,67;28.843,51;51,64;1.464,76;0;-;1.516,40;0;783,71;0;-;-;14.182,72;-;0;16.482,83;45.326,34
2016;890929497;-;5.097,35;-;-;5.097,35;602,69;6.334,69;-;-;-;6.334,69;-;0;402,66;-;0;212,95;615,61;-;-;-;-;-;16.586,77;16.586,77;-;-;-;-;29.237,11;270,71;0;7.926,12;7.926,12;1.584,76;-;-;0;752,15;0;0;0;0;0;-;-;-;10.533,75;39.770,86;1.056,75;7.030,91;-;-;-;-;-;0;0;-;6.831,67;6.831,67;1.835,89;-;-;-;-;-;-;-;16.755,22;2.949,95;5.090,17;0;0;-;-;1.070,88;0;-;9.110,99;25.866,21;51,64;1.464,76;0;-;1.516,40;0;325,32;0;-;-;12.062,93;-;0;13.904,65;39.770,86
2015;890929497;29,05;1.035,29;18,32;0;1.082,67;1.532,48;10.171,14;0;729,78;388,96;10.511,96;0;2.576,56;339,25;27,04;-;294,69;3.237,54;1.026,32;1.137,54;0;11.946,97;7,23;2.395,09;16.513,14;0;0;0;0;32.877,79;365,06;-;-;0;956,94;-;-;0;0;-;-;-;-;0;0;613,39;613,39;1.935,38;34.813,18;300,7;8.093,70;671,21;47,04;0;11,98;1,89;60,06;-;159,52;5.262,11;6.213,80;932,8;441,89;0;0;8.178,99;457,81;8.636,80;0;24.619,69;0;0;0;0;0;0;0;0;0;0;24.619,69;51,64;-;-;0;51,64;1.464,76;325,32;4.410,67;0;1.592,34;1.735,38;613,39;-;10.193,49;34.813,18
2014;890929497;27,05;584,4;7,83;0;619,28;557,66;8.647,33;0;197,6;141;8.703,93;26,65;1.011,31;1.310,16;163,95;-;171,71;2.683,79;1.321,23;3.432,16;1,38;6.817,93;105,9;1.740,32;13.418,92;8,23;0;0;8,23;25.991,81;0;-;-;0;1.078,21;-;-;0;0;-;-;-;-;0;4,6;606,49;611,09;1.689,31;27.681,12;336,26;5.720,50;476,55;43,87;32,87;11,9;5,91;74,61;-;165,66;4.753,21;5.564,57;1.654,59;477,32;0;0;4.940,39;388,58;5.328,97;0;19.082,22;0;0;0;0;0;0;0;0;0;0;19.082,22;51,64;-;-;0;51,64;1.464,76;325,32;4.410,67;0;1.735,42;0;611,09;-;8.598,89;27.681,12
2013;890929497;8;672,91;51,03;0;731,93;1.401,85;6.465,23;0;122,57;122,85;6.464,95;319,33;1.200,34;1.320,85;458,02;-;415,57;3.714,11;759,71;2.586,76;0;5.480,69;140,85;1.117,67;10.085,68;163,43;0,34;0;163,77;22.562,29;0;-;-;0;1.206,10;-;-;0;0;-;-;-;-;0;0;606,49;606,49;1.812,59;24.374,88;414,25;4.729,04;601,68;46,85;0;13,89;1,67;62,61;-;141,16;2.229,91;3.097,77;2.192,05;428,36;0;0;2.637,11;513,58;3.150,69;0;14.012,16;0;0;0;0;0;0;0;0;0;0;14.012,16;51,64;-;-;0;51,64;1.464,76;325,32;4.410,67;0;1.731,47;1.772,38;606,49;-;10.362,72;24.374,88
2012;890929497;4,9;239,96;24,04;0;268,9;1.648,63;4.878,19;0;0;101,78;4.776,41;0;1.106,35;0;216,19;-;677,39;1.999,93;1.075,42;3.278,90;0;4.747,77;48,39;1.315,87;10.466,34;325,01;2,64;0;327,66;19.487,86;189,65;-;-;60,79;1.326,94;-;-;0;0;-;-;-;-;0;114,92;606,49;721,41;2.298,78;21.786,64;819,78;4.031,11;1.143,25;31,81;0;40,59;0;93,78;-;42,21;607,2;1.958,85;1.072,07;443,59;0;0;4.456,64;258,43;4.715,07;0;13.040,47;0;0;0;0;0;0;0;0;0;0;13.040,47;51,64;-;-;0;51,64;1.464,76;325,32;4.410,67;0;1.772,38;0;721,41;-;8.746,17;21.786,64
2011;890929497;1,5;776,35;126,24;0;904,09;1.554,88;7.433,66;0;0;78,06;7.355,60;0;66,86;0;141,02;-;240,6;448,48;649,32;1.315,51;0;3.470,59;12,52;2.243,12;7.691,05;472,04;2,97;0;475,01;18.429,12;539;-;-;31,12;1.555,50;-;-;0;0;-;-;-;-;0;803,1;785,38;1.588,48;3.714,10;22.143,23;21,46;3.750,46;317,36;36,89;0;39,98;0;100,48;-;58,11;1.729,42;2.282,23;1.474,12;407,38;0;0;2.282,77;0;2.282,77;0;10.218,42;0;0;0;0;0;0;0;0;0;0;10.218,42;51,64;-;-;0;51,64;1.464,76;1.198,19;4.566,10;0;1.689,46;1.366,18;1.588,48;-;11.924,81;22.143,23
