,BALANCE GENERAL,NIT,Caja,Bancos,Cuentas De Ahorro,Fondos,SUBTOTAL DISPONIBLE,INVERSIONES CP,Clientes,Cuentas Corrientes Comerciales,Deudas De Difícil Cobro,Provisiones (db),TOTAL DEUDORES COMERCIALES,Cuentas Por Cobrar A Socios y Accionistas,Anticipos y Avances,Anticipo De Imptos. y Contrib.O Saldos A Favor,Cuentas Por Cobrar a Trabajadores,Activos Biológicos CP,Deudores Varios / Otros Activos No Financieros,TOTAL OTROS DEUDORES,Materias Primas,Productos En Proceso,Productos Terminados,M/Cías No Fabricadas Por La Emp,"Materiales, Repuestos y Accesorios",Otros Inventarios y Provisiones,SUBTOTAL INVENTARIOS,Gastos Pagados Por Anticipado,Cargos Diferidos,Amortización Acumulada y Otros,SUBTOTAL DIFERIDO,TOTAL ACTIVO CORRIENTE,Inversiones LP,Activos biológicos no corrientes,CxC comerciales y otras CxC no corrientes,Subtotal Deudores A Largo Plazo,Propiedades Planta Y Equipo,Plusvalía,Activos intangibles distintos de la plusvalía,Subtotal Intangibles,Subtotal Diferidos,Inventarios no corrientes,"Activos por impuestos corrientes, no corriente",Otros activos no financieros no corrientes,Activos LP pignorados como garantía para Vender,Subtotal Otros Activos,De Inversiones Y Otros,De Propiedades Planta Y Equipo,Subtotal Valorizaciones,TOTAL ACTIVO NO CORRIENTE,TOTAL ACTIVO,Obligaciones Financieras,Proveedores CP,Costos y Gastos Por Pagar,Retención En La Fuente,Deudas Con Accionistas O Socios,Impuesto A Las Ventas Retenido,Impuesto De Industria y Comercio Retenido,"Provisiones, Retenciones y Aportes de Nómina",Otras provisiones corrientes,Acreedores,Otras Cuenta Por Pagar,SUBTOTAL CUENTAS POR PAGAR,IMPUESTOS GRAVAMENES Y TASAS,OBLIGACIONES LABORALES,SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.,DIFERIDOS,Anticipos y Avances Recibidos,Otros,SUBTOTAL OTROS PASIVOS,SUBTOTAL BONOS Y PAPELES COMERCIA.,TOTAL PASIVO CORRIENTE,Obligaciones Financieras,Proveedores LP,Subtotal Cuentas Por Pagar,Impuestos Gravámenes y Tasas,Obligaciones Laborales,Subtotal Pasivos Estimad. y Provis.,Subtotal Diferidos,Subtotal Otros Pasivos,Subtotal Bonos y Papeles Comercia.,TOTAL PASIVO NO CORRIENTE,TOTAL PASIVO,Capital Suscrito y Pagado,Prima de emisión,Acciones propias en cartera,Aportes Sociales y Otros,SUBTOTAL CAPITAL SOCIAL,SUBTOTAL SUPERAVIT DE CAPITAL,RESERVAS,REVALORIZACION DEL PATRIMONIO,DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS,RESULTADOS DEL EJERCICIO,RESULTADOS DE EJERCICIOS ANTERIORES,SUPERAVIT POR VALORIZACIONES,INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES,,BALANCE GENERAL
,2020,830033825,0,"4,504.94",0,-,"4,504.94","14,341.88","4,938.71",-,-,"1,938.60","3,000.11",0,0,834.37,-,0,"1,957.43","2,791.80",-,-,-,-,-,"1,788.73","1,788.73",-,-,-,-,"26,427.47",0,0,0,0,"16,070.15",0,248.11,248.11,696.89,0,0,0,0,0,-,-,-,"17,015.15","43,442.62",20.77,429.34,"1,050.38",-,-,-,-,-,0,-,-,"1,050.38","2,051.09","3,637.65","2,883.53",-,-,0,0,-,"10,072.75","6,282.44",0,0,0,0,-,0,"18,774.75",-,"25,057.20","35,129.95","1,304.15",0,0,-,"1,304.15",0,368.49,"2,960.24",-,-,"3,679.80",-,0,,1242.47
,2019,830033825,-,"20,008.17",-,-,"20,008.17",0,"4,294.76",-,-,-,"4,294.76",-,0,"1,782.24",-,0,0,"1,782.24",-,-,-,-,-,"1,659.50","1,659.50",-,-,-,-,"27,744.67",0,0,0,0,"12,089.21",0,459.1,459.1,206.98,0,0,0,0,0,-,-,-,"12,755.29","40,499.96",584.13,"1,220.31",-,-,-,-,-,"2,642.63",955.94,-,"3,609.10","7,207.66","2,202.95",-,-,-,-,-,-,-,"11,215.04","1,474.58",0,0,"23,177.47",-,-,0,0,-,"24,652.04","35,867.09","1,304.15",0,0,-,"1,304.15",0,115.3,0,-,-,"3,213.43",-,0,,2019
,2018,830033825,-,"5,851.43",-,-,"5,851.43",0,"2,802.10",-,-,-,"2,802.10",-,0,706.14,-,0,0,706.14,-,-,-,-,-,"1,120.64","1,120.64",-,-,-,-,"10,480.31",0,0,0,0,"6,401.96",0,472.56,472.56,136.75,0,0,0,0,0,-,-,-,"7,011.26","17,491.57",443.18,420.78,-,-,-,-,-,"1,854.44",0,-,"1,592.64","3,447.08",0,-,-,-,-,-,-,-,"4,311.04","1,469.24",0,0,0,-,-,0,"9,610.35",-,"11,079.59","15,390.63",285,0,0,-,285,0,115.3,0,-,-,"1,700.65",-,0,,2018
,2017,830033825,214.57,"1,148.37",-,-,"1,362.94","4,760.64","5,117.26",-,-,-,"5,117.26",0,0,36.12,-,0,0,36.12,-,-,-,-,-,"1,410.26","1,410.26",-,-,-,-,"12,687.21",0,0,"3,647.60","3,647.60","3,611.21",0,504.73,504.73,988.18,0,0,0,0,0,-,-,-,"8,751.72","21,438.93",47.31,778.26,849.65,-,-,-,-,"1,425.03",99.5,-,0,"2,374.18",0,-,-,-,-,-,-,-,"3,199.75",0,0,-,0,0,0,0,"16,461.87",-,"16,461.87","19,661.61",285,0,0,-,285,0,93.66,0,-,-,"1,398.65",-,0,,258.0166667
,2016,830033825,-,"1,883.51",-,-,"1,883.51",0,"2,965.37",-,-,-,"2,965.37",-,0,523.09,-,0,0,523.09,-,-,-,-,-,821.32,821.32,-,-,-,-,"6,193.30",0,0,"7,537.88","7,537.88","2,251.14",0,443.22,443.22,119.03,0,0,0,0,0,-,-,-,"10,351.27","16,544.56",0,327.53,-,-,-,-,-,0,0,-,"1,106.33","1,106.33",753.1,-,-,-,-,-,-,-,"2,186.96",0,0,0,0,-,-,0,"13,136.36",-,"13,136.36","15,323.32",285,0,0,-,285,0,76.52,0,-,-,859.72,-,0,,2016
,2015,830033825,0.06,44.48,326.95,0,371.49,0,"2,037.15",0,0,293.24,"1,743.91",0,491.73,345.96,1.77,-,14.15,853.61,0,0,0,575.94,0,0,575.94,3.98,484.1,0,488.08,"4,033.03",0,-,-,0,"1,658.69",-,-,0,0,-,-,-,-,0,0,0,0,"1,658.69","5,691.71",10.96,6.94,167.16,25.83,0,0,4.17,78.75,-,96.94,0,372.84,326.63,669.4,0,0,"3,343.87",3.6,"3,347.47",0,"4,734.24",0,0,0,0,0,0,0,0,0,0,"4,734.24",285,-,-,0,285,0,44.95,17.77,0,315.65,294.11,0,-,,305.164
,2014,830033825,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,2014
,2013,830033825,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,2013
,2012,830033825,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,2012
,2011,830033825,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,2011
