,BALANCE GENERAL,NIT,Caja,Bancos,Cuentas De Ahorro,Fondos,SUBTOTAL DISPONIBLE,INVERSIONES CP,Clientes,Cuentas Corrientes Comerciales,Deudas De Difícil Cobro,Provisiones (db),TOTAL DEUDORES COMERCIALES,Cuentas Por Cobrar A Socios y Accionistas,Anticipos y Avances,Anticipo De Imptos. y Contrib.O Saldos A Favor,Cuentas Por Cobrar a Trabajadores,Activos Biológicos CP,Deudores Varios / Otros Activos No Financieros,TOTAL OTROS DEUDORES,Materias Primas,Productos En Proceso,Productos Terminados,M/Cías No Fabricadas Por La Emp,"Materiales, Repuestos y Accesorios",Otros Inventarios y Provisiones,SUBTOTAL INVENTARIOS,Gastos Pagados Por Anticipado,Cargos Diferidos,Amortización Acumulada y Otros,SUBTOTAL DIFERIDO,TOTAL ACTIVO CORRIENTE,Inversiones LP,Activos biológicos no corrientes,CxC comerciales y otras CxC no corrientes,Subtotal Deudores A Largo Plazo,Propiedades Planta Y Equipo,Plusvalía,Activos intangibles distintos de la plusvalía,Subtotal Intangibles,Subtotal Diferidos,Inventarios no corrientes,"Activos por impuestos corrientes, no corriente",Otros activos no financieros no corrientes,Activos LP pignorados como garantía para Vender,Subtotal Otros Activos,De Inversiones Y Otros,De Propiedades Planta Y Equipo,Subtotal Valorizaciones,TOTAL ACTIVO NO CORRIENTE,TOTAL ACTIVO,Obligaciones Financieras,Proveedores CP,Costos y Gastos Por Pagar,Retención En La Fuente,Deudas Con Accionistas O Socios,Impuesto A Las Ventas Retenido,Impuesto De Industria y Comercio Retenido,"Provisiones, Retenciones y Aportes de Nómina",Otras provisiones corrientes,Acreedores,Otras Cuenta Por Pagar,SUBTOTAL CUENTAS POR PAGAR,IMPUESTOS GRAVAMENES Y TASAS,OBLIGACIONES LABORALES,SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.,DIFERIDOS,Anticipos y Avances Recibidos,Otros,SUBTOTAL OTROS PASIVOS,SUBTOTAL BONOS Y PAPELES COMERCIA.,TOTAL PASIVO CORRIENTE,Obligaciones Financieras,Proveedores LP,Subtotal Cuentas Por Pagar,Impuestos Gravámenes y Tasas,Obligaciones Laborales,Subtotal Pasivos Estimad. y Provis.,Subtotal Diferidos,Subtotal Otros Pasivos,Subtotal Bonos y Papeles Comercia.,TOTAL PASIVO NO CORRIENTE,TOTAL PASIVO,Capital Suscrito y Pagado,Prima de emisión,Acciones propias en cartera,Aportes Sociales y Otros,SUBTOTAL CAPITAL SOCIAL,SUBTOTAL SUPERAVIT DE CAPITAL,RESERVAS,REVALORIZACION DEL PATRIMONIO,DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS,RESULTADOS DEL EJERCICIO,RESULTADOS DE EJERCICIOS ANTERIORES,SUPERAVIT POR VALORIZACIONES,INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES,TOTAL PATRIMONIO,TOTAL PASIVO Y PATRIMONIO
,2020,830040872,38.5,"5,623.37",0,-,"5,661.87",0,"20,119.80",-,-,0,"20,119.80",0,"7,653.29",0,-,0,"3,003.13","10,656.42",-,-,-,-,-,0,0,-,-,-,-,"36,438.09",0,0,0,0,188.87,0,0,0,430.29,0,0,0,0,0,-,-,-,619.17,"37,057.25",833.38,"21,776.83",-,-,-,-,-,-,0,-,0,0,"3,644.10",-,"4,848.52",-,-,0,0,-,"31,102.83",0,0,"1,070.37",0,-,-,0,0,-,"1,070.37","32,173.20","4,000.00",0,0,-,"4,000.00",326.23,478.58,0,-,-,79.25,-,0,"4,884.06","37,057.25"
,2019,830040872,-,"5,041.89",-,-,"5,041.89",0,"32,040.91",-,-,-,"32,040.91",-,0,0,-,0,"10,535.75","10,535.75",-,-,-,-,-,0,0,-,-,-,-,"47,618.55",0,0,0,0,211.41,0,0,0,"2,148.15",0,0,0,0,0,-,-,-,"2,359.56","49,978.11",0,"31,368.90",-,-,-,-,-,"3,051.67",0,-,9.93,"3,061.60","6,344.30",-,-,-,-,-,-,-,"40,774.80",0,"5,708.65","1,070.37",0,-,-,0,0,-,"6,779.02","47,553.82","4,000.00",0,0,-,"4,000.00",326.23,478.58,0,-,-,"-2,380.52",-,0,"2,424.29","49,978.11"
,2018,830040872,-,"4,007.34",-,-,"4,007.34",0,"27,654.44",-,-,-,"27,654.44",-,0,0,-,0,"9,922.00","9,922.00",-,-,-,-,-,0,0,-,-,-,-,"41,583.78",0,0,0,0,385.02,0,0,0,"2,882.95",0,0,0,0,0,-,-,-,"3,267.97","44,851.75",0,"24,361.70",-,-,-,-,-,"2,253.97",0,"4,159.42",0,"6,413.39","5,688.73",-,-,-,-,-,-,-,"36,463.82",0,"5,722.06","1,070.37",0,-,-,0,0,-,"6,792.43","43,256.24","3,730.00",0,0,-,"3,730.00",56.23,478.58,0,-,-,"-2,669.31",-,0,"1,595.51","44,851.75"
,2017,830040872,51.1,"4,409.01",-,-,"4,460.11",0,"27,683.28",-,-,-,"27,683.28",0,0,"9,416.37",-,0,"1,503.66","10,920.03",-,-,-,-,-,"1,687.73","1,687.73",-,-,-,-,"44,751.15",0,0,0,0,109.21,0,267.91,267.91,432.3,0,0,0,0,0,-,-,-,809.42,"45,560.57",0,"16,082.82","2,263.35",-,-,-,-,0,0,-,0,"2,263.35","12,304.55",-,-,-,-,-,-,-,"30,650.71",0,"10,134.18",-,0,0,300,0,0,-,"10,434.18","41,084.89","3,730.00",0,0,-,"3,730.00",56.23,478.58,0,-,-,210.87,-,0,"4,475.69","45,560.57"
,2016,830040872,-,"1,277.73",-,-,"1,277.73",0,"17,947.88",-,-,-,"17,947.88",-,0,"6,424.73",-,0,"1,463.51","7,888.24",-,-,-,-,-,"1,382.06","1,382.06",-,-,-,-,"28,495.92",0,0,0,0,172.26,0,293.59,293.59,432.3,0,0,0,0,0,-,-,-,898.14,"29,394.06",450,"12,190.09",-,-,-,-,-,0,0,-,"6,960.95","6,960.95","3,767.31",-,-,-,-,-,-,-,"23,368.36",0,"3,662.05",300,0,-,-,0,0,-,"3,962.05","27,330.40","3,730.00",0,0,-,"3,730.00",56.23,478.58,0,-,-,"-2,201.16",-,0,"2,063.65","29,394.06"
,2015,830040872,-,"2,173.34",-,-,"2,173.34",0,"15,492.67",-,-,-,"15,492.67",0,0,"4,070.52",-,0,0,"4,070.52",-,-,-,-,-,232.07,232.07,-,-,-,-,"21,968.61",0,0,0,0,145.91,0,249.98,249.98,0,0,0,0,0,0,-,-,-,395.88,"22,364.49","1,548.37","9,845.69",-,-,-,-,-,0,463.22,-,"6,337.59","6,800.81","2,791.27",-,-,-,-,0,0,-,"20,986.14",0,0,"1,018.00",0,-,-,0,0,-,"1,018.00","22,004.14","3,730.00",0,0,-,"3,730.00",56.23,478.58,0,-,"-4,957.65","1,053.18",-,0,360.35,"22,364.49"
,2014,830040872,13.9,"1,636.07",1.06,0,"1,651.03",0,"4,397.12","6,628.96",0,0,"11,026.07",0,"1,640.08","2,968.89",0,-,279.04,"4,888.01",0,0,0,232.07,0,"3,900.00","4,132.07",0,0,0,0,"21,697.18",0,-,-,0,305.19,-,-,45.03,0,-,-,-,-,0,0,0,0,350.22,"22,047.40","1,510.88","2,470.92",275.83,213.56,0,60.22,15.89,107.79,-,136.28,"1,421.66","2,231.23","2,200.39","1,118.42",463.22,0,"5,262.46",0.7,"5,263.16",0,"15,258.21",0,0,0,0,0,0,0,0,0,0,"15,258.21","3,730.00",-,-,0,"3,730.00",56.23,465,0,0,43.45,"2,494.51",0,-,"6,789.19","22,047.40"
,2013,830040872,13.6,35.69,1.05,0,50.33,200.93,"8,998.45",2.87,0,0,"9,001.32",0,"1,532.67","1,846.52",0,-,685.42,"4,064.60",0,0,0,"1,893.82",0,0,"1,893.82",0,0,0,0,"15,211.00",0,-,-,0,607.72,-,-,38.3,19.01,-,-,-,-,0,0,0,0,665.04,"15,876.04",859.23,"1,457.72",41.79,89.48,0,20.53,17.06,72.74,-,88.79,"1,865.82","2,196.21","1,463.27",909.71,463.22,0,"1,780.29",0.65,"1,780.94",0,"9,130.30",0,0,0,0,0,0,0,0,0,0,"9,130.30","3,730.00",-,-,0,"3,730.00",56.23,465,0,0,92.35,"2,402.16",0,-,"6,745.74","15,876.04"
,2012,830040872,13.5,"4,913.14",574.13,0,"5,500.77",200.93,"11,150.57",171.48,0,0,"11,322.05",0,828.08,"1,609.98",0,-,708.07,"3,146.13",0,0,0,"5,026.73",0,0,"5,026.73",0,0,0,0,"25,196.61",0,-,-,0,986.64,-,-,48.01,190.95,-,-,-,-,0,0,0,0,"1,225.60","26,422.21",0,"6,346.25",93.61,98.71,0,136.68,21.23,130.74,-,79.12,"1,690.67","2,250.75","1,863.50",732.38,274.08,0,"5,597.34",3.6,"5,600.94",0,"17,067.90",0,0,"2,700.92",0,0,0,0,0,0,"2,700.92","19,768.82","3,730.00",-,-,0,"3,730.00",56.23,115,0,0,"1,650.39","1,101.77",0,-,"6,653.39","26,422.21"
,2011,830040872,9.15,"1,177.42",0,0,"1,186.57",200.93,"7,963.20",10.72,0,0,"7,973.91",0,361.34,"1,175.68",0,-,651.99,"2,189.01",0,0,0,0,0,0,0,0.49,0,0,0.49,"11,550.92",0,-,-,0,"1,123.54",-,-,0,360.8,-,-,-,-,0,0,0,0,"1,484.34","13,035.26",988.8,989.53,98.62,24.94,0,36.59,14,112.73,-,69.41,714.86,"1,071.15","1,426.34",574.85,277.18,0,0,3.51,3.51,0,"5,331.34",0,0,"6,200.92",0,0,0,0,0,0,"6,200.92","11,532.26",230,-,-,0,230,56.23,115,0,0,"1,101.76",0,0,-,"1,503.00","13,035.26"
