BALANCE GENERAL;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;860511232;16,5;1.327,34;0;-;1.343,84;5.374,19;20.326,50;-;-;0;20.326,50;0;0;1.763,25;-;0;364,8;2.128,05;-;-;-;-;-;388,85;388,85;-;-;-;-;29.561,42;0;0;0;0;1.636,47;0;82,43;82,43;311,38;0;0;0;315,51;315,51;-;-;-;2.345,78;31.907,20;0;9.796,32;0;-;-;-;-;-;0;-;-;0;953,52;3.383,39;396,62;-;-;7.203,45;7.203,45;-;21.733,30;0;209,39;0;0;0;-;65,81;0;-;275,2;22.008,50;2.122,30;10.869,40;0;-;12.991,70;0;0;0;-;-;-3.093,00;-;0;9.898,70;31.907,20
2019;860511232;-;2.228,06;-;-;2.228,06;566,3;19.033,49;-;-;-;19.033,49;-;0;1.836,69;-;0;0;1.836,69;-;-;-;-;-;607,37;607,37;-;-;-;-;24.271,90;0;0;0;0;1.948,54;0;94,87;94,87;796,12;0;0;193,16;0;193,16;-;-;-;3.032,68;27.304,59;0;8.782,92;-;-;-;-;-;2.667,30;264,94;-;6.124,20;9.056,43;269,27;-;-;-;-;-;-;-;18.108,63;0;6.332,14;7,48;0;-;-;0;0;-;6.339,62;24.448,24;2.121,70;0;0;-;2.121,70;0;2.270,16;0;-;-;-1.535,51;-;0;2.856,34;27.304,59
2018;860511232;-;3.049,29;-;-;3.049,29;66,3;12.652,80;-;-;-;12.652,80;-;0;2.842,86;-;0;0;2.842,86;-;-;-;-;-;527,56;527,56;-;-;-;-;19.138,80;0;0;0;0;2.371,89;0;74,92;74,92;628,28;0;0;63,16;0;63,16;-;-;-;3.138,26;22.277,06;0;4.983,10;-;-;-;-;-;1.717,61;264,94;-;4.955,86;6.938,40;154,31;-;-;-;-;-;-;-;12.075,81;0;3.716,06;0;0;-;-;0;0;-;3.716,06;15.791,87;2.121,70;0;0;-;2.121,70;0;2.270,16;0;-;-;2.093,33;-;0;6.485,19;22.277,06
2017;860511232;-;5.715,01;-;-;5.715,01;66,3;11.248,41;-;-;-;11.248,41;-;0;0;-;0;0;0;-;-;-;-;-;1.118,31;1.118,31;-;-;-;-;18.148,03;0;0;0;0;2.415,81;0;232,34;232,34;435,6;0;0;110,34;0;110,34;-;-;-;3.194,09;21.342,12;0;2.099,44;0;-;-;-;-;1.250,67;254,92;5.857,02;0;7.362,61;123,02;-;-;-;-;-;-;-;9.585,07;0;2.748,30;0;0;-;-;0;0;-;2.748,30;12.333,37;2.121,70;0;0;-;2.121,70;0;1.800,77;0;-;-;5.086,29;-;0;9.008,76;21.342,12
2016;860511232;-;4.522,06;-;-;4.522,06;53,5;11.855,95;-;-;-;11.855,95;-;0;0;-;0;26,4;26,4;-;-;-;-;-;1.163,82;1.163,82;-;-;-;-;17.621,73;0;0;0;0;2.825,62;0;422,66;422,66;153,17;0;0;216,23;0;216,23;-;-;-;3.617,68;21.239,40;0;1.653,59;-;-;-;-;-;1.215,24;230,28;-;3.945,05;5.390,58;107,28;-;-;-;-;-;-;-;7.151,45;0;4.917,43;0;0;-;-;566,27;0;-;5.483,71;12.635,15;2.121,70;0;0;-;2.121,70;0;2.270,16;0;-;-;4.212,39;-;0;8.604,25;21.239,40
2015;860511232;36,11;2.354,19;1.008,14;2.576,34;5.974,78;0;557,32;4,73;0;377,68;184,36;0;340,89;2.083,07;0;-;8.216,05;10.640,00;0;0;0;823,8;0;-65,16;758,63;168,31;182,27;0;350,58;17.908,36;0;-;-;0;874,88;-;-;0;1.757,90;-;-;-;-;202,71;0;0;0;2.835,50;20.743,86;0;219,58;25,58;69,58;0;12,67;6,42;82,34;-;120,41;3.279,91;3.596,92;71,39;1.015,29;169;5.831,69;0;0;0;0;10.903,87;0;0;2.364,53;0;0;0;0;0;0;2.364,53;13.268,40;1,54;-;-;0;1,54;0;0,77;2.120,15;0;757,02;4.595,97;0;-;7.475,46;20.743,86
2014;860511232;12,62;6.114,78;2.208,83;0;8.336,23;0;2.532,87;1,47;0;321,66;2.212,68;0;323,15;1.357,89;0;-;6.035,27;7.716,32;0;0;443,1;0;0;0;443,1;0;427,91;0;427,91;19.136,24;0;-;-;0;809,49;-;-;0;1.698,07;-;-;-;-;142,29;0;0;0;2.649,85;21.786,09;0;200,2;0;0;0;0;0;0;-;0;2.377,13;2.377,13;85,48;937,44;387,2;8.715,68;0;0;0;0;12.703,12;0;0;2.364,53;0;0;0;0;0;0;2.364,53;15.067,65;1,54;-;-;0;1,54;0;2.270,16;2.120,15;0;2.326,58;0;0;-;6.718,44;21.786,09
2013;860511232;10,1;2.851,60;1.618,31;0;4.480,00;0;4.012,67;18,21;0;480,34;3.550,54;0;219,55;1.537,22;0;-;5.928,72;7.685,49;0;0;0;570,15;0;0;570,15;0;493,78;0;493,78;16.779,95;0;-;-;0;484,52;-;-;0;1.139,88;-;-;-;-;130,01;0;0;0;1.754,41;18.534,35;0;616,37;342,71;71,48;0;21,04;8,56;64,74;-;100,94;3.929,00;4.538,46;1.033,87;883,88;518,13;6.551,80;0;0;0;0;14.142,50;0;0;0;0;0;0;0;0;0;0;14.142,50;1,54;-;-;0;1,54;0;0,77;2.120,15;0;638,81;1.630,58;0;-;4.391,86;18.534,35
2012;860511232;10,42;1.612,14;2.129,90;0;3.752,45;986,2;2.515,70;6,39;0;196,23;2.325,86;0;103,44;1.235,04;0;-;4.808,54;6.147,01;0;0;0;486,69;0;0;486,69;367,64;235,65;0;603,29;14.301,50;0;-;-;0;291,77;-;-;0;999,75;-;-;-;-;92,8;0;0;0;1.384,32;15.685,82;0;1.158,25;76,64;102,74;0;0;9,65;130,43;-;148,37;608,88;1.076,71;1.253,50;806,59;225,08;4.173,98;0;0;0;0;8.694,11;0;0;1.900,00;0;0;0;0;0;0;1.900,00;10.594,11;1,54;-;-;0;1,54;0;0,77;2.120,15;0;1.630,58;1.338,67;0;-;5.091,72;15.685,82
2011;860511232;12,81;2.307,57;0;1.001,21;3.321,59;0;1.342,55;4,84;0;142,44;1.204,96;0;101,93;882,66;0;-;2.734,53;3.719,12;0;0;0;477,36;0;-54,94;422,42;85,93;566,36;0;652,29;9.320,38;0;-;-;0;299,93;-;-;0;0;-;-;-;-;65,63;0;0;0;365,56;9.685,94;0;496,19;49,63;70,97;0;31,26;8,11;104,7;-;120,8;459,72;845,17;96,64;667,35;1.083,98;3.035,48;0;0;0;0;6.224,81;0;0;0;0;0;0;0;0;0;0;6.224,81;1,54;-;-;0;1,54;0;0,77;2.120,15;0;1.338,67;0;0;-;3.461,14;9.685,94
