BALANCE GENERAL,NIT,Caja,Bancos,Cuentas De Ahorro,Fondos,SUBTOTAL DISPONIBLE,INVERSIONES CP,Clientes,Cuentas Corrientes Comerciales,Deudas De Difícil Cobro,Provisiones (db),TOTAL DEUDORES COMERCIALES,Cuentas Por Cobrar A Socios y Accionistas,Anticipos y Avances,Anticipo De Imptos. y Contrib.O Saldos A Favor,Cuentas Por Cobrar a Trabajadores,Activos Biológicos CP,Deudores Varios / Otros Activos No Financieros,TOTAL OTROS DEUDORES,Materias Primas,Productos En Proceso,Productos Terminados,M/Cías No Fabricadas Por La Emp,"Materiales, Repuestos y Accesorios",Otros Inventarios y Provisiones,SUBTOTAL INVENTARIOS,Gastos Pagados Por Anticipado,Cargos Diferidos,Amortización Acumulada y Otros,SUBTOTAL DIFERIDO,TOTAL ACTIVO CORRIENTE,Inversiones LP,Activos biológicos no corrientes,CxC comerciales y otras CxC no corrientes,Subtotal Deudores A Largo Plazo,Propiedades Planta Y Equipo,Plusvalía,Activos intangibles distintos de la plusvalía,Subtotal Intangibles,Subtotal Diferidos,Inventarios no corrientes,"Activos por impuestos corrientes, no corriente",Otros activos no financieros no corrientes,Activos LP pignorados como garantía para Vender,Subtotal Otros Activos,De Inversiones Y Otros,De Propiedades Planta Y Equipo,Subtotal Valorizaciones,TOTAL ACTIVO NO CORRIENTE,TOTAL ACTIVO,Obligaciones Financieras,Proveedores CP,Costos y Gastos Por Pagar,Retención En La Fuente,Deudas Con Accionistas O Socios,Impuesto A Las Ventas Retenido,Impuesto De Industria y Comercio Retenido,"Provisiones, Retenciones y Aportes de Nómina",Otras provisiones corrientes,Acreedores,Otras Cuenta Por Pagar,SUBTOTAL CUENTAS POR PAGAR,IMPUESTOS GRAVAMENES Y TASAS,OBLIGACIONES LABORALES,SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.,DIFERIDOS,Anticipos y Avances Recibidos,Otros,SUBTOTAL OTROS PASIVOS,SUBTOTAL BONOS Y PAPELES COMERCIA.,TOTAL PASIVO CORRIENTE,Obligaciones Financieras,Proveedores LP,Subtotal Cuentas Por Pagar,Impuestos Gravámenes y Tasas,Obligaciones Laborales,Subtotal Pasivos Estimad. y Provis.,Subtotal Diferidos,Subtotal Otros Pasivos,Subtotal Bonos y Papeles Comercia.,TOTAL PASIVO NO CORRIENTE,TOTAL PASIVO,Capital Suscrito y Pagado,Prima de emisión,Acciones propias en cartera,Aportes Sociales y Otros,SUBTOTAL CAPITAL SOCIAL,SUBTOTAL SUPERAVIT DE CAPITAL,RESERVAS,REVALORIZACION DEL PATRIMONIO,DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS,RESULTADOS DEL EJERCICIO,RESULTADOS DE EJERCICIOS ANTERIORES,SUPERAVIT POR VALORIZACIONES,INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES,TOTAL PATRIMONIO
2020,890913319,3.5,"2,345.74","1,003.46",-,"3,352.70",0,"5,851.57",-,-,"3,660.96","2,190.61",0,127.47,"1,385.99",-,0,400.52,"1,913.97",-,-,-,-,-,0,0,-,-,-,-,"7,457.28",0,0,0,0,"20,429.86",0,"1,028.03","1,028.03",869.37,0,0,0,0,0,-,-,-,"22,327.26","29,784.54","4,801.77",920.42,-,-,-,-,-,-,0,-,145.1,145.1,606.1,-,526.65,-,-,"3,583.87","3,583.87",-,"10,583.90","15,783.93",0,0,0,-,-,0,0,-,"15,783.93","26,367.83","1,599.91",0,0,-,"1,599.91",0,931.1,0,-,-,885.71,-,0,"3,416.71"
2019,890913319,-,"1,101.27",-,-,"1,101.27",0,"5,036.67",-,-,-,"5,036.67",-,0,584.12,-,0,254.41,838.53,-,-,-,-,-,0,0,-,-,-,-,"6,976.47",0,0,0,0,"3,015.37",0,"21,547.08","21,547.08",121.8,0,0,0,0,0,-,-,-,"24,684.25","31,660.72","4,780.07",405.62,-,-,-,-,-,345.88,0,-,"4,722.18","5,068.06",264.19,-,-,-,-,-,-,-,"10,517.95","18,607.80",0,0,0,-,-,0,0,-,"18,607.80","29,125.74","1,599.91",0,0,-,"1,599.91",0,931.1,0,-,-,3.98,-,0,"2,534.98"
2018,890913319,-,327.14,-,-,327.14,0,"8,064.26",-,-,-,"8,064.26",-,0,564.78,-,0,51,615.78,-,-,-,-,-,0,0,-,-,-,-,"9,007.17",0,0,0,0,"1,629.19",0,833.73,833.73,3.25,0,0,0,0,0,-,-,-,"2,466.16","11,473.34","1,788.16",336.83,-,-,-,-,-,338.75,0,"4,965.88",0,"5,304.63",437.43,-,-,-,-,-,-,-,"7,867.05",29.6,0,0,0,-,-,70.43,0,-,100.03,"7,967.07","1,599.91",0,0,-,"1,599.91",0,904.48,0,-,-,"1,001.87",-,0,"3,506.26"
2017,890913319,3.5,123.3,-,-,126.8,0,"5,640.94",-,-,-,"5,640.94",0,80.37,251.79,-,0,1.85,334,-,-,-,-,-,0,0,-,-,-,-,"6,101.74",0,0,0,0,"1,727.56",0,433.66,433.66,0,0,0,0,0,0,-,-,-,"2,161.21","8,262.95","1,102.29",343.86,"3,767.54",-,-,-,-,480.86,0,-,0,"4,248.40",26.27,-,-,-,-,-,-,-,"5,720.82",0,0,-,0,0,0,37.74,0,-,37.74,"5,758.56","1,599.91",0,0,-,"1,599.91",0,899.54,0,-,-,4.95,-,0,"2,504.39"
2016,890913319,-,"1,050.89",-,-,"1,050.89",71.34,"3,610.34",-,-,-,"3,610.34",-,0,289.03,-,0,1.09,290.12,-,-,-,-,-,0,0,-,-,-,-,"5,022.68",0,0,0,0,"1,793.73",0,0,0,382.34,0,0,0,0,0,-,-,-,"2,176.07","7,198.75",20.15,438.45,-,-,-,-,-,394.02,0,-,"4,382.39","4,776.41",4.77,-,-,-,-,-,-,-,"5,239.77",0,0,109.71,0,-,-,0,0,-,109.71,"5,349.49","1,599.91",0,0,-,"1,599.91",0,899.54,0,-,-,-650.18,-,0,"1,849.26"
2015,890913319,3.5,285.8,"1,596.42",0,"1,885.72",891.01,"4,246.43",0,0,9.66,"4,236.77","10,582.51",73.23,1.25,24.13,-,165.4,"10,846.51",0,0,0,0,0,0,0,66.2,0,0,66.2,"17,926.21",4.95,-,-,0,"1,941.58",-,-,712.04,342.65,-,-,-,-,0,0,68.99,68.99,"3,070.20","20,996.41",0,53.25,149.71,37.12,0,0.92,0.19,79.32,-,168.79,0,436.06,878.03,257.11,3.99,"4,650.80",6.03,80.35,86.38,0,"6,365.61",0,0,0,0,0,0,0,0,0,0,"6,365.61","1,599.91",-,-,0,"1,599.91",0,279.53,0.35,0,"12,682.02",0,68.99,-,"14,630.80"
2014,890913319,3.5,70.01,"1,176.31",0,"1,249.82",2.99,"3,381.53",0,0,0,"3,381.53","3,114.70",8.77,8.46,17.71,-,980.92,"4,130.55",0,0,0,0,0,0,0,26.74,363.78,0,390.51,"9,155.41",5.11,-,-,0,"17,873.36",-,-,961.46,389.34,-,-,-,-,0,2.07,"19,706.30","19,708.37","38,937.63","48,093.04","3,872.87",83.43,564.86,43.42,0,1.48,0.25,86.82,-,122.6,0,819.43,186.99,249.09,2.19,"4,255.54",11.97,24.32,36.29,0,"9,505.84","14,500.00",0,"1,977.87",0,0,0,72.59,0,0,"16,550.47","26,056.31","1,599.91",-,-,0,"1,599.91",0,229.69,0.35,0,498.42,0,"19,708.37",-,"22,036.73"
2013,890913319,3.5,327.86,"1,251.43",2.37,"1,585.15",0,"3,401.31",0,0,0,"3,401.31","1,290.22",52.86,0.75,0,-,590.88,"1,934.70",0,0,0,0,0,0,0,27.66,0,0,27.66,"6,948.81",5.11,-,-,0,"17,477.06",-,-,"1,223.21",365.58,-,-,-,-,0,0.29,"17,620.99","17,621.28","36,692.23","43,641.03","2,200.34",76.88,820.21,50.69,0,1.16,0.29,73.94,-,494.03,0,"1,440.32",552.2,202.81,13.33,"3,823.81",116.84,260.25,377.09,0,"8,686.77","12,572.87",0,"2,076.75",0,0,0,79.68,0,0,"14,729.30","23,416.07","1,599.91",-,-,0,"1,599.91",0,143.72,0.35,0,859.71,0,"17,621.28",-,"20,224.97"
2012,890913319,3.5,390.82,827.3,1.09,"1,222.70",0,"2,857.56",0,0,0,"2,857.56","1,131.59",73.86,0.34,18.73,-,538.17,"1,762.69",0,0,0,0,0,0,0,22.71,408.62,0,431.33,"6,274.27",5.11,-,-,0,"7,819.17",-,-,"1,468.20",164.35,-,-,-,-,130.13,0.4,"6,638.43","6,638.84","16,225.79","22,500.06","1,194.90",33.84,472.42,16.67,0,3.59,0.25,90.84,-,"2,339.02",0,"2,922.80",216.04,192.47,0.49,"3,119.35",63.13,186.98,250.1,0,"7,929.99","3,623.62",0,"2,350.24",126.64,0,0,86.76,0,0,"6,187.26","14,117.25","1,599.91",-,-,0,"1,599.91",0,54.32,0.35,0,89.4,0,"6,638.84",-,"8,382.81"
2011,890913319,3.5,230.31,520.41,4.44,758.65,0,"1,999.48",0,0,19.51,"1,979.97",408.25,13.15,0.07,42.81,-,978.23,"1,442.51",0,0,0,0,0,0,0,544.22,0,0,544.22,"4,725.35",5.11,-,-,0,"8,097.65",-,-,"1,500.00",334.72,-,-,-,-,172.41,0.19,"9,545.90","9,546.09","19,655.97","24,381.33","1,527.22",39.99,247.03,15.19,0,3.6,0.26,87.11,-,47.87,0,401.06,323.33,149.21,0,"2,880.88",98.79,99.75,198.54,0,"5,520.22","3,540.00",0,0,253.28,0,0,93.84,0,0,"3,887.12","9,407.35","3,999.91",-,-,0,"3,999.91",0,"1,138.23",0.35,0,289.4,0,"9,546.09",-,"14,973.98"
