,BALANCE GENERAL,NIT,Caja,Bancos,Cuentas De Ahorro,Fondos,SUBTOTAL DISPONIBLE,INVERSIONES CP,Clientes,Cuentas Corrientes Comerciales,Deudas De Difícil Cobro,Provisiones (db),TOTAL DEUDORES COMERCIALES,Cuentas Por Cobrar A Socios y Accionistas,Anticipos y Avances,Anticipo De Imptos. y Contrib.O Saldos A Favor,Cuentas Por Cobrar a Trabajadores,Activos Biológicos CP,Deudores Varios / Otros Activos No Financieros,TOTAL OTROS DEUDORES,Materias Primas,Productos En Proceso,Productos Terminados,M/Cías No Fabricadas Por La Emp,"Materiales, Repuestos y Accesorios",Otros Inventarios y Provisiones,SUBTOTAL INVENTARIOS,Gastos Pagados Por Anticipado,Cargos Diferidos,Amortización Acumulada y Otros,SUBTOTAL DIFERIDO,TOTAL ACTIVO CORRIENTE,Inversiones LP,Activos biológicos no corrientes,CxC comerciales y otras CxC no corrientes,Subtotal Deudores A Largo Plazo,Propiedades Planta Y Equipo,Plusvalía,Activos intangibles distintos de la plusvalía,Subtotal Intangibles,Subtotal Diferidos,Inventarios no corrientes,"Activos por impuestos corrientes, no corriente",Otros activos no financieros no corrientes,Activos LP pignorados como garantía para Vender,Subtotal Otros Activos,De Inversiones Y Otros,De Propiedades Planta Y Equipo,Subtotal Valorizaciones,TOTAL ACTIVO NO CORRIENTE,TOTAL ACTIVO,Obligaciones Financieras,Proveedores CP,Costos y Gastos Por Pagar,Retención En La Fuente,Deudas Con Accionistas O Socios,Impuesto A Las Ventas Retenido,Impuesto De Industria y Comercio Retenido,"Provisiones, Retenciones y Aportes de Nómina",Otras provisiones corrientes,Acreedores,Otras Cuenta Por Pagar,SUBTOTAL CUENTAS POR PAGAR,IMPUESTOS GRAVAMENES Y TASAS,OBLIGACIONES LABORALES,SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.,DIFERIDOS,Anticipos y Avances Recibidos,Otros,SUBTOTAL OTROS PASIVOS,SUBTOTAL BONOS Y PAPELES COMERCIA.,TOTAL PASIVO CORRIENTE,Obligaciones Financieras,Proveedores LP,Subtotal Cuentas Por Pagar,Impuestos Gravámenes y Tasas,Obligaciones Laborales,Subtotal Pasivos Estimad. y Provis.,Subtotal Diferidos,Subtotal Otros Pasivos,Subtotal Bonos y Papeles Comercia.,TOTAL PASIVO NO CORRIENTE,TOTAL PASIVO,Capital Suscrito y Pagado,Prima de emisión,Acciones propias en cartera,Aportes Sociales y Otros,SUBTOTAL CAPITAL SOCIAL,SUBTOTAL SUPERAVIT DE CAPITAL,RESERVAS,REVALORIZACION DEL PATRIMONIO,DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS,RESULTADOS DEL EJERCICIO,RESULTADOS DE EJERCICIOS ANTERIORES,SUPERAVIT POR VALORIZACIONES,INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES,TOTAL PATRIMONIO,TOTAL PASIVO Y PATRIMONIO
,2020,811012271,9,"438,145.00",0,0,"438,154.00","966,724.00","81,851.00",0,0,0,"81,851.00",0,49,"1,356.00",0,0,"116,810.00","118,215.00",0,0,0,0,0,0,0,0,0,0,0,"1,604,944.00","28,852,283.00",0,0,0,"22,877.00",0,0,0,"81,070.00",0,0,416,0,416,0,0,0,"28,956,646.00","30,561,590.00","758,836.00",0,0,0,0,0,0,0,0,0,"212,901.00","212,901.00",0,"19,291.00","3,470.00",0,0,"460,847.00","460,847.00","4,995,267.00","6,450,612.00",0,0,0,0,0,0,0,0,0,0,"6,450,612.00","109,121.00","3,290,767.00",0,0,"3,399,888.00",0,"6,954,122.00",0,0,"579,969.00","11,834,280.00",0,"1,342,719.00","24,110,978.00","30,561,590.00"
,2019,811012271,7,"3,138.00",0,0,"3,145.00","19,716.00","99,461.00",0,0,0,"99,461.00",0,42,"305,660.00",0,-,"108,929.00","414,631.00",0,0,0,0,0,0,0,244,0,0,244,"537,197.00","28,525,759.00",-,-,0,"3,413.00",-,-,0,"62,961.00",-,-,-,-,"20,742.00",0,0,0,"28,612,875.00","29,150,072.00","848,773.00","3,897.00",0,"1,121.00",0,0,0,0,-,0,"4,733,657.00","4,734,778.00","2,765.00","12,250.00","3,470.00",0,0,0,0,0,"5,605,933.00",0,0,0,0,0,0,0,0,0,0,"5,605,933.00","109,121.00",-,-,0,"109,121.00","3,290,767.00","6,390,905.00",0,0,"932,190.00","12,821,156.00",0,-,"23,544,139.00","29,150,072.00"
,2018,811012271,16,"9,225.00",0,0,"9,241.00","13,717.00","6,121.00",0,0,0,"6,121.00","101,569.00",0,"85,316.00",272,0,"148,061.00","335,218.00",0,0,0,0,0,0,0,0,0,0,0,"364,297.00","28,384,493.00",0,0,0,"25,178.00",0,0,0,0,0,0,0,0,0,0,0,0,"28,409,671.00","28,773,968.00","1,004,140.00","120,585.00",0,0,"4,549,684.00",0,0,0,0,0,0,"4,549,684.00",0,"20,698.00","3,470.00",0,0,0,0,0,"5,698,577.00",0,0,0,0,0,0,0,0,0,0,"5,698,577.00","109,121.00","3,290,767.00",0,0,"3,399,888.00",0,"6,062,398.00",0,0,"648,593.00","12,964,512.00",0,0,"23,075,391.00","28,773,968.00"
,2017,811012271,200,297,"57,931.00","10,870.00","69,298.00","94,338.00","19,824.00",0,0,0,"19,824.00",0,0,0,0,-,"39,694.00","39,694.00",0,0,0,0,0,0,0,0,0,0,0,"223,154.00","27,514,666.00",-,-,0,"25,984.00",-,-,0,0,-,-,-,-,0,0,0,0,"27,540,650.00","27,763,804.00","1,216,979.00","1,778.00",0,0,0,0,0,0,-,0,"12,909.00","12,909.00","33,338.00","34,871.00","205,035.00",0,0,"1,664,427.00","1,664,427.00",0,"3,169,337.00","1,779,793.00",0,0,0,0,0,"39,554.00",0,0,"1,819,347.00","4,988,684.00","109,121.00",-,-,0,"109,121.00","3,290,767.00","5,608,777.00",0,0,"755,085.00","13,011,370.00",0,-,"22,775,120.00","27,763,804.00"
,2016,811012271,7,335,"286,801.00","28,112.00","315,255.00","282,805.00",0,767,0,0,767,"99,899.00",0,"61,291.00",0,-,246,"161,436.00",0,0,0,0,0,0,0,0,0,0,0,"760,263.00","25,286,654.00",-,-,0,"40,176.00",-,-,0,"47,412.00",-,-,-,-,0,0,0,0,"25,374,242.00","26,134,505.00","1,311,689.00",643,0,0,"1,727,010.00",0,0,0,-,"33,634.00","2,366.00","1,763,010.00","123,394.00",0,"298,390.00","113,693.00",0,0,0,"986,781.00","4,597,600.00",0,0,0,0,0,0,0,0,0,0,"4,597,600.00","107,882.00",-,-,0,"107,882.00",0,"5,059,076.00",0,"3,307,663.00","835,481.00","12,226,803.00",0,-,"21,536,905.00","26,134,505.00"
,2015,811012271,9,"6,638.00","190,931.00","23,650.00","221,228.00","206,814.00",0,176,0,0,176,"86,941.00",0,"25,021.00",0,-,242,"112,204.00",0,0,0,0,0,0,0,0,0,0,0,"540,422.00","23,344,771.00",-,-,0,"17,451.00",-,-,72,"41,594.00",-,-,-,-,0,0,0,0,"23,403,888.00","23,944,310.00","726,418.00",325,0,0,"88,976.00",0,0,0,-,"60,123.00","1,085.00","150,184.00","46,536.00",0,"276,627.00","124,614.00",0,0,0,"1,109,673.00","2,434,377.00",0,0,0,0,0,0,0,0,0,0,"2,434,377.00","107,882.00",-,-,0,"107,882.00","3,307,663.00","4,602,459.00",0,0,"723,988.00","12,767,941.00",0,-,"21,509,933.00","23,944,310.00"
,2014,811012271,0,"3,806.33",0,0,"3,806.33","2,700.20",0,0,0,0,0,0,18.85,0,0,-,"206,497.06","206,515.91",0,0,0,0,0,0,0,0,0,0,0,"213,022.44","11,565,863.59",-,-,0,"17,534.77",-,-,"1,913.87",0,-,-,-,-,174.49,"12,010,962.55",0,"12,010,962.55","23,596,449.27","23,809,471.71","7,797.54",442.98,0,0,"67,623.59",18.21,2.06,0,-,0,"8,807.52","76,451.38",0,597.57,"89,922.61","31,702.26",0,0,0,0,"206,914.34",0,0,0,0,0,0,165.06,0,"900,000.00","900,165.06","1,107,079.40","107,882.29",-,-,0,"107,882.29","4,786,451.65","4,177,865.95","947,329.93",0,"671,899.93",0,"12,010,962.55",-,"22,702,392.30","23,809,471.70"
,2013,811012271,3.38,505.94,"200,835.11",0,"201,344.43","9,937,685.17",0,57.03,0,0,57.03,0,90.1,"50,023.59",0,-,"90,477.22","140,590.91",0,0,0,0,0,0,0,0,0,0,0,"10,279,677.53",-,-,-,-,"1,224.74",-,-,"1,989.21",-,-,-,-,-,174.49,"10,767,234.42",0,"10,767,234.42","10,770,622.86","21,050,300.39","20,008.78","1,049.88","4,140.00",331.27,"92,816.18",28.11,2.08,400.32,-,"4,033.55",0,"101,751.50","2,150.17",457.51,"64,930.26","29,437.78",0,0,0,-,"219,785.89","292,996.26",-,-,-,0,-,-,-,"250,000.00","542,996.26","762,782.15","107,882.29",-,-,0,"107,882.29","4,027,207.51","3,656,070.19","947,329.93",0,"781,793.90",0,"10,767,234.42",-,"20,287,518.25","21,050,300.39"
,2012,811012271,-,517.98,-,-,517.98,"88,033.07",0,-,0,0,0,0,-,-,-,-,"113,504.83","113,504.83",0,0,0,0,0,0,0,-,0,-,0,"202,055.88","9,102,545.87",-,-,0,622.23,-,-,"2,064.56",0,-,-,-,-,82.29,"12,372,807.06",0,"12,372,807.06","21,478,121.99","21,680,177.88","471,869.38",596.1,0,-,"89,013.36",124.17,10.33,-,-,-,"11,313.07","100,460.92","4,300.34",390.57,"33,794.20","26,741.37",-,0,0,0,"638,152.88",0,0,0,0,0,0,165.06,0,"250,000.00","250,165.06","888,317.94","107,882.29",-,-,-,"107,882.29","3,441,090.25","3,376,650.90","947,329.93",-,"546,099.50",0,"12,372,807.06",-,"20,791,859.93","21,680,177.88"
,2011,811012271,2.46,"7,127.02","265,296.57",0,"272,426.04","20,604.16",0,"643,720.61",0,0,"643,720.61",0,0,"17,351.93",0,-,"251,638.74","268,990.67",0,0,0,0,0,0,0,405.34,"64,911.86",0,"65,317.21","1,271,058.68","9,714,525.72",-,-,0,480.16,-,-,"2,184.43",0,-,-,-,-,82.29,"10,602,066.34",0,"10,602,066.34","20,319,338.94","21,590,397.62","2,362,334.46","1,776.31","7,621.74","1,095.15",0,310.54,0,176.14,-,30.93,"69,575.49","78,809.97","6,450.51",366.25,"16,719.36","9,308.72",0,0,0,0,"2,475,765.58",0,0,0,0,0,0,165.06,0,"250,000.00","250,165.06","2,725,930.64","107,882.29",-,-,0,"107,882.29","3,575,397.45","3,299,055.62","947,329.93",0,"332,735.35",0,"10,602,066.34",-,"18,864,466.98","21,590,397.62"
