,ESTADO DE RESULTADOS,NIT,Ingresos Operacionales,Costo De Ventas Y De Prestación De Servicios,UTILIDAD BRUTA,Gastos Operacionales De Administración,Gastos Operacionales De Ventas,Otras ganancias (pérdidas) Operaciones por Ajuste Niif,UTILIDAD OPERACIONAL,Ingresos No Operacionales,Gastos No Operacionales,Intereses Financieros,Otros Gastos No Operacionales,Ajustes No Operacionales Normas Internacionales,UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION,Impuesto De Renta Y Complementarios,Ganancia (pérdida) procedente de operaciones discontinuadas,GANANCIAS Y PERDIDAS,Depreciacion del Periodo,Amortizaciones
,2020,800019102,"41,601.85","27,006.77","14,595.08",0,"12,790.91","1,016.62","2,820.80",297.38,735.74,735.74,-,-,"2,382.44",908.83,0,"1,473.61","1,692.76",-
,2019,800019102,"51,044.40","32,234.28","18,810.12","16,707.82",0,698.59,"2,800.88",443.77,528.74,528.74,0,0,"2,715.91",817.22,0,"1,898.69","1,245.50",-
,2018,800019102,"46,783.95","30,509.83","16,274.12","16,571.30",0,969.35,672.17,445.11,562.89,562.89,-,0,554.39,413.78,0,140.61,"1,163.35",-
,2017,800019102,"43,614.58","28,422.95","15,191.63","15,125.86",0,602.36,668.12,619.23,506.39,506.39,0,0,780.96,627.27,0,153.69,"1,187.98",-
,2016,800019102,"40,268.47","26,591.19","13,677.28","13,883.98",0,"1,151.55",944.85,440.45,398.52,398.52,-,-,986.78,724.28,0,262.5,"1,174.73",-
,2015,800019102,"36,742.08","24,289.32","12,452.77","10,550.26",0,-,"1,902.50",929.12,"1,836.35",0.51,"1,835.84",-,995.27,729.68,-,265.59,-,-
,2014,800019102,"34,564.95","25,216.25","9,348.70","10,119.16",0,-,-770.46,549.03,998.21,-,-,-,"-1,219.64",164.75,-,"-1,384.39","1,020.79",37.08
,2013,800019102,"31,993.91","21,951.23","10,042.69","10,109.46",0,-,-66.77,334.99,785.17,-,-,-,-516.94,171.32,-,-688.26,"1,167.30",72.74
,2012,800019102,"28,651.91","18,881.27","9,770.64","8,400.81",0,-,"1,369.83",314.76,663.72,-,-,-,"1,020.88",582.99,-,437.89,970.49,146.92
,2011,800019102,"27,220.17","17,128.13","10,092.04","7,126.64",0,-,"2,965.40",280.35,551.9,-,-,-,"2,693.85","1,113.73",-,"1,580.12",940.53,30.32
,2010,800019102,"23,193.55","15,205.98","7,987.57","6,273.81",0,-,"1,713.77",686.89,503.44,-,-,-,"1,897.23",818.97,-,"1,078.26",916.59,16.19
,2009,800019102,"22,533.63","14,265.03","8,268.60","6,335.48",0,-,"1,933.12",653.76,995.75,-,-,-,"1,591.13",464.37,-,"1,126.76","1,100.69",47.14
,2008,800019102,"22,348.66","14,235.82","8,112.84","6,380.40",0,-,"1,732.44",422.8,"1,987.12",-,-,-,168.12,89.64,-,78.48,"1,122.38",81.49
,2007,800019102,"22,500.21","14,990.09","7,510.13","6,363.35",0,-,"1,146.77",170.35,385.38,-,-,-,931.75,58.48,-,873.27,-,-
,2006,800019102,"19,857.64","12,731.59","7,126.06","6,423.98",0,-,702.08,247.18,188.17,-,-,42.84,761.09,454.6,-,349.33,-,-
