ESTADO DE RESULTADOS,NIT,Ingresos Operacionales,Costo De Ventas Y De Prestación De Servicios,UTILIDAD BRUTA,Gastos Operacionales De Administración,Gastos Operacionales De Ventas,Otras ganancias (pérdidas) Operaciones por Ajuste Niif,UTILIDAD OPERACIONAL,Ingresos No Operacionales,Gastos No Operacionales,Intereses Financieros,Otros Gastos No Operacionales,Ajustes No Operacionales Normas Internacionales,UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION,Impuesto De Renta Y Complementarios,Ganancia (pérdida) procedente de operaciones discontinuadas,GANANCIAS Y PERDIDAS,Depreciacion del Periodo,Amortizaciones
2020,800172544,"49,075.73","44,087.51","4,988.22",0,"4,076.71","2,630.32","3,541.83",0,"2,867.59","2,867.59",-,0,674.25,771.08,0,-96.83,"1,542.85",-
2019,800172544,"43,799.69","40,521.11","3,278.58","2,722.90",0,"1,428.47","1,984.16",0,"2,042.18","2,042.18",0,0,-58.03,748.47,0,-806.5,"1,389.03",-
2018,800172544,"34,952.18","30,520.28","4,431.90","2,023.57",0,-483.77,"1,924.57",0,77.32,77.32,-,0,"1,847.25",873.8,0,973.44,0,-
2017,800172544,"32,227.59","28,346.30","3,881.29","1,724.71",0,285.7,"2,442.28",36.67,742.88,742.88,-,0,"1,736.07",796.32,0,939.75,"1,137.51",-
2016,800172544,"34,901.51","30,731.46","4,170.05","1,668.63",0,882.53,"3,383.95",556.06,752.63,752.63,-,0,"3,187.39",977.38,0,"2,210.01",-,-
2015,800172544,"18,397.28","15,481.23","2,916.05","1,645.63",5.43,-,"1,264.98",595.69,"1,027.41",221.13,806.28,-,833.26,353.9,-,479.37,-,-
2014,800172544,"27,092.02","24,201.14","2,890.88","1,572.38",39.7,-,"1,278.80",432.94,614.24,-,-,-,"1,097.50",474.74,-,622.76,396.12,0
2013,800172544,"26,550.07","24,121.11","2,428.97","1,128.82",0,-,"1,300.15",793.33,942.88,-,-,-,"1,150.60",536.5,-,614.1,239.49,"3,800.00"
2012,800172544,"26,253.70","22,910.19","3,343.51","1,724.31",0,-,"1,619.21",506.88,"1,151.42",-,-,-,974.67,453.32,-,521.35,427.28,526.86
2011,800172544,"27,072.58","23,616.41","3,456.17","2,152.53",0,-,"1,303.64",504.95,759.26,-,-,-,"1,049.34",414.1,-,635.24,301.41,158.89
2010,800172544,"20,907.10","17,060.42","3,846.68","1,797.73",0,-,"2,048.95",424.4,320.8,-,-,-,"2,152.55",660.27,-,"1,492.28",172.33,13.68
2009,800172544,"17,708.06","15,802.95","1,905.12","1,470.21",0,-,434.91,406.94,230.31,-,-,-,611.54,169.19,-,442.35,177.48,9.41
2008,800172544,"20,644.09","18,414.39","2,229.70","1,309.92",0.09,-,919.69,125.4,364.12,-,-,-,680.97,0,-,680.97,223.31,2.6
2007,800172544,"18,235.06","16,181.96","2,053.11","1,203.15",0.33,-,849.62,296.34,455.91,-,-,-,690.06,339.41,-,350.65,-,-
2006,800172544,"17,390.14","15,503.11","1,887.03","1,203.40",0,-,683.63,171.64,268.25,-,-,-1.18,587.02,366.64,-,219.2,-,-
