ESTADO DE RESULTADOS,NIT,Ingresos Operacionales,Costo De Ventas Y De Prestación De Servicios,UTILIDAD BRUTA,Gastos Operacionales De Administración,Gastos Operacionales De Ventas,Otras ganancias (pérdidas) Operaciones por Ajuste Niif,UTILIDAD OPERACIONAL,Ingresos No Operacionales,Gastos No Operacionales,Intereses Financieros,Otros Gastos No Operacionales,Ajustes No Operacionales Normas Internacionales,UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION,Impuesto De Renta Y Complementarios,Ganancia (pérdida) procedente de operaciones discontinuadas,GANANCIAS Y PERDIDAS,Depreciacion del Periodo,Amortizaciones
2020,900329769,"1,041,089.26","759,322.05","281,767.21","137,558.65","47,278.93",-290.03,"96,639.60",804.16,"19,203.17","19,203.17",-,866.32,"79,106.91","30,077.62",0,"49,029.29","28,118.18",-
2019,900329769,"10,925.95",0,"10,925.95","4,351.22",0,"8,525.75","15,100.47",6.9,"2,334.48","2,334.48",0,"6,833.88","19,606.78","2,222.04",0,"17,384.75",43.31,-
2018,900329769,"10,131.50",0,"10,131.50","3,919.10",0,"12,660.35","18,872.75",70.59,"2,794.04","2,794.04",-,"3,783.37","19,932.67","1,550.05",0,"18,382.61",34.73,-
2017,900329769,"19,601.28",0,"19,601.28","4,049.60",0,-395.82,"15,155.87",3.08,"3,892.11","3,892.11",0,"-1,972.87","9,293.97","3,652.78",0,"5,641.19",30.11,-
2016,900329769,"11,449.66",0,"11,449.66","3,748.29",0,"15,214.53","22,915.91",1.82,"4,851.18","4,851.18",0,-,"18,066.55","2,160.12",0,"15,906.43",29.77,-
2015,900329769,"9,983.02",0,"9,983.02","5,511.78",0,-,"4,471.24",27.08,"3,542.99","1,177.72","2,365.27",-,955.33,435.34,-,519.99,-,-
2014,900329769,"13,937.04",0,"13,937.04","10,584.26",0,-,"3,352.78",15.73,119.63,-,-,-,"3,248.88",460.36,-,"2,788.52","1,617.04",0
2013,900329769,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,900329769,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,900329769,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,900329769,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2009,900329769,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008,900329769,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2007,900329769,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2006,900329769,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
