ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;890900285;264.359,37;204.996,97;59.362,41;12.284,89;18.570,52;0;28.507,00;6.377,76;6.839,75;4.913,39;1.926,36;0;28.045,01;7.905,70;0;20.139,30;0;0
2019;890900285;233.372,90;186.367,23;47.005,67;12.669,60;17.124,55;-;17.211,52;918,37;7.851,91;-;-;-;10.277,98;-2.511,24;-;12.789,22;822,07;0
2018;890900285;204.632,73;163.985,96;40.646,77;16.171,10;9.374,03;0;15.101,64;2.355,53;9.874,62;6.028,59;3.846,03;0;7.582,55;531,71;4.001,74;11.052,58;0;0
2017;890900285;191.131,65;149.989,74;41.141,91;14.940,92;8.989,91;0;17.211,08;1.874,14;10.272,82;6.364,31;3.908,51;0;8.812,41;2.250,21;2.593,41;9.155,61;0;0
2016;890900285;194.812,99;143.606,00;51.207,00;9.871,74;14.524,48;-;26.810,77;5.423,49;7.156,11;-;-;-;25.078,16;5.928,14;-;19.150,01;-;-
2015;890900285;174.604,88;131.284,20;43.320,69;13.538,77;7.454,87;0;22.327,05;6.885,08;6.804,87;6.804,87;0;0;22.407,25;6.154,98;4.202,15;20.454,43;0;0
2014;890900285;142.217,99;114.202,76;28.015,23;8.081,80;9.934,77;-;9.998,66;18.686,49;18.115,18;-;-;-;10.569,97;2.926,42;-;7.643,55;56.917,39;0
2013;890900285;133.499,23;106.580,47;26.918,76;7.457,62;9.699,04;-;9.762,10;6.262,78;8.381,59;-;-;-;7.643,28;2.549,92;-;5.093,36;113,84;2
2012;890900285;129.074,42;103.427,86;25.646,57;7.048,04;9.689,97;-;8.908,55;8.978,76;10.664,22;-;-;-;7.223,09;2.220,17;-;5.002,92;-;-
2011;890900285;121.437,18;99.631,91;21.805,27;7.339,84;9.544,18;-;4.921,25;6.281,90;7.339,97;-;-;-;3.863,19;952,62;-;2.910,57;-;-
2010;890900285;98.794,34;79.631,85;19.162,49;8.079,31;7.501,21;-;3.581,98;4.815,46;4.448,87;-;-;-;3.948,56;548,56;-;3.400,00;0;0
2009;890900285;85.327,81;68.887,94;16.439,87;6.844,36;6.966,71;-;2.628,80;4.022,50;5.247,09;-;-;-;1.404,22;562,05;-;842,17;0;0
2008;890900285;93.215,82;75.367,55;17.848,27;6.446,67;6.102,83;-;5.298,76;5.694,50;5.258,19;-;-;-;5.735,08;1.593,60;-;4.141,48;0;0
2007;890900285;97.089,19;75.272,63;21.816,57;6.366,28;5.699,89;-;9.750,40;4.860,87;3.610,42;-;-;-;11.000,85;2.579,87;-;8.420,97;-;-
2006;890900285;90.034,63;74.081,42;15.953,21;6.017,13;4.716,91;-;5.219,18;4.539,42;2.399,07;-;-;-80,69;7.359,53;2.706,00;-;4.572,83;-;-
