;;;;;;;;;;;;;;;;;;;
ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;860002455;58.927,78;39.955,36;18.972,41;7.134,80;3.765,06;1.062,32;9.134,88;5.206,08;8.551,05;8.551,05;-;1.858,63;7.648,53;1.939,08;0;5.709,46;987,16;-
2019;860002455;67.321,85;46.343,68;20.978,17;3.688,97;9.262,11;1.365,82;9.392,91;4.307,80;7.137,48;7.137,48;0;2.036,81;8.600,04;1.869,93;0;6.730,12;845,69;-
2018;860002455;57.286,22;40.088,63;17.197,58;4.360,40;7.586,90;918,46;6.168,75;2.556,76;4.567,92;4.567,92;-;1.540,34;5.697,93;1.409,05;0;4.288,88;788,46;-
2017;860002455;63.175,40;42.045,77;21.129,63;3.053,59;7.496,38;-63,06;10.516,60;706,25;2.858,62;2.858,62;0;0;8.364,22;3.195,34;0;5.168,88;806;-
2016;860002455;63.317,82;42.895,01;20.422,82;7.432,51;7.829,45;7.349,04;12.509,91;3.811,19;5.794,39;5.794,39;0;-;10.526,71;3.282,63;0;7.244,08;774,11;-
2015;860002455;51.990,62;34.073,58;17.917,04;3.036,77;6.580,25;-;8.300,01;7.567,17;10.723,52;606,82;10.116,70;-;5.143,67;2.348,49;-;2.795,18;-;-
2014;860002455;45.311,84;30.713,21;14.598,63;2.783,30;6.357,84;-;5.457,49;5.678,98;6.496,36;-;-;-;4.640,11;1.698,16;-;2.941,95;983,07;195,36
2013;860002455;40.657,05;28.932,18;11.724,88;3.041,19;5.162,07;-;3.521,63;3.340,07;2.949,61;-;-;-;3.912,09;1.623,94;-;2.288,14;950,72;96,26
2012;860002455;39.292,43;28.046,69;11.245,74;2.051,72;5.099,44;-;4.094,59;7.535,13;5.178,10;-;-;-;6.451,62;958,97;-;5.492,65;691,13;72,39
2011;860002455;36.824,06;25.337,02;11.487,04;2.805,48;4.838,69;-;3.842,87;3.366,77;3.909,44;-;-;-;3.300,21;1.323,33;-;1.976,88;487,65;56,7
2010;860002455;34.152,22;23.460,97;10.691,25;2.025,37;4.415,26;-;4.250,63;2.709,83;3.184,80;-;-;-;3.775,65;1.194,84;-;2.580,81;514,13;61,19
2009;860002455;34.155,36;23.487,08;10.668,28;1.895,93;3.565,66;-;5.206,69;3.784,96;4.403,20;-;-;-;4.588,45;473,25;-;4.115,20;466,23;70,91
2008;860002455;30.825,89;24.329,30;6.496,59;2.118,86;2.874,87;-;1.502,86;6.572,37;4.018,88;-;-;-;4.056,35;1.952,76;-;2.103,59;484,28;28,89
2007;860002455;28.427,46;19.503,19;8.924,27;1.861,42;2.557,67;-;4.505,18;1.849,80;2.586,36;-;-;-;3.768,62;1.278,42;-;2.490,20;-;-
2006;860002455;20.847,65;13.955,15;6.892,50;1.821,28;2.257,15;-;2.814,07;1.328,74;1.548,69;-;-;-14,76;2.594,13;690,83;-;1.888,54;-;-
