ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;860016310;86.270,68;50.408,82;35.861,86;11.702,05;6.404,85;1.131,46;18.886,42;377,35;817,09;817,09;-;-;18.446,69;6.063,00;0;12.383,69;1.601,88;-
2019;860016310;63.022,11;38.601,32;24.420,80;6.119,30;9.620,85;1.482,59;10.163,24;0;873,87;873,87;0;0;9.289,37;2.759,25;0;6.530,11;1.230,93;-
2018;860016310;55.253,80;34.014,71;21.239,09;4.977,55;8.973,72;1.260,47;8.548,28;0;923,16;923,16;-;0;7.625,12;2.341,50;0;5.283,63;1.121,24;-
2017;860016310;59.729,15;36.203,41;23.525,74;5.735,26;8.994,80;1.035,80;9.831,48;0;1.022,48;1.022,48;0;0;8.809,00;3.304,78;0;5.504,22;676,38;-
2016;860016310;64.631,56;37.991,78;26.639,78;5.276,35;9.491,20;133,99;12.006,23;0;754,24;754,24;-;-;11.251,99;4.193,34;0;7.058,65;531,22;-
2015;860016310;48.591,17;29.888,69;18.702,48;3.819,20;8.348,79;-;6.534,49;3.171,31;3.884,61;249,12;3.635,49;-;5.821,19;2.333,67;-;3.487,52;-;-
2014;860016310;45.313,78;27.981,41;17.332,37;4.348,87;7.378,96;-;5.604,53;3.167,74;3.562,64;-;-;-;5.209,63;1.816,10;-;3.393,53;676,58;242,61
2013;860016310;42.478,33;26.961,24;15.517,09;4.071,19;7.731,74;-;3.714,16;2.849,20;2.380,71;-;-;-;4.182,65;1.474,94;-;2.707,71;643,61;426,62
2012;860016310;40.450,84;25.540,87;14.909,98;3.588,08;8.100,60;-;3.221,30;3.902,41;3.187,65;-;-;-;3.936,06;1.408,92;-;2.527,15;599,39;322,16
2011;860016310;38.000,20;23.794,19;14.206,01;3.105,31;8.188,25;-;2.912,45;2.985,31;3.061,82;-;-;-;2.835,94;964,65;-;1.871,29;420,14;341,94
2010;860016310;30.575,09;18.383,24;12.191,85;3.263,10;6.013,91;-;2.914,84;2.343,76;2.180,46;-;-;-;3.078,14;876,02;-;2.202,12;351,84;313,97
2009;860016310;30.807,49;18.377,63;12.429,86;3.983,37;5.313,74;-;3.132,76;4.075,15;4.391,83;-;-;-;2.816,09;1.054,96;-;1.761,13;305,6;492,77
2008;860016310;24.065,27;15.605,46;8.459,81;3.252,42;4.433,53;-;773,87;4.881,59;4.627,82;-;-;-;1.027,64;418,76;-;608,88;288,95;589,69
2007;860016310;24.346,28;15.039,33;9.306,95;2.659,72;4.448,36;-;2.198,87;2.118,80;2.589,96;-;-;-;1.727,71;503,3;-;1.224,41;-;-
2006;860016310;25.542,57;16.414,98;9.127,59;3.116,21;4.123,87;-;1.887,51;1.317,70;1.387,29;-;-;110,9;1.817,92;631,73;-;1.297,09;-;-
