ESTADO DE RESULTADOS;NIT ;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;800200934;231.284,93;165.122,82;66.162,12;35.235,38;15.145,08;2.531,71;18.313,37;0;13.047,17;13.047,17;-;0;5.266,19;4.952,01;0;314,18;11.423,44;-
2019;800200934;223.698,01;145.515,32;78.182,69;15.489,49;36.604,43;-3.978,50;22.110,26;0;13.515,30;13.515,30;0;0;8.594,96;2.718,70;0;5.876,26;13.623,31;-
2018;800200934;242.490,98;162.938,75;79.552,23;16.899,48;40.780,80;-479,77;21.392,18;0;12.075,55;12.075,55;-;0;9.316,63;6.492,14;0;2.824,49;699,2;-
2017;800200934;180.982,64;93.682,04;87.300,60;14.573,99;46.122,44;-5.206,71;21.397,46;0;11.631,35;11.631,35;0;0;9.766,12;5.078,48;0;4.687,64;12.033,86;-
2016;800200934;162.834,45;78.376,13;84.458,32;42.355,38;12.182,87;-8.485,06;21.435,01;0;11.191,64;11.191,64;0;0;10.243,37;6.746,25;0;3.497,12;6.544,80;-
2015;800200934;135.961,55;67.492,29;68.469,26;37.626,82;20.303,61;0;10.538,83;0;6.451,20;6.451,20;-;0;4.087,63;2.942,23;0;1.145,40;3.727,14;-
2014;800200934;114.514,03;81.015,09;33.498,94;15.359,84;23.582,52;-;-5.443,42;26.378,70;14.376,77;-;-;-;6.558,51;4.157,27;-;2.401,24;3.810,67;1.073,92
2013;800200934;105.039,84;77.255,44;27.784,40;13.593,48;18.349,95;-;-4.159,03;13.790,41;6.027,35;-;-;-;3.604,03;2.816,51;-;787,52;3.044,66;508,57
2012;800200934;130.925,16;89.575,52;41.349,64;15.283,65;19.964,63;-;6.101,36;12.694,11;7.580,85;-;-;-;11.214,62;4.802,68;-;6.411,94;2.406,13;477,13
2011;800200934;125.482,51;73.430,86;52.051,66;12.243,64;23.780,99;-;16.027,03;15.969,85;19.000,90;-;-;-;12.995,98;6.018,35;-;6.977,63;2.374,04;120,23
2010;800200934;133.706,72;79.930,61;53.776,11;9.524,41;21.506,89;-;22.744,82;9.081,30;19.546,98;-;-;-;12.279,14;7.455,71;-;4.823,43;2.436,10;90,39
2009;800200934;142.195,79;89.984,24;52.211,56;7.501,80;22.494,47;-;22.215,29;30.124,07;39.517,83;-;-;-;12.821,54;2.794,67;-;10.026,86;1.928,96;119,07
2008;800200934;146.428,00;80.736,91;65.691,09;7.387,92;21.809,52;-;36.493,65;18.972,39;22.169,83;-;-;-;33.296,21;10.831,62;-;22.464,59;1.892,63;104,95
2007;800200934;115.293,71;67.721,47;47.572,24;8.572,95;18.523,73;-;20.475,56;17.999,23;18.654,70;-;-;-;19.820,10;8.544,54;-;11.275,56;-;-
2006;800200934;137.512,84;96.093,22;41.419,63;6.565,17;21.868,32;-;12.986,14;23.680,00;32.485,89;-;-;434,57;4.180,25;3.102,72;-;1.512,10;-;-
