ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;891400378;533.697,04;407.699,81;125.997,23;47.716,56;19.184,32;7.389,36;66.485,71;0;15.608,68;15.608,68;-;2.153,99;53.031,01;8.806,86;0;44.224,15;17.737,47;-
2019;891400378;419.147,78;356.799,03;62.348,75;17.981,40;41.633,61;9.170,31;11.904,05;0;12.038,04;12.038,04;0;67,02;-66,97;1.572,21;0;-1.639,17;14.408,03;-
2018;891400378;397.495,38;316.445,18;81.050,21;17.135,45;61.456,90;7.072,19;9.530,04;0;12.382,76;12.382,76;-;618,27;-2.234,45;-179,18;0;-2.055,27;11.903,44;-
2017;891400378;394.460,12;284.258,61;110.201,52;15.985,69;77.620,85;11.082,72;27.677,70;0;13.471,27;13.471,27;0;-768,82;13.437,61;6.646,22;0;6.791,38;9.943,08;-
2016;891400378;377.766,93;266.597,20;111.169,73;16.717,17;85.748,62;-29.518,14;-20.814,20;1.041,00;10.135,37;10.135,37;0;-2.790,56;-32.699,14;1.758,32;0;-34.457,46;9.266,43;-
2015;891400378;321.451,17;218.999,21;98.754,65;79.535,43;24.400,26;0;-1.483,73;67,06;6.344,60;6.344,60;-;504;-7.257,28;1.930,29;0;-9.187,57;7.063,58;-
2014;891400378;299.127,78;190.899,27;108.228,52;14.101,21;80.484,19;-;13.643,12;14.430,74;21.246,57;-;-;-;6.827,29;3.047,03;-;3.780,26;4.017,29;1.501,77
2013;891400378;282.468,14;177.337,78;105.130,35;13.758,02;79.902,30;-;11.470,04;12.217,65;14.765,29;-;-;-;8.922,39;2.961,74;-;5.960,65;3.453,42;1.515,98
2012;891400378;260.896,90;163.165,78;97.731,12;12.052,65;71.495,83;-;14.182,64;20.444,96;23.482,96;-;-;-;11.144,64;1.318,39;-;9.826,25;3.613,57;1.540,16
2011;891400378;278.295,83;174.922,29;103.373,53;13.307,95;72.026,18;-;18.039,41;28.615,78;45.246,77;-;-;-;1.408,41;512,21;-;896,21;3.680,98;1.232,44
2010;891400378;247.317,88;167.752,66;79.565,22;13.519,86;63.659,09;-;2.386,27;16.304,41;21.569,42;-;-;-;-2.878,75;740,21;-;-3.618,95;6.362,52;2.750,85
2009;891400378;251.366,17;159.263,86;92.102,32;12.331,95;64.095,18;-;15.675,18;18.488,84;30.751,77;-;-;-;3.412,26;705,75;-;2.706,52;7.023,37;1.337,36
2008;891400378;230.823,87;152.172,59;78.651,27;9.873,54;54.422,52;-;14.355,22;30.263,44;41.956,91;-;-;-;2.661,74;621,16;-;2.040,59;9.438,72;264,78
2007;891400378;230.469,04;160.279,02;70.190,02;7.853,63;46.930,60;-;15.405,79;18.551,86;36.157,64;-;-;-;-2.199,98;702,33;-;-2.902,31;-;-
2006;891400378;203.002,26;146.835,76;56.166,50;8.946,18;39.780,86;-;7.439,46;9.299,25;25.400,47;-;-;3.518,65;-8.661,76;1.422,93;-;-6.566,04;-;-
