BALANCE GENERAL;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020.00;890933171.00;5.30;761.73;0.00;0.00;767.03;110.00;993.64;0.00;0.00;0.00;993.64;0.00;0.00;517.59;0.00;0.00;1462.33;1979.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3850.59;0.00;0.00;91.80;91.80;749.73;0.00;9.84;9.84;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;851.36;4701.95;1.13;648.92;1725.87;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1725.87;382.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2757.96;307.35;0.00;0.00;0.00;0.00;0.00;33.26;0.00;0.00;340.61;3098.57;528.70;0.00;0.00;0.00;528.70;0.00;153.67;0.00;0.00;0.00;921.02;0.00;0.00;1603.39;4701.95
2019.00;890933171.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2018.00;890933171.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2017.00;890933171.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2016.00;890933171.00;0.00;341.60;0.00;0.00;341.60;0.00;2514.95;0.00;0.00;0.00;2514.95;0.00;0.00;381.06;0.00;0.00;11.28;392.34;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3248.88;7.95;0.00;366.94;366.94;737.54;0.00;28.83;28.83;12.96;0.00;2.65;0.00;0.00;2.65;0.00;0.00;0.00;1156.86;4405.74;309.27;608.13;0.00;0.00;0.00;0.00;0.00;149.01;0.00;0.00;1915.83;2064.84;264.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3246.28;195.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;195.00;3441.29;417.70;0.00;0.00;0.00;417.70;0.00;153.67;0.00;0.00;0.00;393.09;0.00;0.00;964.45;4405.74
2015.00;890933171.00;5.00;342.03;0.00;0.00;347.03;0.00;405.51;0.00;0.00;3.98;401.53;198.51;81.52;374.26;121.69;0.00;1912.92;2688.89;0.00;0.00;0.00;0.00;0.00;0.00;0.00;22.17;0.00;0.00;22.17;3459.62;176.88;0.00;0.00;0.00;36.83;0.00;0.00;433.96;206.06;0.00;0.00;0.00;0.00;0.00;272.40;0.00;272.40;1126.13;4585.75;416.51;71.28;436.66;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;436.66;85.81;120.64;258.52;0.00;1941.91;0.00;1941.91;0.00;3331.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3331.33;417.70;0.00;0.00;0.00;417.70;0.00;127.58;175.85;0.00;260.89;0.00;272.40;0.00;1254.42;4585.75
2014.00;890933171.00;5.00;258.75;0.00;0.00;263.75;14.14;221.84;0.00;0.00;0.00;221.84;162.34;0.00;520.04;90.52;0.00;1067.72;1840.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;75.52;0.00;0.00;75.52;2415.88;5.58;0.00;0.00;0.00;34.46;0.00;0.00;448.28;190.07;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;678.39;3094.27;293.56;209.51;65.70;7.28;0.00;0.82;0.00;31.63;0.00;0.03;48.04;153.50;398.46;118.72;0.00;0.00;865.87;0.00;865.87;0.00;2039.62;204.62;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;204.62;2244.24;417.70;0.00;0.00;0.00;417.70;0.00;113.21;175.85;0.00;143.27;0.00;0.00;0.00;850.03;3094.27
2013.00;890933171.00;25.32;57.49;2.92;0.00;85.73;0.00;649.97;0.00;0.00;0.00;649.97;281.48;50.63;306.34;143.77;0.00;601.37;1383.59;0.00;0.00;0.00;0.00;0.00;0.00;0.00;103.44;0.00;0.00;103.44;2222.73;0.00;0.00;0.00;33.89;412.72;0.00;0.00;21.15;192.44;0.00;0.00;0.00;0.00;0.00;6.08;0.00;6.08;666.29;2889.01;365.70;136.11;116.81;12.63;0.00;1.49;0.00;38.49;0.00;0.00;0.00;169.42;141.95;116.68;789.01;0.00;0.00;0.00;0.00;0.00;1718.87;263.37;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;263.37;1982.24;417.70;0.00;0.00;0.00;417.70;0.00;113.21;175.85;0.00;129.64;70.38;0.00;0.00;906.77;2889.01
2012.00;890933171.00;41.19;121.28;4.41;0.00;166.88;0.00;519.99;0.00;50.62;17.79;552.81;183.44;48.96;253.92;125.63;0.00;548.50;1160.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;107.93;0.00;0.00;107.93;1988.07;8.45;0.00;0.00;0.00;382.03;0.00;0.00;20.75;190.37;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;601.60;2589.67;335.51;133.57;52.26;2.77;0.00;1.68;6.58;40.55;0.00;0.00;0.00;103.84;31.33;108.41;33.97;0.00;741.86;0.00;741.86;0.00;1488.49;274.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;274.04;1762.54;417.70;0.00;0.00;0.00;417.70;0.00;113.21;175.85;0.00;20.29;100.09;0.00;0.00;827.14;2589.67
2011.00;890933171.00;34.50;104.72;5.39;0.00;144.61;76.08;637.67;0.00;0.00;15.24;622.44;99.83;31.56;259.82;133.52;0.00;701.05;1225.78;0.00;0.00;0.00;0.00;0.00;0.00;0.00;110.19;0.00;0.00;110.19;2179.10;0.00;0.00;0.00;0.00;424.52;0.00;0.00;17.75;186.81;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;629.08;2808.18;277.83;116.96;45.44;1.96;0.00;7.21;0.00;42.15;0.00;0.00;0.00;96.76;119.49;111.93;0.00;0.00;970.77;0.00;970.77;0.00;1693.75;271.91;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;271.91;1965.66;417.70;0.00;0.00;0.00;417.70;0.00;113.21;175.85;0.00;76.07;59.69;0.00;0.00;842.52;2808.18
