BALANCE GENERAL;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020.00;900065277.00;98.42;2108.15;0.00;0.00;2206.57;535.24;53559.54;0.00;0.00;0.00;53559.54;0.00;0.00;3362.48;0.00;0.00;3669.52;7031.99;0.00;0.00;0.00;0.00;0.00;37225.29;37225.29;0.00;0.00;0.00;0.00;100558.63;0.00;0.00;0.00;0.00;928.81;0.00;0.00;0.00;0.00;0.00;0.00;41.19;0.00;41.19;0.00;0.00;0.00;970.00;101528.63;736.61;8476.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;86.36;0.00;0.00;0.00;437.85;437.85;0.00;9736.97;0.00;88610.98;0.00;0.00;0.00;0.00;0.00;0.00;0.00;88610.98;98347.95;1520.00;0.00;0.00;0.00;1520.00;0.00;77.52;0.00;0.00;0.00;1583.15;0.00;0.00;3180.67;101528.63
2019.00;900065277.00;0.00;1612.76;0.00;0.00;1612.76;0.00;41499.24;0.00;0.00;0.00;41499.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15908.00;15908.00;0.00;0.00;0.00;0.00;59019.99;0.00;0.00;0.00;0.00;702.20;0.00;36.10;36.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;738.30;59758.29;1282.18;6850.64;0.00;0.00;0.00;0.00;0.00;101.61;0.00;0.00;3501.04;3602.65;1746.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13482.00;0.00;43869.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;43869.16;57351.16;1520.00;0.00;0.00;0.00;1520.00;0.00;0.00;0.00;0.00;0.00;887.13;0.00;0.00;2407.13;59758.29
2018.00;900065277.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2017.00;900065277.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2016.00;900065277.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2015.00;900065277.00;185.89;551.52;0.00;0.00;737.41;80.47;14542.42;0.00;0.00;0.00;14542.42;129.38;2.29;449.25;0.00;0.00;1098.80;1679.71;0.00;0.00;0.00;849.21;0.00;0.00;849.21;0.00;0.00;0.00;0.00;17889.22;0.00;0.00;0.00;0.00;125.41;0.00;0.00;32.07;38.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;195.63;18084.85;17.31;12316.79;186.24;7.66;0.00;0.03;0.00;2.67;0.00;3.05;0.00;199.65;72.32;23.98;0.00;0.00;123.14;0.00;123.14;0.00;12753.19;0.00;3765.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3765.25;16518.44;1520.00;0.00;0.00;0.00;1520.00;0.00;274.77;0.00;0.00;265.14;36.79;0.00;0.00;1566.41;18084.85
2014.00;900065277.00;175.60;102.52;0.00;0.00;278.12;30.22;3887.03;0.00;0.00;0.00;3887.03;95.50;6.50;534.66;0.00;0.00;900.71;1537.37;0.00;0.00;0.00;2751.05;0.00;0.00;2751.05;0.00;0.00;0.00;0.00;8483.79;0.00;0.00;0.00;0.00;125.41;0.00;0.00;25.21;38.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;188.91;8672.70;44.75;341.11;344.54;11.48;0.00;0.03;0.00;3.51;0.00;3.47;0.00;363.03;194.37;22.87;0.00;0.00;7.00;0.00;7.00;0.00;973.13;268.91;5344.07;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5612.98;6586.11;1520.00;0.00;0.00;0.00;1520.00;0.00;264.36;0.00;0.00;104.06;198.17;0.00;0.00;2086.59;8672.70
2013.00;900065277.00;156.01;93.69;0.00;0.00;249.70;140.63;1152.67;0.00;0.00;0.00;1152.67;786.59;6.12;430.49;0.00;0.00;788.26;2011.45;0.00;0.00;0.00;777.34;0.00;0.00;777.34;7.94;15.56;0.00;23.50;4355.29;0.00;0.00;0.00;0.00;127.91;0.00;0.00;23.69;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;151.60;4506.89;366.04;86.11;91.81;1.58;0.00;0.25;0.00;3.48;0.00;2.50;0.00;99.62;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;551.77;118.67;1349.04;0.00;83.29;22.43;0.00;0.00;62.26;0.00;1635.68;2187.45;1520.00;0.00;0.00;0.00;1520.00;0.00;263.20;0.00;0.00;17.21;519.03;0.00;0.00;2319.44;4506.89
2012.00;900065277.00;23.67;627.98;0.00;0.00;651.65;182.94;3026.99;0.00;0.00;0.00;3026.99;0.00;6.41;629.15;10.57;0.00;834.36;1480.48;0.00;0.00;0.00;1136.80;0.00;0.00;1136.80;16.45;9.73;0.00;26.18;6505.03;0.00;0.00;0.00;0.00;127.80;0.00;0.00;90.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;217.90;6722.93;227.10;143.31;27.93;2.70;0.00;2.07;0.00;4.54;0.00;3.29;0.00;40.53;802.06;29.96;0.00;0.00;82.00;2.73;84.73;0.00;1327.71;323.24;2245.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2568.48;3896.19;1520.00;0.00;0.00;0.00;1520.00;0.00;210.48;0.00;0.00;551.77;544.50;0.00;0.00;2826.75;6722.93
2011.00;900065277.00;105.16;736.40;0.00;0.00;841.56;0.00;4814.76;0.00;0.00;0.00;4814.76;9.21;231.37;491.33;15.90;0.00;1625.87;2373.69;0.00;0.00;0.00;4738.47;0.00;24.73;4763.20;182.39;25.95;190.53;17.82;12811.02;0.00;0.00;0.00;0.00;126.60;0.00;0.00;133.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;260.25;13071.27;486.91;560.30;109.00;6.88;15.09;4.67;0.00;0.91;0.00;0.89;0.00;137.42;573.25;28.39;0.00;0.00;19.93;39.12;59.05;0.00;1845.32;643.98;8777.98;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9421.96;11267.27;800.00;0.00;0.00;0.00;800.00;0.00;174.52;0.00;0.00;408.54;420.93;0.00;0.00;1804.00;13071.27
