 BALANCE GENERAL ; NIT ; Caja ; Bancos ; Cuentas De Ahorro ; Fondos ; SUBTOTAL DISPONIBLE ; INVERSIONES CP ; Clientes ; Cuentas Corrientes Comerciales ; Deudas De Difícil Cobro ; Provisiones (db) ; TOTAL DEUDORES COMERCIALES ; Cuentas Por Cobrar A Socios y Accionistas ; Anticipos y Avances ; Anticipo De Imptos. y Contrib.O Saldos A Favor ; Cuentas Por Cobrar a Trabajadores ; Activos Biológicos CP ; Deudores Varios / Otros Activos No Financieros ; TOTAL OTROS DEUDORES ; Materias Primas ; Productos En Proceso ; Productos Terminados ; M/Cías No Fabricadas Por La Emp ; Materiales, Repuestos y Accesorios ; Otros Inventarios y Provisiones ; SUBTOTAL INVENTARIOS ; Gastos Pagados Por Anticipado ; Cargos Diferidos ; Amortización Acumulada y Otros ; SUBTOTAL DIFERIDO ; TOTAL ACTIVO CORRIENTE ; Inversiones LP ; Activos biológicos no corrientes ; CxC comerciales y otras CxC no corrientes ; Subtotal Deudores A Largo Plazo ; Propiedades Planta Y Equipo ; Plusvalía ; Activos intangibles distintos de la plusvalía ; Subtotal Intangibles ; Subtotal Diferidos ; Inventarios no corrientes ; Activos por impuestos corrientes, no corriente ; Otros activos no financieros no corrientes ; Activos LP pignorados como garantía para Vender ; Subtotal Otros Activos ; De Inversiones Y Otros ; De Propiedades Planta Y Equipo ; Subtotal Valorizaciones ; TOTAL ACTIVO NO CORRIENTE ; TOTAL ACTIVO ; Obligaciones Financieras ; Proveedores CP ; Costos y Gastos Por Pagar ; Retención En La Fuente ; Deudas Con Accionistas O Socios ; Impuesto A Las Ventas Retenido ; Impuesto De Industria y Comercio Retenido ; Provisiones, Retenciones y Aportes de Nómina ; Otras provisiones corrientes ; Acreedores ; Otras Cuenta Por Pagar ; SUBTOTAL CUENTAS POR PAGAR ; IMPUESTOS GRAVAMENES Y TASAS ; OBLIGACIONES LABORALES ; SUBTOTAL PASIVOS ESTIMAD. Y PROVIS. ; DIFERIDOS ; Anticipos y Avances Recibidos ; Otros ; SUBTOTAL OTROS PASIVOS ; SUBTOTAL BONOS Y PAPELES COMERCIA. ; TOTAL PASIVO CORRIENTE ; Obligaciones Financieras ; Proveedores LP ; Subtotal Cuentas Por Pagar ; Impuestos Gravámenes y Tasas ; Obligaciones Laborales ; Subtotal Pasivos Estimad. y Provis. ; Subtotal Diferidos ; Subtotal Otros Pasivos ; Subtotal Bonos y Papeles Comercia. ; TOTAL PASIVO NO CORRIENTE ; TOTAL PASIVO ; Capital Suscrito y Pagado ; Prima de emisión ; Acciones propias en cartera ; Aportes Sociales y Otros ; SUBTOTAL CAPITAL SOCIAL ; SUBTOTAL SUPERAVIT DE CAPITAL ; RESERVAS ; REVALORIZACION DEL PATRIMONIO ; DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS ; RESULTADOS DEL EJERCICIO ; RESULTADOS DE EJERCICIOS ANTERIORES ; SUPERAVIT POR VALORIZACIONES ; INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES ; TOTAL PATRIMONIO ; TOTAL PASIVO Y PATRIMONIO 
 2.020.00 ; 800.019.102.00 ; 3.64 ; 6.804.48 ; -   ; -   ; 6.808.12 ; 0.58 ; 2.177.86 ; -   ; -   ; 882.71 ; 1.295.15 ; -   ; -   ; -   ; -   ; -   ; 2.204.41 ; 2.204.41 ; -   ; -   ; -   ; -   ; -   ; 229.56 ; 229.56 ; -   ; -   ; -   ; -   ; 10.537.82 ; -   ; -   ; -   ; -   ; 99.493.14 ; -   ; -   ; -   ; 311.52 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 99.804.66 ; 110.342.48 ; -   ; 380.87 ; 4.451.65 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4.451.65 ; 394.53 ; 1.338.70 ; -   ; -   ; -   ; -   ; -   ; -   ; 6.565.74 ; -   ; -   ; -   ; -   ; -   ; -   ; 273.45 ; -   ; -   ; 273.45 ; 6.839.20 ; 7.495.43 ; -   ; -   ; -   ; 7.495.43 ; -   ; 8.714.07 ; -   ; -   ; -   ; 87.293.78 ; -   ; -   ; 103.503.29 ; 110.342.48 
 2.019.00 ; 800.019.102.00 ; -   ; 4.873.14 ; -   ; -   ; 4.873.14 ; -   ; 3.493.99 ; -   ; -   ; -   ; 3.493.99 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 164.73 ; 164.73 ; -   ; -   ; -   ; -   ; 8.531.87 ; -   ; -   ; -   ; -   ; 100.074.68 ; -   ; -   ; -   ; 311.52 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 100.386.20 ; 108.918.07 ; -   ; 4.956.95 ; -   ; -   ; -   ; -   ; -   ; 1.473.32 ; -   ; -   ; -   ; 1.473.32 ; 187.76 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6.618.03 ; -   ; -   ; -   ; -   ; -   ; -   ; 270.36 ; -   ; -   ; 270.36 ; 6.888.39 ; 7.495.43 ; -   ; -   ; -   ; 7.495.43 ; -   ; 6.958.30 ; -   ; -   ; -   ; 87.575.95 ; -   ; -   ; 102.029.68 ; 108.918.07 
 2.018.00 ; 800.019.102.00 ; -   ; 4.807.10 ; -   ; -   ; 4.807.10 ; -   ; 3.378.13 ; -   ; -   ; -   ; 3.378.13 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 76.73 ; 76.73 ; -   ; -   ; -   ; -   ; 8.261.95 ; -   ; -   ; -   ; -   ; 98.399.88 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 98.399.88 ; 106.661.83 ; -   ; 6.553.37 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6.553.37 ; -   ; -   ; 33.19 ; -   ; -   ; -   ; -   ; -   ; -   ; 33.19 ; 6.586.56 ; 7.495.43 ; -   ; -   ; -   ; 7.495.43 ; -   ; 6.817.68 ; -   ; -   ; -   ; 85.762.16 ; -   ; -   ; 100.075.27 ; 106.661.83 
 2.017.00 ; 800.019.102.00 ; 2.94 ; 4.415.53 ; -   ; -   ; 4.418.47 ; 707.51 ; 4.133.59 ; -   ; -   ; -   ; 4.133.59 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 64.44 ; 64.44 ; -   ; -   ; -   ; -   ; 9.324.01 ; -   ; -   ; -   ; -   ; 97.306.85 ; -   ; -   ; -   ; 81.28 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 97.388.12 ; 106.712.13 ; -   ; 6.496.13 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 284.18 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6.780.32 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6.780.32 ; 7.495.43 ; -   ; -   ; -   ; 7.495.43 ; -   ; 6.664.00 ; -   ; -   ; -   ; 85.772.39 ; -   ; -   ; 99.931.82 ; 106.712.13 
 2.016.00 ; 800.019.102.00 ; -   ; 6.291.50 ; -   ; -   ; 6.291.50 ; -   ; 1.934.38 ; -   ; -   ; -   ; 1.934.38 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 58.02 ; 58.02 ; -   ; -   ; -   ; -   ; 8.283.89 ; -   ; -   ; -   ; -   ; 97.943.31 ; -   ; -   ; -   ; 188.70 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 98.132.02 ; 106.415.91 ; -   ; 6.648.13 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6.648.13 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6.648.13 ; 7.495.43 ; -   ; -   ; -   ; 7.495.43 ; -   ; 6.258.58 ; -   ; -   ; -   ; 86.013.77 ; -   ; -   ; 99.767.78 ; 106.415.91 
 2.015.00 ; 800.019.102.00 ; 3.01 ; 496.35 ; 3.026.10 ; -   ; 3.525.46 ; 1.417.70 ; 1.845.67 ; -   ; -   ; 692.78 ; 1.152.89 ; 11.52 ; 1.07 ; 366.20 ; 315.50 ; -   ; 296.04 ; 990.32 ; -   ; -   ; -   ; 163.76 ; -   ; -   ; 163.76 ; 189.79 ; -   ; -   ; 189.79 ; 7.439.93 ; -   ; -   ; -   ; -   ; 13.618.74 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 92.184.93 ; 92.184.93 ; 105.803.67 ; 113.243.60 ; -   ; 59.44 ; 1.530.21 ; 273.30 ; -   ; -   ; 1.95 ; 16.53 ; -   ; 22.69 ; -   ; 1.844.68 ; 92.49 ; 1.455.47 ; 574.48 ; 2.585.96 ; 10.00 ; -   ; 10.00 ; -   ; 6.622.50 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6.622.50 ; 7.495.43 ; -   ; -   ; -   ; 7.495.43 ; -   ; 5.992.99 ; 682.16 ; -   ; 265.59 ; -   ; 92.184.93 ; -   ; 106.621.10 ; 113.243.60 
 2.014.00 ; 800.019.102.00 ; 2.90 ; 31.02 ; 1.230.59 ; -   ; 1.264.52 ; 2.542.30 ; 1.623.52 ; -   ; -   ; 448.28 ; 1.175.24 ; 8.08 ; 63.52 ; 637.72 ; 348.07 ; -   ; 608.10 ; 1.665.48 ; -   ; -   ; -   ; 208.68 ; -   ; -   ; 208.68 ; 100.76 ; -   ; -   ; 100.76 ; 6.956.98 ; -   ; -   ; -   ; -   ; 14.410.29 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3.45 ; -   ; 84.644.80 ; 84.644.80 ; 99.058.54 ; 106.015.52 ; -   ; 61.24 ; 2.317.30 ; 454.92 ; -   ; -   ; 3.20 ; 56.21 ; -   ; 154.29 ; -   ; 2.985.91 ; 94.60 ; 1.966.05 ; 425.00 ; 1.645.35 ; 22.00 ; -   ; 22.00 ; -   ; 7.200.14 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 7.200.14 ; 7.495.43 ; -   ; -   ; -   ; 7.495.43 ; -   ; 7.377.38 ; 682.16 ; -   ; 1.384.39 ; -   ; 84.644.80 ; -   ; 98.815.38 ; 106.015.52 
 2.013.00 ; 800.019.102.00 ; 2.71 ; 198.59 ; 1.883.41 ; -   ; 2.084.71 ; 1.312.04 ; 1.625.73 ; -   ; -   ; 292.28 ; 1.333.45 ; 165.18 ; 10.58 ; 418.64 ; 409.79 ; -   ; 713.13 ; 1.717.32 ; -   ; -   ; -   ; -   ; 301.20 ; -   ; 301.20 ; 98.66 ; 273.86 ; -   ; 372.52 ; 7.121.24 ; -   ; -   ; -   ; -   ; 15.350.09 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3.45 ; -   ; 29.490.04 ; 29.490.04 ; 44.843.58 ; 51.964.82 ; -   ; 75.89 ; 1.299.02 ; 512.40 ; -   ; 8.45 ; 18.11 ; 1.10 ; -   ; 61.90 ; -   ; 1.900.98 ; 307.89 ; 2.692.25 ; 305.00 ; 1.606.35 ; 20.05 ; 11.40 ; 31.45 ; -   ; 6.919.81 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6.919.81 ; 7.495.43 ; -   ; -   ; -   ; 7.495.43 ; -   ; 8.065.64 ; 682.16 ; -   ; 688.26 ; -   ; 29.490.04 ; -   ; 45.045.01 ; 51.964.82 
 2.012.00 ; 800.019.102.00 ; 2.76 ; 38.58 ; 315.92 ; -   ; 357.25 ; 1.463.45 ; 1.442.25 ; -   ; -   ; 221.94 ; 1.220.31 ; 3.44 ; 1.57 ; 704.55 ; 163.78 ; -   ; 204.88 ; 1.078.22 ; -   ; -   ; -   ; -   ; 96.43 ; -   ; 96.43 ; 62.70 ; 501.23 ; -   ; 563.93 ; 4.779.59 ; -   ; -   ; -   ; -   ; 15.708.68 ; -   ; -   ; 1.80 ; -   ; -   ; -   ; -   ; -   ; 20.95 ; -   ; 27.813.03 ; 27.813.03 ; 43.544.46 ; 48.324.05 ; -   ; 70.57 ; 653.58 ; 104.79 ; -   ; 19.34 ; -   ; 3.02 ; -   ; 3.30 ; -   ; 784.02 ; 1.053.16 ; 567.16 ; 185.00 ; 1.423.56 ; 14.05 ; 8.42 ; 22.47 ; -   ; 4.105.94 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4.105.94 ; 7.495.43 ; -   ; -   ; -   ; 7.495.43 ; -   ; 7.627.75 ; 844.00 ; -   ; 437.89 ; -   ; 27.813.03 ; -   ; 44.218.10 ; 48.324.05 
 2.011.00 ; 800.019.102.00 ; 2.75 ; 3.28 ; 316.91 ; -   ; 322.93 ; 698.85 ; 1.402.93 ; -   ; -   ; 101.95 ; 1.300.99 ; -   ; 10.75 ; 470.71 ; 201.48 ; -   ; 128.38 ; 811.32 ; -   ; -   ; -   ; -   ; 103.42 ; -   ; 103.42 ; 84.38 ; 804.99 ; -   ; 889.37 ; 4.126.87 ; -   ; -   ; -   ; -   ; 16.802.13 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20.95 ; -   ; 25.947.59 ; 25.947.59 ; 42.770.66 ; 46.897.53 ; 11.75 ; 66.96 ; 851.03 ; 43.99 ; -   ; 17.67 ; -   ; 12.04 ; -   ; 35.45 ; -   ; 960.18 ; 1.884.45 ; 451.71 ; 220.00 ; 1.145.97 ; 9.90 ; 8.07 ; 17.97 ; -   ; 4.758.98 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4.758.98 ; 7.495.43 ; -   ; -   ; -   ; 7.495.43 ; -   ; 6.047.63 ; 1.067.78 ; -   ; 1.580.12 ; -   ; 25.947.59 ; -   ; 42.138.55 ; 46.897.53 
