BALANCE GENERAL;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020.00;800019102.00;3.64;6804.48;0.00;0.00;6808.12;0.58;2177.86;0.00;0.00;882.71;1295.15;0.00;0.00;0.00;0.00;0.00;2204.41;2204.41;0.00;0.00;0.00;0.00;0.00;229.56;229.56;0.00;0.00;0.00;0.00;10537.82;0.00;0.00;0.00;0.00;99493.14;0.00;0.00;0.00;311.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99804.66;110342.48;0.00;380.87;4451.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4451.65;394.53;1338.70;0.00;0.00;0.00;0.00;0.00;0.00;6565.74;0.00;0.00;0.00;0.00;0.00;0.00;273.45;0.00;0.00;273.45;6839.20;7495.43;0.00;0.00;0.00;7495.43;0.00;8714.07;0.00;0.00;0.00;87293.78;0.00;0.00;103503.29;110342.48
2019.00;800019102.00;0.00;4873.14;0.00;0.00;4873.14;0.00;3493.99;0.00;0.00;0.00;3493.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;164.73;164.73;0.00;0.00;0.00;0.00;8531.87;0.00;0.00;0.00;0.00;100074.68;0.00;0.00;0.00;311.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100386.20;108918.07;0.00;4956.95;0.00;0.00;0.00;0.00;0.00;1473.32;0.00;0.00;0.00;1473.32;187.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6618.03;0.00;0.00;0.00;0.00;0.00;0.00;270.36;0.00;0.00;270.36;6888.39;7495.43;0.00;0.00;0.00;7495.43;0.00;6958.30;0.00;0.00;0.00;87575.95;0.00;0.00;102029.68;108918.07
2018.00;800019102.00;0.00;4807.10;0.00;0.00;4807.10;0.00;3378.13;0.00;0.00;0.00;3378.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;76.73;76.73;0.00;0.00;0.00;0.00;8261.95;0.00;0.00;0.00;0.00;98399.88;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98399.88;106661.83;0.00;6553.37;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6553.37;0.00;0.00;33.19;0.00;0.00;0.00;0.00;0.00;0.00;33.19;6586.56;7495.43;0.00;0.00;0.00;7495.43;0.00;6817.68;0.00;0.00;0.00;85762.16;0.00;0.00;100075.27;106661.83
2017.00;800019102.00;2.94;4415.53;0.00;0.00;4418.47;707.51;4133.59;0.00;0.00;0.00;4133.59;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;64.44;64.44;0.00;0.00;0.00;0.00;9324.01;0.00;0.00;0.00;0.00;97306.85;0.00;0.00;0.00;81.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;97388.12;106712.13;0.00;6496.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;284.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6780.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6780.32;7495.43;0.00;0.00;0.00;7495.43;0.00;6664.00;0.00;0.00;0.00;85772.39;0.00;0.00;99931.82;106712.13
2016.00;800019102.00;0.00;6291.50;0.00;0.00;6291.50;0.00;1934.38;0.00;0.00;0.00;1934.38;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;58.02;58.02;0.00;0.00;0.00;0.00;8283.89;0.00;0.00;0.00;0.00;97943.31;0.00;0.00;0.00;188.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98132.02;106415.91;0.00;6648.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6648.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6648.13;7495.43;0.00;0.00;0.00;7495.43;0.00;6258.58;0.00;0.00;0.00;86013.77;0.00;0.00;99767.78;106415.91
2015.00;800019102.00;3.01;496.35;3026.10;0.00;3525.46;1417.70;1845.67;0.00;0.00;692.78;1152.89;11.52;1.07;366.20;315.50;0.00;296.04;990.32;0.00;0.00;0.00;163.76;0.00;0.00;163.76;189.79;0.00;0.00;189.79;7439.93;0.00;0.00;0.00;0.00;13618.74;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;92184.93;92184.93;105803.67;113243.60;0.00;59.44;1530.21;273.30;0.00;0.00;1.95;16.53;0.00;22.69;0.00;1844.68;92.49;1455.47;574.48;2585.96;10.00;0.00;10.00;0.00;6622.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6622.50;7495.43;0.00;0.00;0.00;7495.43;0.00;5992.99;682.16;0.00;265.59;0.00;92184.93;0.00;106621.10;113243.60
2014.00;800019102.00;2.90;31.02;1230.59;0.00;1264.52;2542.30;1623.52;0.00;0.00;448.28;1175.24;8.08;63.52;637.72;348.07;0.00;608.10;1665.48;0.00;0.00;0.00;208.68;0.00;0.00;208.68;100.76;0.00;0.00;100.76;6956.98;0.00;0.00;0.00;0.00;14410.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.45;0.00;84644.80;84644.80;99058.54;106015.52;0.00;61.24;2317.30;454.92;0.00;0.00;3.20;56.21;0.00;154.29;0.00;2985.91;94.60;1966.05;425.00;1645.35;22.00;0.00;22.00;0.00;7200.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7200.14;7495.43;0.00;0.00;0.00;7495.43;0.00;7377.38;682.16;0.00;1384.39;0.00;84644.80;0.00;98815.38;106015.52
2013.00;800019102.00;2.71;198.59;1883.41;0.00;2084.71;1312.04;1625.73;0.00;0.00;292.28;1333.45;165.18;10.58;418.64;409.79;0.00;713.13;1717.32;0.00;0.00;0.00;0.00;301.20;0.00;301.20;98.66;273.86;0.00;372.52;7121.24;0.00;0.00;0.00;0.00;15350.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.45;0.00;29490.04;29490.04;44843.58;51964.82;0.00;75.89;1299.02;512.40;0.00;8.45;18.11;1.10;0.00;61.90;0.00;1900.98;307.89;2692.25;305.00;1606.35;20.05;11.40;31.45;0.00;6919.81;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6919.81;7495.43;0.00;0.00;0.00;7495.43;0.00;8065.64;682.16;0.00;688.26;0.00;29490.04;0.00;45045.01;51964.82
2012.00;800019102.00;2.76;38.58;315.92;0.00;357.25;1463.45;1442.25;0.00;0.00;221.94;1220.31;3.44;1.57;704.55;163.78;0.00;204.88;1078.22;0.00;0.00;0.00;0.00;96.43;0.00;96.43;62.70;501.23;0.00;563.93;4779.59;0.00;0.00;0.00;0.00;15708.68;0.00;0.00;1.80;0.00;0.00;0.00;0.00;0.00;20.95;0.00;27813.03;27813.03;43544.46;48324.05;0.00;70.57;653.58;104.79;0.00;19.34;0.00;3.02;0.00;3.30;0.00;784.02;1053.16;567.16;185.00;1423.56;14.05;8.42;22.47;0.00;4105.94;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4105.94;7495.43;0.00;0.00;0.00;7495.43;0.00;7627.75;844.00;0.00;437.89;0.00;27813.03;0.00;44218.10;48324.05
2011.00;800019102.00;2.75;3.28;316.91;0.00;322.93;698.85;1402.93;0.00;0.00;101.95;1300.99;0.00;10.75;470.71;201.48;0.00;128.38;811.32;0.00;0.00;0.00;0.00;103.42;0.00;103.42;84.38;804.99;0.00;889.37;4126.87;0.00;0.00;0.00;0.00;16802.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;20.95;0.00;25947.59;25947.59;42770.66;46897.53;11.75;66.96;851.03;43.99;0.00;17.67;0.00;12.04;0.00;35.45;0.00;960.18;1884.45;451.71;220.00;1145.97;9.90;8.07;17.97;0.00;4758.98;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4758.98;7495.43;0.00;0.00;0.00;7495.43;0.00;6047.63;1067.78;0.00;1580.12;0.00;25947.59;0.00;42138.55;46897.53
