BALANCE GENERAL;sector;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO
2020;educacion;800040422;8.07;1.537.44;0;0;1.545.51;1.032.04;1.238.25;0;0;872.9;365.36;0;0;129.02;0;0;582.28;711.3;0;0;0;0;0;11.85;11.85;0;0;0;0;3.666.05;0;0;0;0;37.990.24;0;0;0;79.74;0;0;0;0;0;0;0;0;38.069.97;41.736.02;0;7.913.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.073.32;4.073.32;0;11.986.56;0;0;0;0;0;0;4.979.92;0;0;4.979.92;16.966.48;5.500.00;0;0;0;5.500.00;0;578.4;0;0;0;18.691.14;0;0;24.769.54
2019;educacion;800040422;0;1.393.54;0;0;1.393.54;0;531.74;0;0;0;531.74;0;0;46.27;0;0;0;46.27;0;0;0;0;0;12.68;12.68;0;0;0;0;1.984.23;0;0;0;0;39.399.77;0;0;0;63.67;0;0;0;0;0;0;0;0;39.463.44;41.447.67;0;7.760.81;0;0;0;0;0;0;0;0;3.653.74;3.653.74;0;0;0;0;0;0;0;0;11.414.55;0;0;0;0;0;0;5.356.09;0;0;5.356.09;16.770.64;5.500.00;0;0;0;5.500.00;0;529.08;0;0;0;18.647.95;0;0;24.677.03
2018;educacion;800040422;0;1.293.23;0;0;1.293.23;0;172.08;0;0;0;172.08;0;0;63.63;0;0;0;63.63;0;0;0;0;0;12.8;12.8;0;0;0;0;1.541.73;0;0;0;0;38.519.51;0;0;0;130.13;0;0;0;0;0;0;0;0;38.649.65;40.191.38;0;6.929.15;0;0;0;0;0;0;0;0;4.089.09;4.089.09;0;0;0;0;0;0;0;0;11.018.25;0;0;0;0;0;0;2.061.56;0;0;2.061.56;13.079.81;5.500.00;0;0;0;5.500.00;0;572.41;0;0;0;21.039.17;0;0;27.111.57
2017;educacion;800040422;8.48;233.23;0;0;241.71;1.817.97;228.31;0;0;0;228.31;0;0;379.27;0;0;0;379.27;0;0;0;0;0;12.18;12.18;0;0;0;0;2.679.43;0;0;0;0;33.029.76;0;0;0;76.66;0;0;0;0;0;0;0;0;33.106.42;35.785.86;0;6.321.35;4.447.00;0;0;0;0;0;0;0;0;4.447.00;0;0;0;0;0;0;0;0;10.768.34;0;0;0;0;0;0;2.149.35;0;0;2.149.35;12.917.70;2.500.00;0;0;0;2.500.00;0;469.39;0;0;0;19.898.77;0;0;22.868.16
2016;educacion;800040422;0;2.958.52;0;0;2.958.52;0;711.91;0;0;0;711.91;0;0;391.94;0;0;0;391.94;0;0;0;0;0;18.71;18.71;0;0;0;0;4.081.08;0;0;0;0;28.264.56;0;0;0;0;0;0;0;0;0;0;0;0;28.264.56;32.345.64;0;3.376.19;0;0;0;0;0;0;0;0;3.759.91;3.759.91;0;0;0;0;0;0;0;0;7.136.10;0;0;0;0;0;0;5.876.06;0;0;5.876.06;13.012.16;2.500.00;0;0;0;2.500.00;0;414.47;0;0;0;16.419.01;0;0;19.333.48
2015;educacion;800040422;11.64;226.97;124.63;0;363.24;82.32;0;0;0;0;0;729.89;33.65;574.45;215.67;0;1.110.16;2.663.82;5.59;0;0;22.7;0;0;28.29;0;0;0;0;3.137.66;0;0;0;0;7.668.97;0;0;0;0;0;0;0;0;0;0;19.925.77;19.925.77;27.594.73;30.732.39;64.72;126.67;701.25;229.6;416.82;0;6.88;122.44;0;165.43;847.02;2.489.43;443.12;383.12;0;3.178.85;0;459.41;459.41;0;7.145.32;0;0;0;0;0;0;0;0;0;0;7.145.32;2.500.00;0;0;0;2.500.00;0;349.34;160.68;0;651.29;0;19.925.76;0;23.587.07
2014;educacion;800040422;25.15;68.08;1.575.00;0;1.668.23;67.37;117.65;0;0;3.56;114.09;110;115.22;425.89;180.85;0;747.63;1.579.59;0;0;0;0;0;0;0;0;0;0;0;3.429.28;0;0;0;0;8.282.40;0;0;0;0;0;0;0;0;0;0;8.541.07;8.541.07;16.823.47;20.252.76;2.193.76;9.44;295.33;131.64;1.222.69;0;0;156.52;0;142.18;568.55;2.516.91;383.32;361.35;0;2.979.07;0;178.87;178.87;0;8.622.71;0;0;0;0;0;0;0;0;0;0;8.622.71;1.500.00;0;0;0;1.500.00;0;293.9;160.68;0;554.44;579.95;8.541.07;0;11.630.04
2013;educacion;800040422;29.25;47.28;512.42;0;588.95;63.61;226.92;0;0;213.53;13.39;273.17;169.88;251.26;185.27;0;711.41;1.590.97;0;0;0;0;0;0;0;0;0;0;0;2.256.92;0;0;0;0;8.117.74;0;0;1.04;9.29;0;0;0;0;0;0;8.541.07;8.541.07;16.669.14;18.926.06;1.055.29;21.54;1.210.26;97.58;1.446.76;0;2.08;90.88;0;136.55;558.96;3.543.07;398.37;215.6;0;0;0;0;0;0;5.233.87;0;0;0;0;0;0;2.515.01;101.58;0;2.616.59;7.850.46;1.500.00;0;0;0;1.500.00;0;229.46;160.68;0;644.39;0;8.541.07;0;11.075.60
2012;educacion;800040422;31.8;366.66;293.65;0;692.11;1.215.44;213.53;0;0;213.53;0;230;155.55;154.41;197.36;0;634.67;1.371.99;0;0;0;0;0;0;0;0;0;0;0;3.279.54;0;0;0;0;6.114.64;0;0;0;0;0;0;0;0;0;0;6.085.53;6.085.53;12.200.17;15.479.71;1.225.09;26.8;292.05;40.81;1.919.74;0;1.77;117.35;0;81.38;6.04;2.459.13;348.76;420.67;0;2.225.48;0;29.25;29.25;0;6.735.18;0;0;0;0;0;0;0;0;0;0;6.735.18;1.500.00;0;0;0;1.500.00;0;179.12;160.68;0;503.39;315.82;6.085.53;0;8.744.53
2011;educacion;800040422;11.58;3.74;190.01;0;205.33;78.65;164.19;0;0;164.19;0;290;103.92;109.91;4.31;0;23.18;531.32;0;0;0;0;0;0;0;0;0;0;0;815.3;0;0;0;0;5.979.15;0;0;0;0;0;0;0;0;0;0;6.085.53;6.085.53;12.064.67;12.879.97;517.1;29.69;400.92;39.11;864.06;0;5.13;16.61;0;23.81;223.96;1.573.59;281.67;267.56;0;1.938.32;0;30.9;30.9;0;4.638.82;0;0;0;0;0;0;0;0;0;0;4.638.82;1.500.00;0;0;0;1.500.00;0;144.03;160.68;0;350.91;0;6.085.53;0;8.241.15
