BALANCE GENERAL;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO
2020.00;800040422.00;8.07;1537.44;0.00;0.00;1545.51;1032.04;1238.25;0.00;0.00;872.90;365.36;0.00;0.00;129.02;0.00;0.00;582.28;711.30;0.00;0.00;0.00;0.00;0.00;11.85;11.85;0.00;0.00;0.00;0.00;3666.05;0.00;0.00;0.00;0.00;37990.24;0.00;0.00;0.00;79.74;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;38069.97;41736.02;0.00;7913.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4073.32;4073.32;0.00;11986.56;0.00;0.00;0.00;0.00;0.00;0.00;4979.92;0.00;0.00;4979.92;16966.48;5500.00;0.00;0.00;0.00;5500.00;0.00;578.40;0.00;0.00;0.00;18691.14;0.00;0.00;24769.54
2019.00;800040422.00;0.00;1393.54;0.00;0.00;1393.54;0.00;531.74;0.00;0.00;0.00;531.74;0.00;0.00;46.27;0.00;0.00;0.00;46.27;0.00;0.00;0.00;0.00;0.00;12.68;12.68;0.00;0.00;0.00;0.00;1984.23;0.00;0.00;0.00;0.00;39399.77;0.00;0.00;0.00;63.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;39463.44;41447.67;0.00;7760.81;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3653.74;3653.74;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11414.55;0.00;0.00;0.00;0.00;0.00;0.00;5356.09;0.00;0.00;5356.09;16770.64;5500.00;0.00;0.00;0.00;5500.00;0.00;529.08;0.00;0.00;0.00;18647.95;0.00;0.00;24677.03
2018.00;800040422.00;0.00;1293.23;0.00;0.00;1293.23;0.00;172.08;0.00;0.00;0.00;172.08;0.00;0.00;63.63;0.00;0.00;0.00;63.63;0.00;0.00;0.00;0.00;0.00;12.80;12.80;0.00;0.00;0.00;0.00;1541.73;0.00;0.00;0.00;0.00;38519.51;0.00;0.00;0.00;130.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;38649.65;40191.38;0.00;6929.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4089.09;4089.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11018.25;0.00;0.00;0.00;0.00;0.00;0.00;2061.56;0.00;0.00;2061.56;13079.81;5500.00;0.00;0.00;0.00;5500.00;0.00;572.41;0.00;0.00;0.00;21039.17;0.00;0.00;27111.57
2017.00;800040422.00;8.48;233.23;0.00;0.00;241.71;1817.97;228.31;0.00;0.00;0.00;228.31;0.00;0.00;379.27;0.00;0.00;0.00;379.27;0.00;0.00;0.00;0.00;0.00;12.18;12.18;0.00;0.00;0.00;0.00;2679.43;0.00;0.00;0.00;0.00;33029.76;0.00;0.00;0.00;76.66;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;33106.42;35785.86;0.00;6321.35;4447.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4447.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10768.34;0.00;0.00;0.00;0.00;0.00;0.00;2149.35;0.00;0.00;2149.35;12917.70;2500.00;0.00;0.00;0.00;2500.00;0.00;469.39;0.00;0.00;0.00;19898.77;0.00;0.00;22868.16
2016.00;800040422.00;0.00;2958.52;0.00;0.00;2958.52;0.00;711.91;0.00;0.00;0.00;711.91;0.00;0.00;391.94;0.00;0.00;0.00;391.94;0.00;0.00;0.00;0.00;0.00;18.71;18.71;0.00;0.00;0.00;0.00;4081.08;0.00;0.00;0.00;0.00;28264.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;28264.56;32345.64;0.00;3376.19;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3759.91;3759.91;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7136.10;0.00;0.00;0.00;0.00;0.00;0.00;5876.06;0.00;0.00;5876.06;13012.16;2500.00;0.00;0.00;0.00;2500.00;0.00;414.47;0.00;0.00;0.00;16419.01;0.00;0.00;19333.48
2015.00;800040422.00;11.64;226.97;124.63;0.00;363.24;82.32;0.00;0.00;0.00;0.00;0.00;729.89;33.65;574.45;215.67;0.00;1110.16;2663.82;5.59;0.00;0.00;22.70;0.00;0.00;28.29;0.00;0.00;0.00;0.00;3137.66;0.00;0.00;0.00;0.00;7668.97;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;19925.77;19925.77;27594.73;30732.39;64.72;126.67;701.25;229.60;416.82;0.00;6.88;122.44;0.00;165.43;847.02;2489.43;443.12;383.12;0.00;3178.85;0.00;459.41;459.41;0.00;7145.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7145.32;2500.00;0.00;0.00;0.00;2500.00;0.00;349.34;160.68;0.00;651.29;0.00;19925.76;0.00;23587.07
2014.00;800040422.00;25.15;68.08;1575.00;0.00;1668.23;67.37;117.65;0.00;0.00;3.56;114.09;110.00;115.22;425.89;180.85;0.00;747.63;1579.59;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3429.28;0.00;0.00;0.00;0.00;8282.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8541.07;8541.07;16823.47;20252.76;2193.76;9.44;295.33;131.64;1222.69;0.00;0.00;156.52;0.00;142.18;568.55;2516.91;383.32;361.35;0.00;2979.07;0.00;178.87;178.87;0.00;8622.71;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8622.71;1500.00;0.00;0.00;0.00;1500.00;0.00;293.90;160.68;0.00;554.44;579.95;8541.07;0.00;11630.04
2013.00;800040422.00;29.25;47.28;512.42;0.00;588.95;63.61;226.92;0.00;0.00;213.53;13.39;273.17;169.88;251.26;185.27;0.00;711.41;1590.97;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2256.92;0.00;0.00;0.00;0.00;8117.74;0.00;0.00;1.04;9.29;0.00;0.00;0.00;0.00;0.00;0.00;8541.07;8541.07;16669.14;18926.06;1055.29;21.54;1210.26;97.58;1446.76;0.00;2.08;90.88;0.00;136.55;558.96;3543.07;398.37;215.60;0.00;0.00;0.00;0.00;0.00;0.00;5233.87;0.00;0.00;0.00;0.00;0.00;0.00;2515.01;101.58;0.00;2616.59;7850.46;1500.00;0.00;0.00;0.00;1500.00;0.00;229.46;160.68;0.00;644.39;0.00;8541.07;0.00;11075.60
2012.00;800040422.00;31.80;366.66;293.65;0.00;692.11;1215.44;213.53;0.00;0.00;213.53;0.00;230.00;155.55;154.41;197.36;0.00;634.67;1371.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3279.54;0.00;0.00;0.00;0.00;6114.64;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6085.53;6085.53;12200.17;15479.71;1225.09;26.80;292.05;40.81;1919.74;0.00;1.77;117.35;0.00;81.38;6.04;2459.13;348.76;420.67;0.00;2225.48;0.00;29.25;29.25;0.00;6735.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6735.18;1500.00;0.00;0.00;0.00;1500.00;0.00;179.12;160.68;0.00;503.39;315.82;6085.53;0.00;8744.53
2011.00;800040422.00;11.58;3.74;190.01;0.00;205.33;78.65;164.19;0.00;0.00;164.19;0.00;290.00;103.92;109.91;4.31;0.00;23.18;531.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;815.30;0.00;0.00;0.00;0.00;5979.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6085.53;6085.53;12064.67;12879.97;517.10;29.69;400.92;39.11;864.06;0.00;5.13;16.61;0.00;23.81;223.96;1573.59;281.67;267.56;0.00;1938.32;0.00;30.90;30.90;0.00;4638.82;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4638.82;1500.00;0.00;0.00;0.00;1500.00;0.00;144.03;160.68;0.00;350.91;0.00;6085.53;0.00;8241.15
