,BALANCE GENERAL,NIT,Caja,Bancos,Cuentas De Ahorro,Fondos,SUBTOTAL DISPONIBLE,INVERSIONES CP,Clientes,Cuentas Corrientes Comerciales,Deudas De Difícil Cobro,Provisiones (db),TOTAL DEUDORES COMERCIALES,Cuentas Por Cobrar A Socios y Accionistas,Anticipos y Avances,Anticipo De Imptos. y Contrib.O Saldos A Favor,Cuentas Por Cobrar a Trabajadores,Activos Biológicos CP,Deudores Varios / Otros Activos No Financieros,TOTAL OTROS DEUDORES,Materias Primas,Productos En Proceso,Productos Terminados,M/Cías No Fabricadas Por La Emp,"Materiales, Repuestos y Accesorios",Otros Inventarios y Provisiones,SUBTOTAL INVENTARIOS,Gastos Pagados Por Anticipado,Cargos Diferidos,Amortización Acumulada y Otros,SUBTOTAL DIFERIDO,TOTAL ACTIVO CORRIENTE,Inversiones LP,Activos biológicos no corrientes,CxC comerciales y otras CxC no corrientes,Subtotal Deudores A Largo Plazo,Propiedades Planta Y Equipo,Plusvalía,Activos intangibles distintos de la plusvalía,Subtotal Intangibles,Subtotal Diferidos,Inventarios no corrientes,"Activos por impuestos corrientes, no corriente",Otros activos no financieros no corrientes,Activos LP pignorados como garantía para Vender,Subtotal Otros Activos,De Inversiones Y Otros,De Propiedades Planta Y Equipo,Subtotal Valorizaciones,TOTAL ACTIVO NO CORRIENTE,TOTAL ACTIVO,Obligaciones Financieras,Proveedores CP,Costos y Gastos Por Pagar,Retención En La Fuente,Deudas Con Accionistas O Socios,Impuesto A Las Ventas Retenido,Impuesto De Industria y Comercio Retenido,"Provisiones, Retenciones y Aportes de Nómina",Otras provisiones corrientes,Acreedores,Otras Cuenta Por Pagar,SUBTOTAL CUENTAS POR PAGAR,IMPUESTOS GRAVAMENES Y TASAS,OBLIGACIONES LABORALES,SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.,DIFERIDOS,Anticipos y Avances Recibidos,Otros,SUBTOTAL OTROS PASIVOS,SUBTOTAL BONOS Y PAPELES COMERCIA.,TOTAL PASIVO CORRIENTE,Obligaciones Financieras,Proveedores LP,Subtotal Cuentas Por Pagar,Impuestos Gravámenes y Tasas,Obligaciones Laborales,Subtotal Pasivos Estimad. y Provis.,Subtotal Diferidos,Subtotal Otros Pasivos,Subtotal Bonos y Papeles Comercia.,TOTAL PASIVO NO CORRIENTE,TOTAL PASIVO,Capital Suscrito y Pagado,Prima de emisión,Acciones propias en cartera,Aportes Sociales y Otros,SUBTOTAL CAPITAL SOCIAL,SUBTOTAL SUPERAVIT DE CAPITAL,RESERVAS,REVALORIZACION DEL PATRIMONIO,DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS,RESULTADOS DEL EJERCICIO,RESULTADOS DE EJERCICIOS ANTERIORES,SUPERAVIT POR VALORIZACIONES,INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES,TOTAL PATRIMONIO
,2020,800172544,31.96,260.89,0,-,292.85,35.6,"11,903.67",-,-,0,"11,903.67",0,"1,319.30","1,426.50",-,0,0,"2,745.79",-,-,-,-,-,"11,980.02","11,980.02",-,-,-,-,"26,957.93",0,0,264.95,264.95,"17,332.83",0,0,0,748.86,0,0,0,0,0,-,-,-,"18,346.63","45,304.56","11,075.36","3,728.21",-,-,-,-,-,-,0,-,0,0,"1,226.93",-,"1,773.23",-,-,978.87,978.87,-,"18,782.58","14,095.91",0,0,0,-,-,872.21,190.83,-,"15,158.95","33,941.53","5,000.00",0,0,-,"5,000.00",0,557.66,0,-,-,"5,805.37",-,0,"11,363.03"
,2019,800172544,-,812.44,-,-,812.44,0,"9,397.48",-,-,-,"9,397.48",-,0,"1,893.05",-,0,"1,256.19","3,149.24",-,-,-,-,-,"14,210.06","14,210.06",-,-,-,-,"27,569.21",0,0,318.74,318.74,"17,788.46",0,0,0,"1,274.68",0,0,0,0,0,-,-,-,"19,381.88","46,951.09","8,778.55","4,627.95",-,-,-,-,-,"3,360.70",0,-,"1,666.23","5,026.94","1,251.17",-,-,-,-,-,-,-,"19,684.60","14,816.92",0,0,0,-,-,989.71,0,-,"15,806.63","35,491.23","5,000.00",0,0,-,"5,000.00",0,557.66,0,-,-,"5,902.20",-,0,"11,459.86"
,2018,800172544,-,112.49,-,-,112.49,3.45,"6,602.97",-,-,-,"6,602.97",-,0,0,-,0,0,0,-,-,-,-,-,"8,284.01","8,284.01",-,-,-,-,"15,002.93",0,0,0,0,"11,282.19",0,0,0,0,0,0,"1,978.40",0,"1,978.40",-,-,-,"13,260.59","28,263.52","9,694.66","4,425.56",-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,"14,120.22","1,027.62",0,117.64,0,-,-,542.2,0,-,"1,687.45","15,807.67","1,380.00",0,0,-,"1,380.00",0,557.66,0,-,-,"10,518.19",-,0,"12,455.85"
,2017,800172544,-,112.1,-,-,112.1,3.45,"4,181.30",-,-,-,"4,181.30",-,0,598.69,-,0,0,598.69,-,-,-,-,-,"6,588.20","6,588.20",-,-,-,-,"11,483.74",0,0,0,0,"10,640.45",0,0,0,"1,438.33",0,0,343.04,0,343.04,-,-,-,"12,421.82","23,905.56",440.36,"2,770.04",-,-,-,-,-,891.9,0,0,0,891.9,612.01,-,-,-,-,-,-,-,"4,714.30","6,957.97",0,0,0,-,-,360.85,0,-,"7,318.82","12,033.12","1,380.00",0,0,-,"1,380.00",0,557.66,0,-,-,"9,934.78",-,0,"11,872.44"
,2016,800172544,-,82.45,-,-,82.45,0,"4,642.41",-,-,-,"4,642.41",-,0,0,-,0,0,0,-,-,-,-,-,"6,283.46","6,283.46",-,-,-,-,"11,008.31",0,0,0,0,"10,249.22",0,0,0,"1,438.33",0,0,577.68,0,577.68,-,-,-,"12,265.22","23,273.54",544.73,"3,038.89",-,-,-,-,-,"1,053.30",0,0,0,"1,053.30",526.89,-,-,-,-,-,-,-,"5,163.82","6,816.18",0,0,0,-,-,360.85,0,-,"7,177.03","12,340.85","1,380.00",0,0,-,"1,380.00",0,557.66,0,-,-,"8,995.03",-,0,"10,932.69"
,2015,800172544,19.22,85.84,7.27,14.27,126.59,0,"3,722.76",0,177.39,0,"3,900.15",0,548.63,510.17,25.47,-,892.69,"1,976.96",0,0,0,0,0,"4,509.81","4,509.81",61.16,0,0,61.16,"10,574.68",0,-,-,0,"5,487.33",-,-,6.3,0,-,-,-,-,0,0,"1,923.69","1,923.69","7,417.32","17,991.99",84.59,"1,311.09",539.23,13.02,297.27,3.47,2.04,85.27,-,118.16,122.7,"1,181.16",462.66,592.73,0,0,125.98,3.53,129.51,0,"3,761.75","5,685.90",0,0,0,0,0,0,0,0,"5,685.90","9,447.65",1.38,-,-,0,1.38,0,554.86,3.51,0,479.37,"5,581.54","1,923.69",-,"8,544.34"
,2014,800172544,24.09,174.83,7.01,0,205.93,0,"5,273.63",0,7.91,0,"5,281.54",0,495.48,558.53,6.63,-,"1,567.87","2,628.50",0,0,0,0,0,"1,282.65","1,282.65",0,0,0,0,"9,398.61",0,-,-,0,"3,771.63",-,-,61.01,0,-,-,-,-,0,0,"1,923.69","1,923.69","5,756.33","15,154.94","3,396.60",756.01,218.8,16.67,297.27,3.05,2.07,69.25,-,602.91,2.17,"1,212.19",530,636.76,0,0,536.77,0,536.77,0,"7,068.33",0,0,0,0,0,0,0,0,0,0,"7,068.33","1,380.00",-,-,0,"1,380.00",0,490.78,3.51,0,622.76,"3,665.86","1,923.69",-,"8,086.61"
,2013,800172544,61.85,66.4,6.65,4.55,139.45,16.16,"4,421.48",0,187.12,0,"4,608.60",167.37,465.32,514.34,8.54,-,"1,060.13","2,215.69",0,0,0,0,0,"5,168.68","5,168.68",0,0,0,0,"12,148.57",0,-,-,0,"3,307.50",-,-,108.85,0,-,-,-,-,0,"1,923.69",0,"1,923.69","5,340.04","17,488.62","1,149.10","1,069.72",135.04,39.99,71.43,2.23,2.4,54.12,-,565.58,128.44,999.24,500.35,446.54,0,0,486,0.28,486.28,0,"4,651.22","4,717.68",0,0,0,0,0,0,0,0,"4,717.68","9,368.90","1,380.00",-,-,0,"1,380.00",0,377.21,3.51,0,614.1,"3,821.21","1,923.69",-,"8,119.72"
,2012,800172544,46.42,21.98,0,4.55,72.95,5.44,"2,306.92",0,167.38,0,"2,474.30",207.1,416.87,728.14,55.98,-,825.55,"2,233.63",0,0,0,0,0,"8,968.68","8,968.68",0,0,0,0,"13,754.99",0,-,-,0,"2,949.62",-,-,108.85,0,-,-,-,-,0,"1,923.69",0,"1,923.69","4,982.17","18,737.16","6,233.03","1,554.75",148.8,10.78,390.91,10.5,1.7,123.65,-,"1,024.42",44.79,"1,755.54",107.44,"1,024.62",0,0,"1,251.99",0,"1,251.99",0,"11,927.37",0,0,0,0,0,0,0,0,0,0,"11,927.37",680,-,-,0,680,0,377.21,3.51,0,521.35,"3,304.03","1,923.69",-,"6,809.79"
,2011,800172544,24.89,79.15,0,0,104.04,10.24,"1,908.65",0,167.38,0,"2,076.03",115.3,730.02,463.82,7.29,-,"1,107.76","2,424.19",0,0,0,0,0,"6,067.35","6,067.35",0,0,0,0,"10,681.85",0,-,-,0,"2,953.86",-,-,108.85,0,-,-,-,-,0,"1,923.69",0,"1,923.69","4,986.40","15,668.25","6,469.07",805.18,"1,249.91",0,0,0,0,0,-,0,0,"1,249.91",232.02,557.3,0,0,65.89,0,65.89,0,"9,379.36",0,0,0,0,0,0,0,0,0,0,"9,379.36",680,-,-,0,680,0,313.73,3.51,0,635.24,"2,732.72","1,923.69",-,"6,288.89"
