,BALANCE GENERAL,NIT,Caja,Bancos,Cuentas De Ahorro,Fondos,SUBTOTAL DISPONIBLE,INVERSIONES CP,Clientes,Cuentas Corrientes Comerciales,Deudas De Difícil Cobro,Provisiones (db),TOTAL DEUDORES COMERCIALES,Cuentas Por Cobrar A Socios y Accionistas,Anticipos y Avances,Anticipo De Imptos. y Contrib.O Saldos A Favor,Cuentas Por Cobrar a Trabajadores,Activos Biológicos CP,Deudores Varios / Otros Activos No Financieros,TOTAL OTROS DEUDORES,Materias Primas,Productos En Proceso,Productos Terminados,M/Cías No Fabricadas Por La Emp,"Materiales, Repuestos y Accesorios",Otros Inventarios y Provisiones,SUBTOTAL INVENTARIOS,Gastos Pagados Por Anticipado,Cargos Diferidos,Amortización Acumulada y Otros,SUBTOTAL DIFERIDO,TOTAL ACTIVO CORRIENTE,Inversiones LP,Activos biológicos no corrientes,CxC comerciales y otras CxC no corrientes,Subtotal Deudores A Largo Plazo,Propiedades Planta Y Equipo,Plusvalía,Activos intangibles distintos de la plusvalía,Subtotal Intangibles,Subtotal Diferidos,Inventarios no corrientes,"Activos por impuestos corrientes, no corriente",Otros activos no financieros no corrientes,Activos LP pignorados como garantía para Vender,Subtotal Otros Activos,De Inversiones Y Otros,De Propiedades Planta Y Equipo,Subtotal Valorizaciones,TOTAL ACTIVO NO CORRIENTE,TOTAL ACTIVO,Obligaciones Financieras,Proveedores CP,Costos y Gastos Por Pagar,Retención En La Fuente,Deudas Con Accionistas O Socios,Impuesto A Las Ventas Retenido,Impuesto De Industria y Comercio Retenido,"Provisiones, Retenciones y Aportes de Nómina",Otras provisiones corrientes,Acreedores,Otras Cuenta Por Pagar,SUBTOTAL CUENTAS POR PAGAR,IMPUESTOS GRAVAMENES Y TASAS,OBLIGACIONES LABORALES,SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.,DIFERIDOS,Anticipos y Avances Recibidos,Otros,SUBTOTAL OTROS PASIVOS,SUBTOTAL BONOS Y PAPELES COMERCIA.,TOTAL PASIVO CORRIENTE,Obligaciones Financieras,Proveedores LP,Subtotal Cuentas Por Pagar,Impuestos Gravámenes y Tasas,Obligaciones Laborales,Subtotal Pasivos Estimad. y Provis.,Subtotal Diferidos,Subtotal Otros Pasivos,Subtotal Bonos y Papeles Comercia.,TOTAL PASIVO NO CORRIENTE,TOTAL PASIVO,Capital Suscrito y Pagado,Prima de emisión,Acciones propias en cartera,Aportes Sociales y Otros,SUBTOTAL CAPITAL SOCIAL,SUBTOTAL SUPERAVIT DE CAPITAL,RESERVAS,REVALORIZACION DEL PATRIMONIO,DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS,RESULTADOS DEL EJERCICIO,RESULTADOS DE EJERCICIOS ANTERIORES,SUPERAVIT POR VALORIZACIONES,INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES,TOTAL PATRIMONIO,TOTAL PASIVO Y PATRIMONIO
,2020,811030714,144.78,"2,265.08",0,-,"2,409.86",0,"14,157.13",-,-,"1,038.68","13,118.45",0,0,0,-,0,0,0,-,-,-,-,-,0,0,-,-,-,-,"15,528.31",0,0,0,0,"47,161.97",0,7.88,7.88,165.74,0,0,"1,216.47",0,"1,216.47",-,-,-,"48,552.05","64,080.36","4,418.20","4,558.85",0,-,-,-,-,-,0,-,-,0,548.03,85.85,0,-,-,0,0,-,"9,610.93","17,387.78",0,0,0,0,-,"3,835.12","2,230.04",-,"23,452.93","33,063.86","2,000.00",0,0,-,"2,000.00","9,249.61","3,037.83",0,-,-,"16,729.07",-,0,"31,016.50","64,080.36"
,2019,811030714,-,327.67,-,-,327.67,0,"14,426.85",-,-,-,"14,426.85",-,0,0,-,0,0,0,-,-,-,-,-,0,0,-,-,-,-,"14,754.52","1,216.47",0,0,0,"48,148.93",0,29.85,29.85,114.36,0,0,0,0,0,-,-,-,"49,509.60","64,264.12","5,239.07","3,726.71",-,-,-,-,-,89.62,0,-,0,89.62,619.06,-,-,-,-,-,-,-,"9,674.46","16,353.77",0,0,0,-,-,"3,819.17","2,651.04",-,"22,823.98","32,498.44","2,000.00",0,0,-,"2,000.00","9,249.61","3,266.99",0,-,-,"17,249.08",-,0,"31,765.69","64,264.12"
,2018,811030714,-,584.36,-,-,584.36,0,"12,732.53",-,-,-,"12,732.53",-,0,0,-,0,0,0,-,-,-,-,-,0,0,-,-,-,-,"13,316.88","1,216.47",0,0,0,"35,016.71",0,73.39,73.39,76.71,0,0,0,0,0,-,-,-,"36,383.28","49,700.17",0,"8,967.51",-,-,-,-,-,21.91,0,-,0,21.91,"1,083.26",-,-,-,-,-,-,-,"10,072.68",0,"14,497.86",0,0,-,-,"2,743.65","2,473.76",-,"19,715.26","29,787.94","2,000.00",0,0,-,"2,000.00",0,933.66,0,-,-,"16,978.57",-,0,"19,912.23","49,700.17"
,2017,811030714,296.42,575.71,-,-,872.13,0,"8,307.61",-,-,-,"8,307.61",0,0,0,-,0,0,0,-,-,-,-,-,0,0,-,-,-,-,"9,179.74",0,0,0,0,"36,019.25",0,95.11,95.11,39.73,0,0,"1,216.47",0,"1,216.47",-,-,-,"37,370.55","46,550.29",0,"5,543.42",0,-,-,-,-,15.75,0,-,0,15.75,542.13,-,-,-,-,-,-,-,"6,101.30",0,"17,003.68",-,0,0,0,"2,721.24","2,079.94",-,"21,804.86","27,906.16","2,000.00",0,0,-,"2,000.00",0,729.58,0,-,-,"15,914.56",-,0,"18,644.14","46,550.29"
,2016,811030714,-,726.53,-,-,726.53,0,"7,018.14",-,-,-,"7,018.14",-,0,0,-,0,0,0,-,-,-,-,-,0,0,-,-,-,-,"7,744.67","1,216.47",0,0,0,"35,334.12",0,76.44,76.44,27.31,0,0,0,0,0,-,-,-,"36,654.34","44,399.01",0,"5,429.63",-,-,-,-,-,28.73,0,-,0,28.73,981.78,-,-,-,-,-,-,-,"6,440.13",0,"16,638.75",0,0,-,-,"2,666.86",842.95,-,"20,148.56","26,588.69","2,000.00",0,0,-,"2,000.00",0,579.72,0,-,-,"15,230.60",-,0,"17,810.32","44,399.01"
,2015,811030714,48.62,59.18,100.83,0,208.62,"1,216.47",0,0,75.35,0,75.35,"4,686.10",410.4,978.46,20.82,-,122.95,"6,218.73",0,0,0,0,0,0,0,0,0,0,0,"7,719.17",0,-,-,0,"1,641.08",-,-,"17,372.72",0,-,-,-,-,0,"8,674.82",0,"8,674.82","27,688.62","35,407.79","3,693.86",315.44,"1,157.73",28.34,0,0,0,58.72,-,0,503.89,"1,748.68",961.78,11.83,0,383.3,135.44,1.46,136.9,0,"7,251.78","14,997.58",0,170,0,0,0,0,0,0,"15,167.58","22,419.36","2,000.00",-,-,0,"2,000.00",0,387.06,0,0,"1,926.55",0,"8,674.82",-,"12,988.43","35,407.79"
,2014,811030714,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,2013,811030714,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,2012,811030714,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,2011,811030714,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
