,BALANCE GENERAL,NIT,Caja,Bancos,Cuentas De Ahorro,Fondos,SUBTOTAL DISPONIBLE,INVERSIONES CP,Clientes,Cuentas Corrientes Comerciales,Deudas De Difícil Cobro,Provisiones (db),TOTAL DEUDORES COMERCIALES,Cuentas Por Cobrar A Socios y Accionistas,Anticipos y Avances,Anticipo De Imptos. y Contrib.O Saldos A Favor,Cuentas Por Cobrar a Trabajadores,Activos Biológicos CP,Deudores Varios / Otros Activos No Financieros,TOTAL OTROS DEUDORES,Materias Primas,Productos En Proceso,Productos Terminados,M/Cías No Fabricadas Por La Emp,"Materiales, Repuestos y Accesorios",Otros Inventarios y Provisiones,SUBTOTAL INVENTARIOS,Gastos Pagados Por Anticipado,Cargos Diferidos,Amortización Acumulada y Otros,SUBTOTAL DIFERIDO,TOTAL ACTIVO CORRIENTE,Inversiones LP,Activos biológicos no corrientes,CxC comerciales y otras CxC no corrientes,Subtotal Deudores A Largo Plazo,Propiedades Planta Y Equipo,Plusvalía,Activos intangibles distintos de la plusvalía,Subtotal Intangibles,Subtotal Diferidos,Inventarios no corrientes,"Activos por impuestos corrientes, no corriente",Otros activos no financieros no corrientes,Activos LP pignorados como garantía para Vender,Subtotal Otros Activos,De Inversiones Y Otros,De Propiedades Planta Y Equipo,Subtotal Valorizaciones,TOTAL ACTIVO NO CORRIENTE,TOTAL ACTIVO,Obligaciones Financieras,Proveedores CP,Costos y Gastos Por Pagar,Retención En La Fuente,Deudas Con Accionistas O Socios,Impuesto A Las Ventas Retenido,Impuesto De Industria y Comercio Retenido,"Provisiones, Retenciones y Aportes de Nómina",Otras provisiones corrientes,Acreedores,Otras Cuenta Por Pagar,SUBTOTAL CUENTAS POR PAGAR,IMPUESTOS GRAVAMENES Y TASAS,OBLIGACIONES LABORALES,SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.,DIFERIDOS,Anticipos y Avances Recibidos,Otros,SUBTOTAL OTROS PASIVOS,SUBTOTAL BONOS Y PAPELES COMERCIA.,TOTAL PASIVO CORRIENTE,Obligaciones Financieras,Proveedores LP,Subtotal Cuentas Por Pagar,Impuestos Gravámenes y Tasas,Obligaciones Laborales,Subtotal Pasivos Estimad. y Provis.,Subtotal Diferidos,Subtotal Otros Pasivos,Subtotal Bonos y Papeles Comercia.,TOTAL PASIVO NO CORRIENTE,TOTAL PASIVO,Capital Suscrito y Pagado,Prima de emisión,Acciones propias en cartera,Aportes Sociales y Otros,SUBTOTAL CAPITAL SOCIAL,SUBTOTAL SUPERAVIT DE CAPITAL,RESERVAS,REVALORIZACION DEL PATRIMONIO,DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS,RESULTADOS DEL EJERCICIO,RESULTADOS DE EJERCICIOS ANTERIORES,SUPERAVIT POR VALORIZACIONES,INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES,TOTAL PATRIMONIO,TOTAL PASIVO Y PATRIMONIO
,2020,830013819,1.6,278.07,0,-,279.67,770.17,0,-,-,0,0,0,0,0,-,0,587.03,587.03,-,-,-,-,-,30.64,30.64,-,-,-,-,"1,667.51",0,0,0,0,"15,946.89",0,0,0,0,0,0,0,0,0,-,-,-,"15,946.89","17,614.40",0,657.28,0.18,-,-,-,-,-,0,-,-,0.18,73.47,0,0,-,-,"2,743.77","2,743.77",-,"3,474.70","1,106.52",0,0,0,0,-,"1,493.79",0,-,"2,600.32","6,075.02",900,0,0,-,900,0,355.78,"8,024.04",-,-,"2,259.56",-,0,"11,539.38","17,614.40"
,2019,830013819,-,"1,153.95",-,-,"1,153.95",57.24,615.51,-,-,-,615.51,-,0,0,-,0,0,0,-,-,-,-,-,32.43,32.43,-,-,-,-,"1,859.13",0,0,0,0,"15,514.40",0,0,0,0,0,0,0,0,0,-,-,-,"15,514.40","17,373.53",0,654.88,-,-,-,-,-,0,0,-,"2,766.40","2,766.40",95.12,-,-,-,-,-,-,-,"3,516.39","1,259.03",0,0,0,-,-,"1,474.75",0,-,"2,733.77","6,250.17",900,0,0,-,900,0,307.34,"8,024.04",-,-,"1,891.98",-,0,"11,123.36","17,373.53"
,2018,830013819,-,"1,316.20",-,-,"1,316.20",69.32,341.18,-,-,-,341.18,-,0,0,-,0,0,0,-,-,-,-,-,44.21,44.21,-,-,-,-,"1,770.91",0,0,0,0,"13,783.46",0,0,0,0,0,0,0,0,0,-,-,-,"13,783.46","15,554.37",1.44,341.06,-,-,-,-,-,0,0,-,"2,406.48","2,406.48",84.78,-,-,-,-,-,-,-,"2,833.75",0,0,0,0,-,-,"1,549.02",874.4,-,"2,423.42","5,257.17",900,0,0,-,900,0,264.41,0,-,-,"9,132.78",-,0,"10,297.19","15,554.37"
,2017,830013819,2.15,370.37,-,-,372.53,387.31,459.94,-,-,-,459.94,0,31.85,0,-,0,0,31.85,-,-,-,-,-,55.99,55.99,-,-,-,-,"1,307.61",0,0,0,0,"13,685.15",0,0,0,156.65,0,0,0,0,0,-,-,-,"13,841.80","15,149.40",0.81,370.91,"2,217.41",-,-,-,-,0,0,-,0,"2,217.41",47.39,-,-,-,-,-,-,-,"2,636.51",13.55,0,-,0,0,0,"1,647.47",217.45,-,"1,878.47","4,514.98",900,0,0,-,900,0,224.58,"8,023.82",-,-,"1,486.02",-,0,"10,634.43","15,149.40"
,2016,830013819,-,290.6,-,-,290.6,44.66,155.01,-,-,-,155.01,-,0,274.09,-,0,0,274.09,-,-,-,-,-,30.4,30.4,-,-,-,-,794.77,0,0,0,0,"13,821.88",0,0,0,33.93,0,0,0,0,0,-,-,-,"13,855.81","14,650.58",116.3,588.28,-,-,-,-,-,0,0,-,0,0,0,-,-,-,-,-,-,-,704.58,0,496.14,0,46.33,-,-,"1,617.74","1,738.67",-,"3,898.88","4,603.46",900,0,0,-,900,0,199.8,"8,122.87",-,-,824.46,-,0,"10,047.12","14,650.58"
,2015,830013819,2.81,8.9,46.69,10.38,68.77,0,0,0,0,0,0,0,13.97,309.23,69.33,-,9.12,401.66,0,0,0,0,0,0,0,0,0,0,0,470.43,0,-,-,0,"4,070.35",-,-,204.93,0,-,-,-,-,0,0,"9,286.35","9,286.35","13,561.63","14,032.06",14.77,10.4,157.98,38.73,0,0,1.51,86.83,-,105.35,2.45,392.85,219.4,142.79,0,0,0,159.81,159.81,0,940.01,214.53,0,567.41,0,0,0,"1,436.45",0,0,"2,218.38","3,158.40",900,-,-,0,900,0,165.05,174.8,0,347.47,0,"9,286.35",-,"10,873.67","14,032.06"
,2014,830013819,10.64,7.12,20.43,4.83,43.01,0,0,0,0,0,0,0,110.01,196.01,5.56,-,28.27,339.84,0,0,0,0,0,0,0,0,0,0,0,382.85,0,-,-,0,"4,257.00",-,-,299.29,40.13,-,-,-,-,0,0,0,0,"4,596.42","4,979.27",1.12,0,209.12,44.74,0,0,3.55,6.7,-,8.1,0,272.21,193.73,22.7,0,0,0,140.47,140.47,0,630.22,320.66,0,413,0,0,0,"1,271.61",0,0,"2,005.27","2,635.49",900,-,-,0,900,0,134.61,174.8,0,304.43,829.94,0,-,"2,343.78","4,979.27"
,2013,830013819,5.56,35.33,197.61,302.87,541.38,0,7.25,0,0,0,7.25,0,140.45,82.42,2.75,-,23.27,248.88,0,0,0,0,0,0,0,0,0,0,0,797.51,0,-,-,0,"4,456.11",-,-,396.53,0,-,-,-,-,0,0,0,0,"4,852.64","5,650.15",410.16,1.58,122.95,12.97,"1,450.01",0,2.04,0,-,46.47,0,"1,634.44",165.65,97.32,0,"1,214.34",0,83.56,83.56,0,"3,607.04",0,0,0,0,0,0,0,0,0,0,"3,607.04",900,-,-,0,900,0,109.36,178.56,0,252.45,602.74,0,-,"2,043.11","5,650.15"
,2012,830013819,1.19,0,135.49,7.42,144.1,1.13,45.15,0,0,0,45.15,0,50.93,69.4,1.34,-,12.96,134.63,0,0,0,0,0,0,0,0,9.21,0,9.21,334.21,0,-,-,0,"4,647.88",-,-,0,0,-,-,-,-,0,0,0,0,"4,647.88","4,982.09",16.23,4.4,65,6.31,"1,634.91",0,0.57,81.48,-,0,58.55,"1,846.82",85.56,41.24,0,"1,167.35",0,26.07,26.07,0,"3,187.67",0,0,0,0,0,0,0,0,0,0,"3,187.67",900,-,-,0,900,0,98.5,182.32,0,108.65,504.95,0,-,"1,794.42","4,982.09"
,2011,830013819,1.46,0,60.68,5.74,67.88,1.13,0,0,0,0,0,0,134.45,51.59,2.48,-,13.68,202.2,0,0,0,0,0,0,0,0,0,0,0,271.22,0,-,-,0,"4,248.46",-,-,0,0,-,-,-,-,0,0,0,0,"4,248.46","4,519.67",16.49,4.2,57.12,13.85,"1,351.73",0,1.67,49.06,-,46.11,0,"1,519.55",121.68,28.51,0,"1,050.49",0,34.21,34.21,0,"2,775.14",55,0,0,0,0,0,0,0,0,55,"2,830.14",900,-,-,0,900,0,79.66,186.09,0,188.36,335.43,0,-,"1,689.54","4,519.67"
,2010,830013819,5.35,5.99,42.08,306.57,359.99,200.77,0,0,0,0,0,0,225.62,45.17,4.28,-,8.32,283.39,0,0,0,0,0,0,0,0,0,0,0,844.15,0,-,-,0,"3,405.63",-,-,0,0,-,-,-,-,0,0,0,0,"3,405.63","4,249.78",0,4.29,199.66,13.7,"1,209.88",0,1.82,22.53,-,0.22,0,"1,447.80",83.64,7.68,0,909.74,0,16.68,16.68,0,"2,469.84",275,0,0,0,0,0,0,0,0,275,"2,744.84",900,-,-,0,900,0,51.6,189.85,0,280.66,82.84,0,-,"1,504.94","4,249.78"
,2009,830013819,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,2008,830013819,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,2007,830013819,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,2006,830013819,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
