BALANCE GENERAL;SECTOR;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;Educacion;860511232;16.5;1327.34;0;0;1343.84;5374.19;20326.5;0;0;0;20326.5;0;0;1763.25;0;0;364.8;2128.05;0;0;0;0;0;388.85;388.85;0;0;0;0;29561.42;0;0;0;0;1636.47;0;82.43;82.43;311.38;0;0;0;315.51;315.51;0;0;0;2345.78;31907.2;0;9796.32;0;0;0;0;0;0;0;0;0;0;953.52;3383.39;396.62;0;0;7203.45;7203.45;0;21733.3;0;209.39;0;0;0;0;65.81;0;0;275.2;22008.5;2122.3;10869.4;0;0;12991.7;0;0;0;0;0;3093;0;0;9898.7;31907.2
2019;Educacion;860511232;0;2228.06;0;0;2228.06;566.3;19033.49;0;0;0;19033.49;0;0;1836.69;0;0;0;1836.69;0;0;0;0;0;607.37;607.37;0;0;0;0;24271.9;0;0;0;0;1948.54;0;94.87;94.87;796.12;0;0;193.16;0;193.16;0;0;0;3032.68;27304.59;0;8782.92;0;0;0;0;0;2667.3;264.94;0;6124.2;9056.43;269.27;0;0;0;0;0;0;0;18108.63;0;6332.14;7.48;0;0;0;0;0;0;6339.62;24448.24;2121.7;0;0;0;2121.7;0;2270.16;0;0;0;1535.51;0;0;2856.34;27304.59
2018;Educacion;860511232;0;3049.29;0;0;3049.29;66.3;12652.8;0;0;0;12652.8;0;0;2842.86;0;0;0;2842.86;0;0;0;0;0;527.56;527.56;0;0;0;0;19138.8;0;0;0;0;2371.89;0;74.92;74.92;628.28;0;0;63.16;0;63.16;0;0;0;3138.26;22277.06;0;4983.1;0;0;0;0;0;1717.61;264.94;0;4955.86;6938.4;154.31;0;0;0;0;0;0;0;12075.81;0;3716.06;0;0;0;0;0;0;0;3716.06;15791.87;2121.7;0;0;0;2121.7;0;2270.16;0;0;0;2093.33;0;0;6485.19;22277.06
2017;Educacion;860511232;0;5715.01;0;0;5715.01;66.3;11248.41;0;0;0;11248.41;0;0;0;0;0;0;0;0;0;0;0;0;1118.31;1118.31;0;0;0;0;18148.03;0;0;0;0;2415.81;0;232.34;232.34;435.6;0;0;110.34;0;110.34;0;0;0;3194.09;21342.12;0;2099.44;0;0;0;0;0;1250.67;254.92;5857.02;0;7362.61;123.02;0;0;0;0;0;0;0;9585.07;0;2748.3;0;0;0;0;0;0;0;2748.3;12333.37;2121.7;0;0;0;2121.7;0;1800.77;0;0;0;5086.29;0;0;9008.76;21342.12
2016;Educacion;860511232;0;4522.06;0;0;4522.06;53.5;11855.95;0;0;0;11855.95;0;0;0;0;0;26.4;26.4;0;0;0;0;0;1163.82;1163.82;0;0;0;0;17621.73;0;0;0;0;2825.62;0;422.66;422.66;153.17;0;0;216.23;0;216.23;0;0;0;3617.68;21239.4;0;1653.59;0;0;0;0;0;1215.24;230.28;0;3945.05;5390.58;107.28;0;0;0;0;0;0;0;7151.45;0;4917.43;0;0;0;0;566.27;0;0;5483.71;12635.15;2121.7;0;0;0;2121.7;0;2270.16;0;0;0;4212.39;0;0;8604.25;21239.4
2015;Educacion;860511232;36.11;2354.19;1008.14;2576.34;5974.78;0;557.32;4.73;0;377.68;184.36;0;340.89;2083.07;0;0;8216.05;10640;0;0;0;823.8;0;65.16;758.63;168.31;182.27;0;350.58;17908.36;0;0;0;0;874.88;0;0;0;1757.9;0;0;0;0;202.71;0;0;0;2835.5;20743.86;0;219.58;25.58;69.58;0;12.67;6.42;82.34;0;120.41;3279.91;3596.92;71.39;1015.29;169;5831.69;0;0;0;0;10903.87;0;0;2364.53;0;0;0;0;0;0;2364.53;13268.4;1.54;0;0;0;1.54;0;0.77;2120.15;0;757.02;4595.97;0;0;7475.46;20743.86
2014;Educacion;860511232;12.62;6114.78;2208.83;0;8336.23;0;2532.87;1.47;0;321.66;2212.68;0;323.15;1357.89;0;0;6035.27;7716.32;0;0;443.1;0;0;0;443.1;0;427.91;0;427.91;19136.24;0;0;0;0;809.49;0;0;0;1698.07;0;0;0;0;142.29;0;0;0;2649.85;21786.09;0;200.2;0;0;0;0;0;0;0;0;2377.13;2377.13;85.48;937.44;387.2;8715.68;0;0;0;0;12703.12;0;0;2364.53;0;0;0;0;0;0;2364.53;15067.65;1.54;0;0;0;1.54;0;2270.16;2120.15;0;2326.58;0;0;0;6718.44;21786.09
2013;Educacion;860511232;10.1;2851.6;1618.31;0;4480;0;4012.67;18.21;0;480.34;3550.54;0;219.55;1537.22;0;0;5928.72;7685.49;0;0;0;570.15;0;0;570.15;0;493.78;0;493.78;16779.95;0;0;0;0;484.52;0;0;0;1139.88;0;0;0;0;130.01;0;0;0;1754.41;18534.35;0;616.37;342.71;71.48;0;21.04;8.56;64.74;0;100.94;3929;4538.46;1033.87;883.88;518.13;6551.8;0;0;0;0;14142.5;0;0;0;0;0;0;0;0;0;0;14142.5;1.54;0;0;0;1.54;0;0.77;2120.15;0;638.81;1630.58;0;0;4391.86;18534.35
2012;Educacion;860511232;10.42;1612.14;2129.9;0;3752.45;986.2;2515.7;6.39;0;196.23;2325.86;0;103.44;1235.04;0;0;4808.54;6147.01;0;0;0;486.69;0;0;486.69;367.64;235.65;0;603.29;14301.5;0;0;0;0;291.77;0;0;0;999.75;0;0;0;0;92.8;0;0;0;1384.32;15685.82;0;1158.25;76.64;102.74;0;0;9.65;130.43;0;148.37;608.88;1076.71;1253.5;806.59;225.08;4173.98;0;0;0;0;8694.11;0;0;1900;0;0;0;0;0;0;1900;10594.11;1.54;0;0;0;1.54;0;0.77;2120.15;0;1630.58;1338.67;0;0;5091.72;15685.82
2011;Educacion;860511232;12.81;2307.57;0;1001.21;3321.59;0;1342.55;4.84;0;142.44;1204.96;0;101.93;882.66;0;0;2734.53;3719.12;0;0;0;477.36;0;54.94;422.42;85.93;566.36;0;652.29;9320.38;0;0;0;0;299.93;0;0;0;0;0;0;0;0;65.63;0;0;0;365.56;9685.94;0;496.19;49.63;70.97;0;31.26;8.11;104.7;0;120.8;459.72;845.17;96.64;667.35;1083.98;3035.48;0;0;0;0;6224.81;0;0;0;0;0;0;0;0;0;0;6224.81;1.54;0;0;0;1.54;0;0.77;2120.15;0;1338.67;0;0;0;3461.14;9685.94
