,BALANCE GENERAL,NIT,Caja,Bancos,Cuentas De Ahorro,Fondos,SUBTOTAL DISPONIBLE,INVERSIONES CP,Clientes,Cuentas Corrientes Comerciales,Deudas De Difícil Cobro,Provisiones (db),TOTAL DEUDORES COMERCIALES,Cuentas Por Cobrar A Socios y Accionistas,Anticipos y Avances,Anticipo De Imptos. y Contrib.O Saldos A Favor,Cuentas Por Cobrar a Trabajadores,Activos Biológicos CP,Deudores Varios / Otros Activos No Financieros,TOTAL OTROS DEUDORES,Materias Primas,Productos En Proceso,Productos Terminados,M/Cías No Fabricadas Por La Emp,"Materiales, Repuestos y Accesorios",Otros Inventarios y Provisiones,SUBTOTAL INVENTARIOS,Gastos Pagados Por Anticipado,Cargos Diferidos,Amortización Acumulada y Otros,SUBTOTAL DIFERIDO,TOTAL ACTIVO CORRIENTE,Inversiones LP,Activos biológicos no corrientes,CxC comerciales y otras CxC no corrientes,Subtotal Deudores A Largo Plazo,Propiedades Planta Y Equipo,Plusvalía,Activos intangibles distintos de la plusvalía,Subtotal Intangibles,Subtotal Diferidos,Inventarios no corrientes,"Activos por impuestos corrientes, no corriente",Otros activos no financieros no corrientes,Activos LP pignorados como garantía para Vender,Subtotal Otros Activos,De Inversiones Y Otros,De Propiedades Planta Y Equipo,Subtotal Valorizaciones,TOTAL ACTIVO NO CORRIENTE,TOTAL ACTIVO,Obligaciones Financieras,Proveedores CP,Costos y Gastos Por Pagar,Retención En La Fuente,Deudas Con Accionistas O Socios,Impuesto A Las Ventas Retenido,Impuesto De Industria y Comercio Retenido,"Provisiones, Retenciones y Aportes de Nómina",Otras provisiones corrientes,Acreedores,Otras Cuenta Por Pagar,SUBTOTAL CUENTAS POR PAGAR,IMPUESTOS GRAVAMENES Y TASAS,OBLIGACIONES LABORALES,SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.,DIFERIDOS,Anticipos y Avances Recibidos,Otros,SUBTOTAL OTROS PASIVOS,SUBTOTAL BONOS Y PAPELES COMERCIA.,TOTAL PASIVO CORRIENTE,Obligaciones Financieras,Proveedores LP,Subtotal Cuentas Por Pagar,Impuestos Gravámenes y Tasas,Obligaciones Laborales,Subtotal Pasivos Estimad. y Provis.,Subtotal Diferidos,Subtotal Otros Pasivos,Subtotal Bonos y Papeles Comercia.,TOTAL PASIVO NO CORRIENTE,TOTAL PASIVO,Capital Suscrito y Pagado,Prima de emisión,Acciones propias en cartera,Aportes Sociales y Otros,SUBTOTAL CAPITAL SOCIAL,SUBTOTAL SUPERAVIT DE CAPITAL,RESERVAS,REVALORIZACION DEL PATRIMONIO,DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS,RESULTADOS DEL EJERCICIO,RESULTADOS DE EJERCICIOS ANTERIORES,SUPERAVIT POR VALORIZACIONES,INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES,TOTAL PATRIMONIO
,2020,900088875,3.53,"6,451.37",0,-,"6,454.89",23.65,"37,141.57",-,-,939,"36,202.57",0,0,736.95,-,0,0,736.95,-,-,-,-,-,"5,490.56","5,490.56",-,-,-,-,"48,908.62",0,0,0,0,"5,051.12",0,"3,295.09","3,295.09","4,778.61",0,0,801.85,0,801.85,-,-,-,"13,926.67","62,835.29","8,197.20","24,192.47",-,-,-,-,-,-,0,-,0,0,"4,729.35",-,"6,518.49",-,-,761.32,761.32,-,"44,398.84",0,0,0,0,-,-,0,73.66,-,73.66,"44,472.50",255.26,0,0,-,255.26,0,"14,712.55",0,-,-,"3,394.99",-,0,"18,362.80"
,2019,900088875,-,"3,646.90",-,-,"3,646.90",0,"31,957.59",-,-,-,"31,957.59",-,0,525.02,-,0,0,525.02,-,-,-,-,-,"4,835.97","4,835.97",-,-,-,-,"40,965.48",0,0,0,0,"4,452.89",0,"4,671.39","4,671.39","3,803.64",0,0,"1,020.25",0,"1,020.25",-,-,-,"13,948.17","54,913.65","7,229.92","23,527.58",-,-,-,-,-,"1,863.31","2,412.18",-,797.17,"5,072.67","2,360.73",-,-,-,-,-,-,-,"38,190.90",0,0,0,0,-,-,0,266.8,-,266.8,"38,457.70",255.26,0,0,-,255.26,0,"14,345.90",0,-,-,"1,854.79",-,0,"16,455.95"
,2018,900088875,-,"1,539.74",-,-,"1,539.74",0,"28,528.42",-,-,-,"28,528.42",-,0,787.88,-,0,"2,995.18","3,783.06",-,-,-,-,-,"4,509.32","4,509.32",-,-,-,-,"38,360.54",0,0,0,0,"3,547.93",0,"1,372.84","1,372.84","3,831.47",0,0,0,0,0,-,-,-,"8,752.23","47,112.77","6,976.05","23,718.94",-,-,-,-,-,"1,433.36","2,421.43",0,0,"3,854.79","1,106.13",-,-,-,-,-,-,-,"35,655.91",0,0,0,0,-,-,17.93,0,-,17.93,"35,673.84",255.26,0,0,-,255.26,0,"11,422.05",0,-,-,-238.38,-,0,"11,438.93"
,2017,900088875,9.48,"1,065.20",-,-,"1,074.69",0,"24,232.55",-,-,-,"24,232.55",0,924.21,"2,129.90",-,0,3.96,"3,058.08",-,-,-,-,-,"2,882.17","2,882.17",-,-,-,-,"31,247.48",0,0,0,0,"3,451.89",0,782.98,782.98,"2,731.84",0,0,0,0,0,-,-,-,"6,966.71","38,214.19","1,896.11","21,756.74",0,-,-,-,-,0,"1,501.10",-,0,"1,501.10","1,749.56",-,-,-,-,-,-,-,"26,903.52",0,0,-,0,0,0,0.02,0,-,0.02,"26,903.54",255.26,0,0,-,255.26,0,"6,392.93",0,-,-,"4,662.47",-,0,"11,310.65"
,2016,900088875,-,489.44,-,-,489.44,"1,151.64","17,877.19",-,-,-,"17,877.19",-,0,"1,480.12",-,0,9.24,"1,489.36",-,-,-,-,-,"3,016.24","3,016.24",-,-,-,-,"24,023.88",0,0,0,0,"2,261.05",0,767.53,767.53,"2,822.32",0,0,0,0,0,-,-,-,"5,850.90","29,874.78","1,034.73","19,033.90",-,-,-,-,-,0,"2,148.06",-,0,"2,148.06","1,376.56",-,-,-,-,-,-,-,"23,593.25",0,0,0,0,-,-,0,0,-,0,"23,593.25",255.26,0,0,-,255.26,0,"3,421.20",0,-,-,"2,605.07",-,0,"6,281.53"
,2015,900088875,4.21,449.2,81.81,0,535.22,0,"14,717.16",86.82,0,831.77,"13,972.22",0,"1,829.10","3,108.99",0,-,0,"4,938.09",0,0,0,"3,918.91",0,"-1,764.93","2,153.98",101.61,"6,614.80","-3,575.97","3,140.45","24,739.95",0,-,-,0,"1,820.56",-,-,0,784.4,-,-,-,-,0,0,0,0,"2,604.95","27,344.90",10.47,"6,876.46",249.75,417.66,0,106.5,2.79,0,-,0,"2,896.07","3,672.77",0,220.06,"11,723.73",0,"1,163.78",0,"1,163.78",0,"23,667.28",0,0,0,0,0,0,0,0,0,0,"23,667.28",0,-,-,255.26,255.26,0,0,1.16,0,"4,269.08",-847.88,0,-,"3,677.62"
,2014,900088875,0.56,167.28,31.72,0,199.56,0,"14,115.57",299.81,0,296.78,"14,118.59",0,804.9,"2,871.28",0,-,0,"3,676.19",0,0,0,"4,287.90",0,"-1,267.24","3,020.66",0,"1,285.60",0,"1,285.60","22,300.59",0,-,-,0,978.89,-,-,0,590.92,-,-,-,-,0,0,0,0,"1,569.81","23,870.40",19.83,"6,699.23",709.32,404.11,0,168.13,2.88,0,-,0,"4,912.01","6,196.45",0,202.49,"8,633.64",0,"2,710.22",0,"2,710.22",0,"24,461.86",0,0,0,0,0,0,0,0,0,0,"24,461.86",0,-,-,255.26,255.26,0,0,1.16,0,-847.38,-0.51,0,-,-591.46
,2013,900088875,0.7,467.6,28.46,0,496.75,0,"15,993.98",38.62,0,320.83,"15,711.77",0,"1,678.22","1,489.92",0,-,0,"3,168.14",0,0,"3,498.37",0,0,-19.82,"3,478.55",0,"1,415.91",668.37,747.54,"23,602.74",0,-,-,0,273.44,-,-,0,747.54,-,-,-,-,0,0,0,0,"1,020.98","24,623.72",0,"5,196.02",535.84,176.78,0,2.09,3.62,5.53,-,7.12,"9,338.67","10,069.64",0,179.14,"4,576.43","9,656.40",0,0,0,0,"29,677.63",88.92,0,0,0,0,0,0,0,0,88.92,"29,766.54",0,-,-,500.6,500.6,0,0,1.16,0,"-5,644.51",-0.07,0,-,"-5,142.82"
,2012,900088875,1.49,"1,560.54",0,0,"1,562.03",0,"2,684.75",0,0,75.78,"2,608.97",0,"1,528.12",617.05,0,-,0,"2,145.17",0,0,"1,249.37",0,0,-312.45,936.92,0,0,0,0,"7,253.09",0,-,-,0,292.72,-,-,0,881.75,-,-,-,-,0,0,0,0,"1,174.47","8,427.56",103.48,"2,419.53","5,187.11",93.11,0,3.26,0.79,0,-,4.62,0,"5,288.88",0,89.11,966.08,0,"1,147.31",0,"1,147.31",0,"10,014.39",103.48,0,0,0,0,0,0,0,0,103.48,"10,117.87",0,-,-,"1,366.80","1,366.80",0,0,1.16,0,"-2,474.52",-583.74,0,-,"-1,690.31"
,2011,900088875,0.87,74.18,0,0,75.05,0,40.32,42,0,34.05,48.28,0,18.16,619.71,0,-,0,637.87,0,0,"1,441.93",0,0,-410.36,"1,031.57",134.13,719.52,-432.23,421.43,"2,214.19",0,-,-,0,8.92,-,-,0,0,-,-,-,-,0,0,0,0,8.92,"2,223.11",0,"1,820.69",127.42,0,0,0,2.62,0,-,0,"1,631.18","1,761.22",0,71.32,687.81,0,697.85,0,697.85,0,"5,038.90",0,0,0,0,0,0,0,0,0,0,"5,038.90",0,-,-,"1,297.80","1,297.80",0,0,1.16,0,"-4,114.74",0,0,-,"-2,815.78"
