BALANCE GENERAL;sector;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020.00;educacion;900559848.00;11.19;3521.76;0.00;0.00;3532.94;0.00;606.13;0.00;0.00;49.81;556.33;0.00;378.65;0.00;0.00;0.00;433.39;812.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4901.31;3499.63;0.00;0.00;0.00;30368.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;33868.53;38769.84;0.76;261.48;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1046.36;490.63;0.00;0.00;0.00;2728.57;2728.57;0.00;4527.80;0.00;0.00;0.00;0.00;0.00;0.00;3974.30;0.00;0.00;3974.30;8502.10;15178.35;1614.91;0.00;0.00;16793.26;0.00;0.00;0.00;0.00;0.00;13474.48;0.00;0.00;30267.74;38769.84
2019.00;educacion;900559848.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2018.00;educacion;900559848.00;0.00;2295.44;0.00;0.00;2295.44;0.00;488.40;0.00;0.00;0.00;488.40;0.00;0.00;491.10;0.00;0.00;391.20;882.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3666.14;4302.57;0.00;0.00;0.00;30338.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;34640.87;38307.01;2711.85;230.37;0.00;0.00;0.00;0.00;0.00;271.82;319.33;3147.28;0.00;3738.43;1487.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8168.45;12222.32;0.00;0.00;0.00;0.00;0.00;3775.19;0.00;0.00;15997.51;24165.96;385.09;1614.91;0.00;0.00;2000.00;0.00;0.00;0.00;0.00;0.00;12141.04;0.00;0.00;14141.05;38307.01
2017.00;educacion;900559848.00;0.00;512.33;0.00;0.00;512.33;95.37;405.82;0.00;0.00;0.00;405.82;0.00;0.00;535.71;0.00;0.00;341.79;877.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1891.02;4368.93;0.00;0.00;0.00;30615.54;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;34984.47;36875.49;2598.32;172.51;2959.75;0.00;0.00;0.00;0.00;269.70;672.04;0.00;0.00;3901.49;920.37;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7592.69;15109.05;0.00;0.00;0.00;0.00;0.00;3445.44;0.00;0.00;18554.49;26147.18;385.09;1614.91;0.00;0.00;2000.00;0.00;0.00;0.00;0.00;0.00;8728.30;0.00;0.00;10728.31;36875.49
2016.00;educacion;900559848.00;0.00;342.08;0.00;0.00;342.08;0.00;498.53;0.00;0.00;0.00;498.53;0.00;0.00;484.32;0.00;0.00;343.84;828.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1668.76;4000.00;0.00;0.00;0.00;29548.00;0.00;0.00;0.00;26.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;33574.05;35242.81;0.13;233.60;0.00;0.00;0.00;0.00;0.00;255.25;0.00;0.00;2851.55;3106.81;417.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3757.74;18910.32;0.00;0.00;0.00;0.00;0.00;223.14;0.00;0.00;19133.46;22891.20;385.09;1614.91;0.00;0.00;2000.00;0.00;0.00;0.00;0.00;0.00;10351.60;0.00;0.00;12351.60;35242.81
2015.00;educacion;900559848.00;3.37;426.14;90.58;0.00;520.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;20.71;545.10;10.35;0.00;483.53;1059.69;0.00;0.00;0.00;0.00;0.00;0.00;0.00;108.02;692.49;0.00;800.51;2380.28;0.00;0.00;0.00;0.00;1506.17;0.00;0.00;4758.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6264.20;8644.48;5.13;0.00;175.26;29.02;0.00;1.23;0.56;40.71;0.00;66.35;0.00;313.13;457.06;191.74;0.00;2522.48;0.00;9.50;9.50;0.00;3499.03;3382.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3382.55;6881.58;385.09;0.00;0.00;0.00;385.09;1614.91;0.00;0.00;0.01;49.18;187.93;0.00;0.00;1762.90;8644.48
2014.00;educacion;900559848.00;29.95;1011.97;1911.58;0.00;2953.50;0.80;0.00;0.00;0.00;0.00;0.00;0.00;1.49;0.00;1.12;0.00;947.64;950.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3904.56;0.00;0.00;0.00;0.00;1329.01;0.00;0.00;4730.24;375.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6434.26;10338.82;1.72;0.00;81.57;25.81;0.00;0.30;1.62;36.92;0.00;62.74;526.95;735.92;599.12;194.53;0.00;1451.71;9.00;29.08;38.08;0.00;3021.06;3854.23;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3854.23;6875.28;385.09;0.00;0.00;0.00;385.09;1614.91;0.00;0.00;0.00;1463.53;0.00;0.00;0.00;3463.53;10338.82
2013.00;educacion;900559848.00;0.30;948.44;0.00;0.00;948.74;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.10;24.42;0.00;793.21;835.73;0.00;0.00;0.00;0.00;0.00;0.00;0.00;22.55;420.93;0.00;443.48;2227.95;0.00;0.00;0.00;0.00;13.93;0.00;0.00;5087.95;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5101.88;7329.82;0.00;0.00;66.08;39.26;0.00;0.56;1.39;1.54;0.00;35.65;0.00;144.48;142.34;0.73;0.00;0.00;0.00;0.00;0.00;0.00;287.55;4325.91;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4325.91;4613.46;385.09;0.00;0.00;0.00;385.09;1614.91;0.00;0.00;0.00;82.75;799.12;0.00;0.00;2716.37;7329.82
2012.00;educacion;900559848.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2011.00;educacion;900559848.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
