,BALANCE GENERAL,NIT,Caja,Bancos,Cuentas De Ahorro,Fondos,SUBTOTAL DISPONIBLE,INVERSIONES CP,Clientes,Cuentas Corrientes Comerciales,Deudas De Difícil Cobro,Provisiones (db),TOTAL DEUDORES COMERCIALES,Cuentas Por Cobrar A Socios y Accionistas,Anticipos y Avances,Anticipo De Imptos. y Contrib.O Saldos A Favor,Cuentas Por Cobrar a Trabajadores,Activos Biológicos CP,Deudores Varios / Otros Activos No Financieros,TOTAL OTROS DEUDORES,Materias Primas,Productos En Proceso,Productos Terminados,M/Cías No Fabricadas Por La Emp,"Materiales, Repuestos y Accesorios",Otros Inventarios y Provisiones,SUBTOTAL INVENTARIOS,Gastos Pagados Por Anticipado,Cargos Diferidos,Amortización Acumulada y Otros,SUBTOTAL DIFERIDO,TOTAL ACTIVO CORRIENTE,Inversiones LP,Activos biológicos no corrientes,CxC comerciales y otras CxC no corrientes,Subtotal Deudores A Largo Plazo,Propiedades Planta Y Equipo,Plusvalía,Activos intangibles distintos de la plusvalía,Subtotal Intangibles,Subtotal Diferidos,Inventarios no corrientes,"Activos por impuestos corrientes, no corriente",Otros activos no financieros no corrientes,Activos LP pignorados como garantía para Vender,Subtotal Otros Activos,De Inversiones Y Otros,De Propiedades Planta Y Equipo,Subtotal Valorizaciones,TOTAL ACTIVO NO CORRIENTE,TOTAL ACTIVO,Obligaciones Financieras,Proveedores CP,Costos y Gastos Por Pagar,Retención En La Fuente,Deudas Con Accionistas O Socios,Impuesto A Las Ventas Retenido,Impuesto De Industria y Comercio Retenido,"Provisiones, Retenciones y Aportes de Nómina",Otras provisiones corrientes,Acreedores,Otras Cuenta Por Pagar,SUBTOTAL CUENTAS POR PAGAR,IMPUESTOS GRAVAMENES Y TASAS,OBLIGACIONES LABORALES,SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.,DIFERIDOS,Anticipos y Avances Recibidos,Otros,SUBTOTAL OTROS PASIVOS,SUBTOTAL BONOS Y PAPELES COMERCIA.,TOTAL PASIVO CORRIENTE,Obligaciones Financieras,Proveedores LP,Subtotal Cuentas Por Pagar,Impuestos Gravámenes y Tasas,Obligaciones Laborales,Subtotal Pasivos Estimad. y Provis.,Subtotal Diferidos,Subtotal Otros Pasivos,Subtotal Bonos y Papeles Comercia.,TOTAL PASIVO NO CORRIENTE,TOTAL PASIVO,Capital Suscrito y Pagado,Prima de emisión,Acciones propias en cartera,Aportes Sociales y Otros,SUBTOTAL CAPITAL SOCIAL,SUBTOTAL SUPERAVIT DE CAPITAL,RESERVAS,REVALORIZACION DEL PATRIMONIO,DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS,RESULTADOS DEL EJERCICIO,RESULTADOS DE EJERCICIOS ANTERIORES,SUPERAVIT POR VALORIZACIONES,INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES,TOTAL PATRIMONIO,TOTAL PASIVO Y PATRIMONIO
,2020,800107494,36.56,"35,046.26",0,-,"35,082.81","8,115.07","139,302.40",-,-,"29,278.14","110,024.25",0,748.66,"3,216.99",-,0,"71,480.04","75,445.69",-,-,-,-,-,"11,762.39","11,762.39",-,-,-,-,"240,430.21","310,175.12",0,"55,222.99","55,222.99","696,280.16",0,992.46,992.46,"8,135.07",0,0,0,0,0,-,-,-,"1,070,805.78","1,311,235.99","109,836.75","34,713.65",-,-,-,-,-,-,0,-,"21,808.06","21,808.06","23,881.41","6,217.61","7,717.24",-,-,"15,726.96","15,726.96",-,"219,901.67","220,640.87",0,26.85,0,-,-,"104,941.79",0,-,"325,609.50","545,511.18","12,000.00","11,207.59",0,-,"23,207.59",0,"34,513.58",1.08,-,-,"551,169.95",-,"156,832.61","765,724.81","1,311,235.99"
,2019,800107494,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,2018,800107494,-,538.96,-,-,538.96,0,29.27,-,-,-,29.27,-,-,257.83,-,0,0,257.83,-,-,-,-,-,0,0,-,-,-,-,826.06,"584,137.76",0,0,0,178.54,0,0,0,59.68,0,0,6.18,0,6.18,-,-,-,"584,382.15","585,208.21","24,055.63","2,125.65",-,-,-,-,-,98.72,0,0,0,98.72,294.18,-,-,-,-,-,-,-,"26,574.19",0,0,0,0,-,-,0,0,-,0,"26,574.19","12,000.00","11,207.59",0,-,"23,207.59",0,"6,000.00",0,-,-,"529,426.43",-,0,"558,634.02","585,208.21"
,2017,800107494,7.4,0,-,-,7.4,"2,213.11","1,187.61",-,-,-,"1,187.61",0,0,332.85,-,0,0,332.85,-,-,-,-,-,0,0,-,-,-,-,"3,740.97","566,626.91",0,0,0,194.87,0,0,0,0,0,0,19.98,0,19.98,-,-,-,"566,841.75","570,582.72",0,"43,031.98",0,-,-,-,-,89.55,0,-,0,89.55,975.59,-,-,-,-,-,-,-,"44,097.12",0,0,-,0,0,0,0,0,-,0,"44,097.12","12,000.00","11,207.59",0,-,"23,207.59",0,"54,682.05",0,-,-,"448,595.96",-,0,"526,485.61","570,582.72"
,2016,800107494,-,"4,053.13",-,-,"4,053.13",0,33.2,-,-,-,33.2,-,0,352.37,-,0,0,352.37,-,-,-,-,-,0,0,-,-,-,-,"4,438.70","569,288.16",0,0,0,155.95,0,0,0,0,0,0,11.83,0,11.83,-,-,-,"569,455.95","573,894.65",0,507.65,-,-,-,-,-,79.38,0,0,0,79.38,295.08,-,-,-,-,-,-,-,882.1,0,0,0,0,-,-,0,0,-,0,882.1,"12,000.00","11,207.59",0,-,"23,207.59",0,"62,447.27",0,-,-,"487,357.68",-,0,"573,012.54","573,894.65"
,2015,800107494,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,2014,800107494,10.47,75.57,"4,142.25",0,"4,228.29","6,961.47",0,0,0,0,0,0,32.63,437.14,48.52,-,0,518.29,0,0,0,0,0,0,0,0,0,0,0,"11,708.04","305,100.27",-,-,0,151.86,-,-,0,3,-,-,-,-,0,"254,806.77",0,"254,806.77","560,061.90","571,769.94",0,0,17.32,37.17,0,0,0,28.06,-,0,362.16,444.7,99.61,70.63,12,0,0,0,0,0,626.94,0,0,0,0,0,0,0,0,0,0,626.94,"12,000.00",-,-,0,"12,000.00","157,093.01","38,910.41","45,345.28",0,"62,987.54",0,"254,806.77",-,"571,143.00","571,769.94"
,2013,800107494,3.58,8.63,759.18,0,771.39,418.8,0,0,0,0,0,0,39.92,513.99,8.7,-,639.22,"1,201.83",0,0,0,0,0,0,0,0,0,0,0,"2,392.02","377,849.55",-,-,0,183.88,-,-,0,55.81,-,-,-,-,0,"261,833.34",0,"261,833.34","639,922.58","642,314.59",0,0,31.21,48.64,0,1.59,1.06,18.02,-,12.66,260.87,374.06,282.95,61.71,0,0,0,0,0,0,718.72,0,0,0,0,0,0,0,0,0,0,718.72,"12,000.00",-,-,0,"12,000.00","119,265.11","155,892.08","45,412.49",0,"47,192.86",0,"261,833.34",-,"641,595.87","642,314.59"
,2012,800107494,1.9,3.69,"3,233.50",0,"3,239.10","5,689.09",0,0,0,0,0,0,10.34,776.52,3.4,-,712.27,"1,502.52",0,0,0,0,0,0,0,0,0,0,0,"10,430.71","340,160.87",-,-,0,117.62,-,-,0,160.12,-,-,-,-,0,"250,405.52",0,"250,405.52","590,844.13","601,274.84",0,0,7.74,14.3,0,1.6,0.7,11.84,-,9.22,263.45,308.85,312.47,60.85,0,0,0,0,0,0,682.16,0,0,0,0,0,0,0,0,0,0,682.16,"12,000.00",-,-,0,"12,000.00","107,500.76","138,359.71","45,479.70",0,"46,846.99",0,"250,405.52",-,"600,592.68","601,274.84"
,2011,800107494,1,26.41,3.21,0,30.62,"55,592.77",0,0,0,0,0,0,20.49,892.13,3,-,38.71,954.32,0,0,0,0,0,0,0,2.98,0,0,2.98,"56,580.69","293,710.15",-,-,0,144.03,-,-,0,271.31,-,-,-,-,0,"211,972.96",0,"211,972.96","506,098.45","562,679.14",0,0,3.48,30.17,0,1.68,0.77,19.51,-,11.48,267.63,334.71,44.98,78.81,0,0,0,0,0,0,458.49,0,0,0,0,0,0,0,0,0,0,458.49,"12,000.00",-,-,0,"12,000.00","111,565.41","138,311.05","45,546.86",0,"42,824.36",0,"211,972.96",-,"562,220.64","562,679.14"
