BALANCE GENERAL;sector;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO
2020.00;financiero;805023971.00;285.84;23881.82;41.43;0.00;24209.08;4200.27;193464.69;0.00;0.00;12163.56;181301.13;0.00;0.00;33154.66;0.00;9191.52;59463.09;101809.27;0.00;0.00;0.00;0.00;0.00;218285.27;218285.27;0.00;0.00;0.00;0.00;529805.02;26404.53;0.00;239232.93;239232.93;257164.10;0.00;23836.32;23836.32;0.00;0.00;0.00;27501.06;0.00;27501.06;0.00;0.00;0.00;574138.93;1103943.95;192480.29;76692.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;59681.29;59681.29;10250.75;12331.24;0.00;0.00;0.00;36110.70;36110.70;0.00;387546.29;185095.13;43594.58;54.00;0.00;0.00;0.00;9883.29;1220.94;0.00;239847.94;627394.23;4255.07;8466.71;0.00;0.00;12721.79;143542.87;18384.16;145789.98;0.00;0.00;134560.51;0.00;21550.41;476549.72
2019.00;financiero;805023971.00;0.00;179.80;0.00;0.00;179.80;0.00;3633.73;0.00;0.00;0.00;3633.73;0.00;0.00;19.20;0.00;0.00;0.00;19.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3832.73;31560.48;0.00;0.00;0.00;2276.58;0.00;0.00;0.00;9.81;0.00;0.00;32.00;0.00;32.00;0.00;0.00;0.00;33878.87;37711.60;289.62;33.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;114.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;437.07;877.62;0.00;0.00;0.00;0.00;0.00;171.65;0.00;0.00;1049.27;1486.34;12.00;1487.68;0.00;0.00;1499.68;649.36;72.29;21687.94;0.00;0.00;12316.00;0.00;0.00;36225.26
2018.00;financiero;805023971.00;0.00;666.78;0.00;0.00;666.78;0.00;3428.85;0.00;0.00;0.00;3428.85;0.00;0.00;19.36;0.00;0.00;0.00;19.36;0.00;0.00;0.00;0.00;0.00;145.20;145.20;0.00;0.00;0.00;0.00;4260.18;32034.92;0.00;0.00;0.00;2317.07;0.00;0.00;0.00;133.66;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;34485.65;38745.83;195.00;1.48;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;54.81;0.00;0.00;0.00;0.00;0.00;0.00;0.00;251.29;802.98;0.00;0.00;0.00;0.00;0.00;299.73;0.00;0.00;1102.71;1354.00;12.00;1487.68;0.00;0.00;1499.68;649.36;3093.76;18666.46;0.00;0.00;13482.57;0.00;0.00;37391.84
2017.00;financiero;805023971.00;0.00;78.15;0.00;0.00;78.15;83.90;2284.24;0.00;0.00;0.00;2284.24;0.00;0.00;13.30;0.00;0.00;0.00;13.30;0.00;0.00;0.00;0.00;0.00;145.20;145.20;0.00;0.00;0.00;0.00;2604.78;32347.76;0.00;0.00;0.00;2227.86;0.00;0.00;0.00;108.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;34683.75;37288.53;220.00;2.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;42.41;0.00;0.00;0.00;0.00;0.00;0.00;0.00;264.94;2181.06;0.00;0.00;0.00;0.00;0.00;108.13;0.00;0.00;2289.18;2554.12;12.00;1487.68;0.00;0.00;1499.68;346.47;1374.88;20385.34;0.00;0.00;11128.03;0.00;0.00;34734.41
2016.00;financiero;805023971.00;0.00;78.15;0.00;0.00;78.15;0.00;2140.52;0.00;0.00;0.00;2140.52;0.00;0.00;16.83;0.00;0.00;0.00;16.83;0.00;0.00;0.00;0.00;0.00;91.96;91.96;0.00;0.00;0.00;0.00;2327.45;29331.57;0.00;0.00;0.00;2327.40;0.00;0.00;0.00;0.00;0.00;108.13;0.00;0.00;108.13;0.00;0.00;0.00;31767.10;34094.55;0.00;5.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;33.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;39.50;2248.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2248.29;2287.79;12.00;1487.68;0.00;0.00;1499.68;545.95;72.29;20385.34;0.00;0.00;9303.49;0.00;0.00;31806.76
2015.00;financiero;805023971.00;0.00;486.64;0.00;0.00;486.64;0.00;1791.50;0.00;0.00;0.00;1791.50;0.00;0.00;8.54;0.00;0.00;107.76;116.30;0.00;0.00;0.00;0.00;0.00;33.88;33.88;0.00;0.00;0.00;0.00;2428.32;25842.05;0.00;0.00;0.00;2067.77;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27909.82;30338.14;79.90;3.07;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;82.97;2697.57;0.00;0.00;0.00;0.00;0.00;98.73;0.00;0.00;2796.30;2879.27;12.00;0.00;0.00;0.00;12.00;259.34;72.29;20154.15;0.00;3566.90;3394.20;0.00;0.00;27458.87
2014.00;financiero;805023971.00;0.00;52.74;0.00;0.00;52.74;0.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;52.79;28888.33;0.00;0.00;1810.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2180.18;0.00;664.31;664.31;33543.27;33596.05;0.00;0.00;15.58;2.16;0.00;0.00;0.01;0.00;0.00;0.00;0.00;17.75;0.62;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.37;3117.09;0.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;3122.09;3140.46;11.00;0.00;0.00;0.00;11.00;26007.58;72.29;101.99;0.00;2524.53;1073.90;664.31;0.00;30455.60
2013.00;financiero;805023971.00;0.00;0.59;0.00;0.00;0.59;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.59;1445.65;0.00;0.00;582.32;0.00;0.00;0.00;0.00;7.55;0.00;0.00;0.00;0.00;1995.74;15596.29;664.31;16260.60;20291.85;20292.44;0.00;0.00;3.44;0.02;0.00;0.00;0.00;0.00;0.00;5.00;0.00;8.45;7.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.54;1730.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1730.86;1746.40;11.00;0.00;0.00;0.00;11.00;1022.14;72.29;106.10;0.00;112.88;961.03;16260.60;0.00;18546.04
2012.00;financiero;805023971.00;0.00;21.35;0.00;0.00;21.35;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;21.35;1405.69;0.00;0.00;417.01;0.00;0.00;0.00;0.00;10.28;0.00;0.00;0.00;0.00;1924.74;15199.81;664.31;15864.12;19621.84;19643.19;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.37;0.00;7.37;8.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.59;1584.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1584.75;1600.34;11.00;0.00;0.00;0.00;11.00;1022.14;72.29;112.27;0.00;179.12;781.91;15864.12;0.00;18042.85
2011.00;financiero;805023971.00;0.00;34.75;0.00;0.00;34.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;50.77;50.77;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;85.52;1374.80;0.00;0.00;327.92;0.00;0.00;0.00;0.00;12.34;0.00;0.00;0.00;0.00;1793.10;13293.33;0.00;13293.33;16801.49;16887.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.00;0.00;5.00;19.61;0.00;0.00;0.00;0.00;0.00;0.00;0.00;24.61;1567.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1567.40;1592.01;11.00;0.00;0.00;0.00;11.00;1022.14;72.29;114.33;0.00;173.28;608.63;13293.33;0.00;15294.99
