BALANCE GENERAL;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020.00;900182199.00;9.82;88963.58;0.00;0.00;88973.40;5373.51;64512.13;0.00;0.00;0.00;64512.13;0.00;0.00;1125.36;0.00;0.00;13610.27;14735.63;0.00;0.00;0.00;0.00;0.00;58611.58;58611.58;0.00;0.00;0.00;0.00;232206.24;745.88;0.00;27.07;27.07;814282.83;0.00;487.80;487.80;0.00;0.00;0.00;477.76;0.00;477.76;0.00;0.00;0.00;816021.34;1048227.58;128224.31;6266.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27341.08;27341.08;30527.46;4052.42;0.00;0.00;0.00;0.00;0.00;0.00;196411.42;545445.54;0.00;14465.27;0.00;0.00;0.00;34026.42;195.49;0.00;594132.71;790544.13;91794.99;135334.65;0.00;0.00;227129.64;0.00;140573.72;0.00;0.00;0.00;110794.45;0.00;774.55;257683.45;1048227.58
2019.00;900182199.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2018.00;900182199.00;0.00;145963.55;0.00;0.00;145963.55;0.00;1.64;0.00;0.00;0.00;1.64;0.00;0.00;69.30;0.00;0.00;4.91;74.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;146039.40;271209.38;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;271209.38;417248.78;0.00;1822.40;0.00;0.00;0.00;0.00;0.00;22.30;0.00;0.00;0.00;22.30;3.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1847.84;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1847.84;91794.99;135334.65;0.00;0.00;227129.64;0.00;164413.37;111127.28;0.00;0.00;87269.35;0.00;0.00;415400.94;417248.78
2017.00;900182199.00;4.13;0.00;0.00;0.00;4.13;25.74;0.46;0.00;0.00;0.00;0.46;0.00;1.57;67.84;0.00;0.00;5.95;75.36;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;105.69;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;299160.82;0.00;299160.82;0.00;0.00;0.00;299160.82;299266.51;1223.08;4.46;0.00;0.00;0.00;0.00;0.00;14.86;0.00;0.00;0.00;14.86;3.36;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1245.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1245.76;91794.99;135334.65;0.00;0.00;227129.64;0.00;109889.82;117065.15;0.00;0.00;63715.78;0.00;0.00;298020.75;299266.51
2016.00;900182199.00;0.00;28.43;0.00;0.00;28.43;1.57;21.86;0.00;0.00;0.00;21.86;0.00;0.00;70.26;0.00;0.00;7.55;77.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;129.66;232854.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;232854.49;232984.15;586.28;8.58;0.00;0.00;0.00;0.00;0.00;16.34;0.00;0.00;0.00;16.34;4.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;615.46;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;615.46;91794.99;135334.65;0.00;0.00;227129.64;0.00;144145.10;117065.15;0.00;0.00;32319.01;0.00;0.00;232368.69;232984.15
2015.00;900182199.00;0.00;25.05;0.00;0.00;25.05;10.00;6.83;0.00;0.00;0.00;6.83;0.00;70.24;0.00;0.00;0.00;5.61;75.85;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;117.73;192895.92;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;192895.92;193013.65;0.00;7.47;0.00;0.00;0.00;0.00;0.00;9.67;0.00;0.00;0.00;9.67;4.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;21.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;21.18;91794.99;135334.65;0.00;0.00;227129.64;0.00;101413.27;0.00;0.00;0.00;67276.10;0.00;0.00;192992.47;193013.65
2014.00;900182199.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2013.00;900182199.00;0.00;4.13;0.00;0.00;4.13;19.55;0.00;0.00;0.00;0.00;0.00;0.00;104.09;0.00;0.00;0.00;1872.75;1976.85;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.42;9.70;0.00;13.12;2013.65;227731.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;170783.88;0.00;170783.88;398515.37;400529.02;0.00;0.00;0.00;4.08;0.00;0.00;0.00;0.00;0.00;2.57;0.00;6.65;390.87;0.00;55.66;0.00;0.00;0.00;0.00;0.00;453.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;453.18;91794.99;0.00;0.00;0.00;91794.99;135334.65;1635.65;0.00;0.00;526.68;0.00;170783.88;0.00;400075.84;400529.02
2012.00;900182199.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2011.00;900182199.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
