,BALANCE GENERAL,NIT,Caja,Bancos,Cuentas De Ahorro,Fondos,SUBTOTAL DISPONIBLE,INVERSIONES CP,Clientes,Cuentas Corrientes Comerciales,Deudas De Difícil Cobro,Provisiones (db),TOTAL DEUDORES COMERCIALES,Cuentas Por Cobrar A Socios y Accionistas,Anticipos y Avances,Anticipo De Imptos. y Contrib.O Saldos A Favor,Cuentas Por Cobrar a Trabajadores,Activos Biológicos CP,Deudores Varios / Otros Activos No Financieros,TOTAL OTROS DEUDORES,Materias Primas,Productos En Proceso,Productos Terminados,M/Cías No Fabricadas Por La Emp,"Materiales, Repuestos y Accesorios",Otros Inventarios y Provisiones,SUBTOTAL INVENTARIOS,Gastos Pagados Por Anticipado,Cargos Diferidos,Amortización Acumulada y Otros,SUBTOTAL DIFERIDO,TOTAL ACTIVO CORRIENTE,Inversiones LP,Activos biológicos no corrientes,CxC comerciales y otras CxC no corrientes,Subtotal Deudores A Largo Plazo,Propiedades Planta Y Equipo,Plusvalía,Activos intangibles distintos de la plusvalía,Subtotal Intangibles,Subtotal Diferidos,Inventarios no corrientes,"Activos por impuestos corrientes, no corriente",Otros activos no financieros no corrientes,Activos LP pignorados como garantía para Vender,Subtotal Otros Activos,De Inversiones Y Otros,De Propiedades Planta Y Equipo,Subtotal Valorizaciones,TOTAL ACTIVO NO CORRIENTE,TOTAL ACTIVO,Obligaciones Financieras,Proveedores CP,Costos y Gastos Por Pagar,Retención En La Fuente,Deudas Con Accionistas O Socios,Impuesto A Las Ventas Retenido,Impuesto De Industria y Comercio Retenido,"Provisiones, Retenciones y Aportes de Nómina",Otras provisiones corrientes,Acreedores,Otras Cuenta Por Pagar,SUBTOTAL CUENTAS POR PAGAR,IMPUESTOS GRAVAMENES Y TASAS,OBLIGACIONES LABORALES,SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.,DIFERIDOS,Anticipos y Avances Recibidos,Otros,SUBTOTAL OTROS PASIVOS,SUBTOTAL BONOS Y PAPELES COMERCIA.,TOTAL PASIVO CORRIENTE,Obligaciones Financieras,Proveedores LP,Subtotal Cuentas Por Pagar,Impuestos Gravámenes y Tasas,Obligaciones Laborales,Subtotal Pasivos Estimad. y Provis.,Subtotal Diferidos,Subtotal Otros Pasivos,Subtotal Bonos y Papeles Comercia.,TOTAL PASIVO NO CORRIENTE,TOTAL PASIVO,Capital Suscrito y Pagado,Prima de emisión,Acciones propias en cartera,Aportes Sociales y Otros,SUBTOTAL CAPITAL SOCIAL,SUBTOTAL SUPERAVIT DE CAPITAL,RESERVAS,REVALORIZACION DEL PATRIMONIO,DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS,RESULTADOS DEL EJERCICIO,RESULTADOS DE EJERCICIOS ANTERIORES,SUPERAVIT POR VALORIZACIONES,INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES,TOTAL PATRIMONIO,TOTAL PASIVO Y PATRIMONIO
,2020,900308342,"1,059.40","6,820.78",0,-,"7,880.18","37,649.51",0,-,-,0,0,0,0,0,-,0,"76,218.25","76,218.25",-,-,-,-,-,818.29,818.29,-,-,-,-,"122,566.22","48,529.26",0,"4,152.91","4,152.91","229,906.40",0,"21,600.05","21,600.05",0,0,0,0,0,0,-,-,-,"304,188.62","426,754.84","13,199.76",0,-,-,-,-,-,-,0,-,"46,367.97","46,367.97","7,908.30","3,869.76","1,616.62",-,-,"5,220.86","5,220.86",-,"78,183.27","73,551.21",0,"3,145.81",0,-,-,"22,065.58",0,-,"98,762.59","176,945.87","5,140.91",0,0,-,"5,140.91",0,"2,570.46",0,-,-,"229,412.82",-,"12,684.79","249,808.97","426,754.84"
,2019,900308342,-,1.46,-,-,1.46,0,"1,749.94",-,-,-,"1,749.94",-,0,0,-,0,288.42,288.42,-,-,-,-,-,0,0,-,-,-,-,"2,039.82","219,961.44",0,250,250,0,0,0,0,0,0,0,"10,315.38",0,"10,315.38",-,-,-,"230,526.82","232,566.64",0,39.13,-,-,-,-,-,0,0,-,0,0,0,-,-,-,-,-,-,-,39.13,"1,687.66",0,0,0,-,-,0,0,-,"1,687.66","1,726.79","5,140.91",0,0,-,"5,140.91",0,"2,570.46",0,-,-,"223,128.48",-,0,"230,839.85","232,566.64"
,2018,900308342,-,1.6,-,-,1.6,282.15,"1,603.77",-,-,-,"1,603.77",-,0,0,-,0,0,0,-,-,-,-,-,0,0,-,-,-,-,"1,887.51","205,660.35",0,"1,000.00","1,000.00",0,0,"10,315.38","10,315.38",208.22,0,0,0,0,0,-,-,-,"217,183.95","219,071.46",0,29.67,-,-,-,-,-,0,0,0,0,0,13.76,-,-,-,-,-,-,-,43.43,"1,070.00",0,0,0,-,-,0,0,-,"1,070.00","1,113.43","5,140.91",0,0,-,"5,140.91",0,"2,570.46","60,892.03",-,-,"149,354.63",-,0,"217,958.03","219,071.46"
,2017,900308342,0,51.35,-,-,51.35,"1,933.35",278.23,-,-,-,278.23,0,0,0,-,0,0,0,-,-,-,-,-,0,0,-,-,-,-,"2,262.93","221,449.36",0,0,0,0,0,"10,315.38","10,315.38",208.22,0,0,0,0,0,-,-,-,"231,972.96","234,235.88",0,12.13,0,-,-,-,-,0,0,-,0,0,63.23,-,-,-,-,-,-,-,75.36,0,0,-,0,0,0,0,0,-,0,75.36,"5,140.91",0,0,-,"5,140.91",0,"2,570.46","80,061.49",-,-,"146,387.67",-,0,"234,160.52","234,235.88"
,2016,900308342,-,196.29,-,-,196.29,0,"8,182.23",-,-,-,"8,182.23",-,0,0,-,0,0,0,-,-,-,-,-,0,0,-,-,-,-,"8,378.52","142,455.50",0,0,0,0,0,"10,315.38","10,315.38",0,0,208.22,0,0,208.22,-,-,-,"152,979.10","161,357.62",0,41.25,-,-,-,-,-,0,0,-,0,0,64.45,-,-,-,-,-,-,-,105.71,0,0,0,0,-,-,0,0,-,0,105.71,"5,140.91",0,0,-,"5,140.91",0,"2,175.00","5,466.11",-,-,"148,469.89",-,0,"161,251.91","161,357.62"
,2015,900308342,0,0,0,0,0,"1,663.46",0,0,0,0,0,0,0,199.11,0,-,988.2,"1,187.31",0,0,0,0,0,0,0,0,0,0,0,"2,850.77","157,542.74",-,-,0,0,-,-,0,0,-,-,-,-,0,0,0,0,"157,542.74","160,393.51",0,0,0,1.06,0,0,0,0,-,22.6,0,23.67,160.16,0,0,0,0,0,0,0,183.83,0,0,0,0,0,0,0,0,0,0,183.83,"4,350.00",-,-,0,"4,350.00","126,195.01","2,175.00",0,0,"6,805.35","20,684.32",0,-,"160,209.68","160,393.51"
,2014,900308342,0,0,0,0,0,"1,364.74",0,0,0,0,0,"4,172.00",0,6.6,0,-,"14,217.71","18,396.30",0,0,0,0,0,0,0,0,0,0,0,"19,761.04","150,155.52",-,-,0,0,-,-,0,0,-,-,-,-,0,0,0,0,"150,155.52","169,916.56",0,0,0,0.44,0,0,0,0,-,"1,473.31",113.71,"1,587.46",8.85,0,0,0,0,0,0,0,"1,596.31",0,0,0,0,0,0,0,0,0,0,"1,596.31","4,350.00",-,-,0,"4,350.00","126,938.93","1,777.34",0,0,"14,253.87","21,000.11",0,-,"168,320.25","169,916.56"
,2013,900308342,0,0,0,0,0,"2,504.33",0,0,0,0,0,108,0.22,0,0,-,"1,636.79","1,745.00",0,0,0,0,0,0,0,0,0,0,0,"4,249.33","162,644.93",-,-,0,0,-,-,0,66.23,-,-,-,-,0,0,0,0,"162,711.16","166,960.49",0,0,2.1,0.31,0,0,0,0,-,"1,371.48",0,"1,373.89",118.15,0,0,0,0,0,0,0,"1,492.04",0,0,0,0,0,0,0,0,0,0,"1,492.04","4,350.00",-,-,0,"4,350.00","134,036.00","2,029.14",0,0,"9,450.80","15,602.52",0,-,"165,468.45","166,960.49"
,2012,900308342,0,0,0,0,0,"3,747.80",0,0,0,0,0,"3,800.00",0.22,0,0,-,252.58,"4,052.80",0,0,0,0,0,0,0,0,0,0,0,"7,800.60","160,522.51",-,-,0,0,-,-,0,132.45,-,-,-,-,0,0,0,0,"160,654.97","168,455.56",0,0,2.1,0.22,0,0,0,0,-,"1,179.78",0.02,"1,182.12",142.07,0,0,0,0,0,0,0,"1,324.18",0,0,0,0,0,0,0,0,0,0,"1,324.18","4,350.00",-,-,0,"4,350.00","136,583.09","1,301.68",0,0,"7,274.64","17,621.97",0,-,"167,131.38","168,455.56"
,2011,900308342,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
