BALANCE GENERAL;sector;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020.00;financiero;900542692.00;236.44;6202.94;0.00;0.00;6439.38;0.00;756.98;0.00;0.00;0.00;756.98;0.00;2274.60;8596.85;0.00;896.78;9086.43;20854.66;0.00;0.00;0.00;0.00;0.00;24109.03;24109.03;0.00;0.00;0.00;0.00;52160.04;0.00;49508.51;0.00;49508.51;131422.07;0.00;15.56;15.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;180946.14;233106.18;20762.81;28225.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6935.20;6935.20;21.73;2200.09;0.00;0.00;0.00;0.00;0.00;0.00;58145.05;79721.41;0.00;0.00;0.00;0.00;0.00;12880.52;4405.88;0.00;97007.81;155152.86;1429.31;5416.27;0.00;0.00;6845.58;35264.41;1420.28;18416.87;0.00;0.00;12053.67;0.00;3952.52;77953.32;233106.18
2019.00;financiero;900542692.00;0.00;5.45;0.00;0.00;5.45;0.00;7.37;0.00;0.00;0.00;7.37;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.81;32817.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;32817.93;32830.74;0.00;212.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;214.58;0.00;0.00;0.00;25.18;0.00;0.00;2304.58;0.00;0.00;2329.76;2544.34;1429.31;5416.27;0.00;0.00;6845.58;0.00;127.76;0.00;0.00;0.00;23313.05;0.00;0.00;30286.39;32830.74
2018.00;financiero;900542692.00;0.00;0.76;0.00;0.00;0.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.67;0.00;0.00;0.00;2.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.44;30115.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;30115.29;30118.72;87.28;3.64;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.02;0.00;9.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.94;0.00;0.00;0.00;0.00;0.00;0.00;2304.58;0.00;0.00;2304.58;2404.52;1429.31;5416.27;0.00;0.00;6845.58;0.00;0.00;0.00;0.00;0.00;20868.63;0.00;0.00;27714.21;30118.72
2017.00;financiero;900542692.00;144.92;0.76;0.00;0.00;145.68;0.00;32.08;0.00;0.00;0.00;32.08;0.00;0.00;2.51;0.00;0.00;0.00;2.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;180.27;30104.66;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;30104.66;30284.93;0.00;6.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.63;1429.31;5416.27;0.00;0.00;6845.58;0.00;387.28;0.00;0.00;0.00;23045.45;0.00;0.00;30278.30;30284.93
2016.00;financiero;900542692.00;0.00;3.49;0.00;0.00;3.49;170.46;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.46;0.00;0.00;0.00;1.46;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;175.40;30105.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;30105.33;30280.73;0.00;1.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.03;1429.31;5416.27;0.00;0.00;6845.58;0.00;235.85;0.00;0.00;0.00;23197.27;0.00;0.00;30278.69;30280.73
2015.00;financiero;900542692.00;0.00;19.69;0.00;0.00;19.69;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.57;0.00;0.00;0.00;2.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;22.25;7065.46;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7065.46;7087.71;0.00;6.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.24;1429.31;5416.27;0.00;0.00;6845.58;0.00;101.78;134.12;0.00;134.12;134.12;0.00;0.00;7081.47;7087.71
2014.00;financiero;900542692.00;0.30;23.95;0.00;0.00;24.25;6939.48;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.83;3.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6967.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;34664.22;0.00;34664.22;34664.22;41631.78;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.15;6.15;14.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;20.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;20.14;1429.31;0.00;0.00;0.00;1429.31;5416.27;19.36;0.00;0.00;82.47;0.00;34664.22;0.00;41611.63;41631.78
2013.00;financiero;900542692.00;5.41;3.99;0.00;0.00;9.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1002.14;1002.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1011.55;6112.98;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23045.82;0.00;23045.82;29158.80;30170.35;0.00;0.00;0.00;0.00;105.00;0.00;0.00;0.00;0.00;0.00;0.00;105.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;105.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;105.00;602.81;0.00;0.00;0.00;602.81;5416.27;0.00;0.00;0.00;1000.69;0.24;23045.82;0.00;30065.35;30170.35
2012.00;financiero;900542692.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2011.00;financiero;900542692.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
