ESTADO DE RESULTADOS;sector;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;ESTADO DE RESULTADOS;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios
2020.00;educacion;800071491.00;21123.51;15174.01;5949.50;0.00;4235.76;0.00;1713.74;985.69;1306.87;1306.87;0.00;0.00;1392.56;481.54;0.00;240956945454545.00;362655754545455.00;484354563636365.00
2019.00;educacion;800071491.00;25140.92;17279.27;7861.65;4468.90;0.00;0.00;3392.75;426.13;1837.38;1837.38;0.00;0.00;1981.50;697.58;0.00;339895400000001.00;429105491176471.00;518315582352941.00
2018.00;educacion;800071491.00;23422.20;16646.24;6775.96;3724.88;0.00;0.00;3051.07;413.62;1862.96;1862.96;0.00;0.00;1601.73;569.35;0.00;2577538.00;39128532727273.00;52481685454545.00
2017.00;educacion;800071491.00;21913.72;15826.51;6087.22;3205.86;0.00;0.00;2881.35;131.20;1778.36;1778.36;0.00;0.00;1234.19;409.63;0.00;312194949999999.00;391029208823529.00;469863467647059.00
2016.00;educacion;800071491.00;18436.49;14441.37;3995.12;2534.12;0.00;0.00;1461.00;230.63;865.39;865.39;0.00;0.00;826.23;316.02;0.00;281070072727273.00;395862827272723.00;510655581818183.00
2015.00;educacion;800071491.00;15533.62;12577.95;2955.67;2138.96;0.00;0.00;816.71;104.05;415.36;206.73;208.63;0.00;505.40;201.51;0.00;117926000000045.00;182881914285714.00;353971228571424.00
2014.00;educacion;800071491.00;12922.07;10474.70;2447.37;1682.24;0.00;0.00;765.13;56.36;343.63;0.00;0.00;0.00;477.86;188.89;0.00;258285333333333.00;17387659047619.00;32192464761905.00
2013.00;educacion;800071491.00;10921.60;8318.30;2603.31;2072.97;0.00;0.00;530.34;52.49;204.17;0.00;0.00;0.00;378.65;150.39;0.00;88942.00;112036885714286.00;232967971428572.00
2012.00;educacion;800071491.00;8739.95;7278.83;1461.12;1048.55;0.00;0.00;412.58;79.27;236.42;0.00;0.00;0.00;255.42;101.49;0.00;471782666666662.00;158469438095238.00;269760609523809.00
2011.00;educacion;800071491.00;6969.17;5531.98;1437.19;1107.75;0.00;0.00;329.44;44.69;206.86;0.00;0.00;0.00;167.28;67.52;0.00;33055666666667.00;123724380952381.00;214393095238095.00
2010.00;educacion;800071491.00;5524.61;4369.55;1155.07;833.73;0.00;0.00;321.34;11.20;220.74;0.00;0.00;0.00;111.80;44.28;0.00;418218666666668.00;119927923809524.00;198033980952381.00
2009.00;educacion;800071491.00;4790.65;3883.49;907.17;723.18;0.00;0.00;183.99;63.73;178.03;0.00;0.00;0.00;69.69;30.51;0.00;470124666666668.00;119080266666667.00;191148066666667.00
2008.00;educacion;800071491.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2008.00;0.00;0.00
2007.00;educacion;800071491.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2007.00;0.00;0.00
2006.00;educacion;800071491.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2006.00;0.00;0.00
