ESTADO DE RESULTADOS,NIT,Ingresos Operacionales,Costo De Ventas Y De Prestación De Servicios,UTILIDAD BRUTA,Gastos Operacionales De Administración,Gastos Operacionales De Ventas,Otras ganancias (pérdidas) Operaciones por Ajuste Niif,UTILIDAD OPERACIONAL,Ingresos No Operacionales,Gastos No Operacionales,Intereses Financieros,Otros Gastos No Operacionales,Ajustes No Operacionales Normas Internacionales,UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION,Impuesto De Renta Y Complementarios,Ganancia (pérdida) procedente de operaciones discontinuadas,GANANCIAS Y PERDIDAS,Depreciacion del Periodo
2020,811030714,"23,349.98",0,"23,349.98",257.69,"19,514.02",-458.69,"3,119.58",5.32,"1,719.60","1,719.60",-,-,"1,405.30",725.32,0,679.98,"1,132.77"
2019,811030714,"33,489.28",0,"33,489.28","25,972.26",823.34,671.28,"7,364.95",5.88,"1,934.20","1,934.20",0,0,"5,436.62","1,578.60",0,"3,858.02",575.91
2018,811030714,"32,559.80",0,"32,559.80","26,334.84",354.59,718.49,"6,588.86",0,"1,931.70","1,931.70",-,0,"4,657.16","1,505.54",-403.35,"2,748.28","1,873.18"
2017,811030714,"28,624.29",0,"28,624.29","22,681.02",636.1,"1,609.91","6,917.08",0,"2,342.86","2,342.86",0,0,"4,574.22","1,522.47","1,010.94","2,040.81","1,210.70"
2016,811030714,"24,321.79",0,"24,321.79","17,959.15","1,054.37",979.56,"6,287.83",0,"2,112.82","2,112.82",-,-,"4,175.01",981.44,"-1,694.99","1,498.58",717.66
2015,811030714,"20,937.94",0,"20,937.94","16,970.36",958.13,-,"3,009.46","2,402.24","2,523.45","1,620.98",902.48,-,"2,888.25",961.7,-,"1,926.55",-
2014,811030714,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013,811030714,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,811030714,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,811030714,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,811030714,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2009,811030714,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008,811030714,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2007,811030714,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2006,811030714,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
