ESTADO DE RESULTADOS;sector;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo
2020.00;educacion;830033825.00;70611.66;40599.71;30011.95;18986.34;5405.44;1131.04;6751.21;536.51;1655.44;1655.44;0.00;0.00;5632.28;1952.48;0.00;3679.80;2779.63
2019.00;educacion;830033825.00;52385.46;30900.01;21485.44;3639.43;14136.70;960.54;4669.85;554.19;942.74;942.74;0.00;0.00;4281.30;1749.36;0.00;2531.94;2376.61
2018.00;educacion;830033825.00;33750.91;21034.29;12716.62;3549.77;7639.98;979.28;2506.16;0.00;591.02;591.02;0.00;0.00;1915.14;895.98;0.00;1019.15;1551.09
2017.00;educacion;830033825.00;27339.67;16988.97;10350.70;5485.88;4123.64;1068.55;1809.73;0.00;633.88;633.88;0.00;0.00;1175.85;465.47;0.00;710.38;617.86
2016.00;educacion;830033825.00;24128.32;16538.88;7589.45;4003.68;3209.23;440.32;816.86;0.00;387.40;387.40;0.00;0.00;429.47;207.31;0.00;222.16;547.38
2015.00;educacion;830033825.00;21568.97;12498.20;9070.77;4131.44;3802.70;0.00;1136.63;17.92;531.79;4.77;527.02;0.00;622.76;307.11;0.00;315.65;0.00
2014.00;educacion;830033825.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2013.00;educacion;830033825.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2012.00;educacion;830033825.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2011.00;educacion;830033825.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2010.00;educacion;830033825.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2009.00;educacion;830033825.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2008.00;educacion;830033825.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2007.00;educacion;830033825.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2006.00;educacion;830033825.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
