ESTADO DE RESULTADOS,NIT,Ingresos Operacionales,Costo De Ventas Y De Prestación De Servicios,UTILIDAD BRUTA,Gastos Operacionales De Administración,Gastos Operacionales De Ventas,Otras ganancias (pérdidas) Operaciones por Ajuste Niif,UTILIDAD OPERACIONAL,Ingresos No Operacionales,Gastos No Operacionales,Intereses Financieros,Otros Gastos No Operacionales,Ajustes No Operacionales Normas Internacionales,UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION,Impuesto De Renta Y Complementarios,Ganancia (pérdida) procedente de operaciones discontinuadas,GANANCIAS Y PERDIDAS,Depreciacion del Periodo,Amortizaciones
2020,832010212,"22,658.15","7,416.45","15,241.70",0,"7,160.37",699.98,"8,781.31",352.77,465.53,465.53,-,-,"8,668.54","2,853.68",0,"5,814.86","-1,168.23",-
2019,832010212,"26,204.83","10,269.19","15,935.63","7,989.65",0,126.5,"8,072.48",590.87,370.74,370.74,0,0,"8,292.61",0,"-2,671.97","5,620.64","1,147.05",-
2018,832010212,"26,317.51","1,647.21","24,670.31","14,613.40",0,120.93,"10,177.84",0,0,0,-,0,"10,177.84",0,0,"10,177.84","1,124.29",-
2017,832010212,"23,762.61","7,811.16","15,951.45","5,692.02",0,-370.45,"9,888.97",0,0,0,0,0,"9,888.97",0,0,"9,888.97","1,485.01",-
2016,832010212,"21,034.47","12,032.10","9,002.37","2,511.70",195,205.19,"6,500.87",0,546.03,546.03,-,-,"5,954.84","1,715.31",0,"4,239.52",504.79,-
2015,832010212,"16,325.19","10,994.33","5,330.86",504.91,130.52,-,"4,695.43",4.78,703.37,0,703.37,-,"3,996.83","1,267.73",-,"2,729.10",-,-
2014,832010212,"14,093.92",0,"14,093.92","11,198.62",0,-,"2,895.29",0,322.5,-,-,-,"2,572.79",0,-,"2,572.79",415.38,0
2013,832010212,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,832010212,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,832010212,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,832010212,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2009,832010212,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008,832010212,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2007,832010212,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2006,832010212,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
