,ESTADO DE RESULTADOS,NIT,Ingresos Operacionales,Costo De Ventas Y De Prestación De Servicios,UTILIDAD BRUTA,Gastos Operacionales De Administración,Gastos Operacionales De Ventas,Otras ganancias (pérdidas) Operaciones por Ajuste Niif,UTILIDAD OPERACIONAL,Ingresos No Operacionales,Gastos No Operacionales,Intereses Financieros,Otros Gastos No Operacionales,Ajustes No Operacionales Normas Internacionales,UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION,Impuesto De Renta Y Complementarios,Ganancia (pérdida) procedente de operaciones discontinuadas,GANANCIAS Y PERDIDAS,Depreciacion del Periodo,Amortizaciones
,2020,860511232,"35,294.10","14,261.97","21,032.14","5,262.10","12,718.64","-3,671.81",-620.41,117.63,2.87,2.87,-,-,-505.65,"1,521.99",0,"-2,027.65","1,154.45",-
,2019,860511232,"31,519.89","9,204.18","22,315.71","16,528.60","5,958.41","-3,640.99","-3,812.29",59.19,0.85,0.85,0,0,"-3,753.96",-125.11,0,"-3,628.85","1,223.12",-
,2018,860511232,"31,377.65","9,843.60","21,534.05","16,816.50","5,839.30","-2,699.23","-3,820.98","1,112.57",7.57,7.57,-,0,"-2,715.97",-192.41,0,"-2,523.57","1,374.86",-
,2017,860511232,"29,833.27","9,307.70","20,525.57","14,915.04","4,676.63","-3,571.16","-2,637.25",666.94,0,0,-,-,"-1,970.31",-574.82,0,"-1,395.50",-,-
,2016,860511232,"31,952.66","9,596.16","22,356.50","14,645.04","4,565.47","-1,757.98","1,388.01","1,731.15","1,662.13","1,662.13",-,-,"1,457.04",786.96,0,670.08,0,-
,2015,860511232,"27,812.56","7,739.06","20,073.50","12,555.31","4,037.06",-,"3,481.14","1,504.86","3,107.64",36.15,"3,071.49",-,"1,878.37","1,121.35",-,757.02,-,-
,2014,860511232,"28,486.88","7,902.90","20,583.98","12,009.90","3,316.08",-,"5,258.01","2,415.22","3,795.80",-,-,-,"3,877.43","1,550.84",-,"2,326.58",186.77,505.89
,2013,860511232,"26,728.22","8,720.96","18,007.26","11,379.93","3,376.51",-,"3,250.82","1,086.48","2,778.96",-,-,-,"1,558.33",919.52,-,638.81,233.46,345.28
,2012,860511232,"24,416.35","7,558.41","16,857.93","8,463.07","3,427.01",-,"4,967.85",323.83,"2,657.29",-,-,-,"2,634.39","1,003.80",-,"1,630.58",149.45,266.88
,2011,860511232,"20,094.76","5,733.35","14,361.41","7,752.09","2,752.24",-,"3,857.09",622.44,"2,221.23",-,-,-,"2,258.30",919.63,-,"1,338.67",207.78,237.77
,2010,860511232,"17,231.48","4,862.15","12,369.33","5,836.94","2,479.84",-,"4,052.55",405.78,"1,788.84",-,-,-,"2,669.48",941.33,-,"1,728.15",161.17,259.52
,2009,860511232,"15,919.22","4,515.10","11,404.12","5,485.69","2,460.27",-,"3,458.16",689.83,"1,970.22",-,-,-,"2,177.77",735.65,-,"1,442.12",160.72,357.35
,2008,860511232,"8,941.90","2,534.81","6,407.09","2,532.00","1,433.10",-,"2,441.99",642.07,999.68,-,-,-,"2,084.38",646.82,-,"1,437.56",75.51,170.1
,2007,860511232,"8,039.67","2,512.78","5,526.89","2,711.55","1,112.78",-,"1,702.56",381.78,844.7,-,-,-,"1,239.64",353.76,-,885.87,-,-
,2006,860511232,"7,522.52","2,293.72","5,228.80","2,445.46",921.14,-,"1,862.20",141.46,924.73,-,-,-28.58,"1,078.93",428.24,-,622.11,-,-
