ESTADO DE RESULTADOS;sector;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020.00;educacion;900559848.00;18313.75;6555.42;11758.33;0.00;6531.61;33.40;5193.32;40.73;128.80;128.80;0.00;241.12;4864.13;1882.74;0.00;2981.39;1499.68;0.00
2019.00;educacion;900559848.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2018.00;educacion;900559848.00;21338.65;7370.11;13968.54;7231.45;0.00;211.41;6948.50;0.00;1823.61;1823.61;0.00;0.00;5124.90;1712.15;0.00;3412.74;1133.12;0.00
2017.00;educacion;900559848.00;19648.53;7048.56;12599.97;8239.74;0.00;415.54;4775.77;0.00;2333.20;2333.20;0.00;0.00;2442.57;1075.70;0.00;1366.87;989.26;0.00
2016.00;educacion;900559848.00;18232.57;7087.02;11145.55;6700.98;0.00;87.36;4531.93;65.17;2127.47;2127.47;0.00;0.00;2469.63;592.17;0.00;1877.46;855.18;0.00
2015.00;educacion;900559848.00;16517.22;6825.69;9691.53;8228.56;0.00;0.00;1462.96;156.18;1227.29;375.15;852.14;0.00;391.85;441.03;0.00;49.18;0.00;0.00
2014.00;educacion;900559848.00;11926.27;3687.11;8239.16;5589.79;0.00;0.00;2649.36;68.90;452.75;0.00;0.00;0.00;2265.51;801.98;0.00;1463.53;147.33;49.45
2013.00;educacion;900559848.00;4900.50;0.00;4900.50;3959.34;0.00;0.00;941.16;5.79;994.63;0.00;0.00;0.00;47.69;35.07;0.00;82.75;1.54;38.27
2012.00;educacion;900559848.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2011.00;educacion;900559848.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2010.00;educacion;900559848.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2009.00;educacion;900559848.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2008.00;educacion;900559848.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2007.00;educacion;900559848.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2006.00;educacion;900559848.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
