ESTADO DE RESULTADOS;sector;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020.00;financiero;860069163.00;414542.36;342157.62;72384.74;41601.95;17406.27;874.39;14250.92;1255.37;12226.39;12226.39;0.00;0.00;3279.90;1039.83;389.79;3929.94;4635.68;0.00
2019.00;financiero;860069163.00;10634.88;0.00;10634.88;1191.15;0.00;281.33;9162.41;342.58;1449.66;1449.66;0.00;0.00;8055.33;863.94;0.00;7191.39;467.15;0.00
2018.00;financiero;860069163.00;16762.27;0.00;16762.27;2712.80;0.00;205.74;14255.21;2739.38;2624.67;2624.67;0.00;0.00;14369.92;695.75;0.00;13674.17;1252.26;0.00
2017.00;financiero;860069163.00;7104.03;0.00;7104.03;2621.92;0.00;239.21;4242.90;0.00;1892.72;1892.72;0.00;0.00;2350.18;437.39;0.00;1912.79;1422.66;0.00
2016.00;financiero;860069163.00;11819.21;0.00;11819.21;4150.90;0.00;90.84;7577.48;149.56;1851.39;1851.39;0.00;0.00;5875.65;2073.56;0.00;7949.21;2593.94;0.00
2015.00;financiero;860069163.00;8554.52;0.00;8554.52;0.00;4753.06;0.00;3801.46;531.20;1117.47;1117.47;0.00;0.00;3215.19;7180.41;0.00;10395.60;2150.34;0.00
2014.00;financiero;860069163.00;17401.65;0.00;17401.65;3152.24;416.10;0.00;13833.32;5593.32;1066.18;0.00;0.00;0.00;18360.45;482.89;0.00;17877.56;293.81;0.00
2013.00;financiero;860069163.00;4034.74;0.00;4034.74;1053.66;1.43;0.00;2979.64;8927.44;1260.14;0.00;0.00;0.00;10646.95;219.13;0.00;10427.82;245.50;0.00
2012.00;financiero;860069163.00;4247.06;0.00;4247.06;1402.96;5.54;0.00;2838.57;4477.71;1447.20;0.00;0.00;0.00;5869.08;74.37;0.00;5794.71;264.93;0.00
2011.00;financiero;860069163.00;4844.95;0.00;4844.95;1656.93;6.26;0.00;3181.76;2155.89;1050.61;0.00;0.00;0.00;4287.05;59.73;0.00;4227.32;237.16;0.00
2010.00;financiero;860069163.00;5029.65;0.00;5029.65;2359.16;92.34;0.00;2578.15;5239.35;176.36;0.00;0.00;0.00;7641.14;53.59;0.00;7587.55;120.04;0.00
2009.00;financiero;860069163.00;3968.27;0.00;3968.27;1068.53;472.59;0.00;2427.15;1.17;201.41;0.00;0.00;0.00;2226.91;45.88;0.00;2181.03;97.36;0.00
2008.00;financiero;860069163.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2007.00;financiero;860069163.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2006.00;financiero;860069163.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
