ESTADO DE RESULTADOS;sector;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo
2020.00;financiero;900066708.00;3825017.58;3164766.25;660251.33;198440.63;272214.40;23242.82;212839.12;40026.08;88008.28;88008.28;0.00;25222.31;139634.61;62521.59;0.00;77113.02;88008.28
2019.00;financiero;900066708.00;7300.23;0.00;7300.23;4924.91;0.00;13715.68;16091.00;0.00;5193.46;5193.46;0.00;24602.26;35499.80;1826.60;0.00;33673.21;0.00
2018.00;financiero;900066708.00;5907.34;0.00;5907.34;4421.50;0.00;5474.44;6960.28;0.00;3376.70;3376.70;0.00;12104.66;15688.24;549.06;0.00;15139.18;0.00
2017.00;financiero;900066708.00;4438.26;0.00;4438.26;972.72;0.00;1424.11;4889.65;0.00;4057.06;4057.06;0.00;12842.16;13674.74;114.44;0.00;13560.30;0.00
2016.00;financiero;900066708.00;5708.71;0.00;5708.71;420.75;0.00;37.48;5250.48;0.00;2084.89;2084.89;0.00;11492.28;14657.86;1716.60;0.00;12941.26;0.00
2015.00;financiero;900066708.00;9630.93;0.00;9630.93;541.54;0.00;0.00;9089.40;629.42;605.16;448.14;157.03;0.00;9113.65;229.64;0.00;8884.02;0.00
2014.00;financiero;900066708.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2013.00;financiero;900066708.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2012.00;financiero;900066708.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2011.00;financiero;900066708.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2010.00;financiero;900066708.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2009.00;financiero;900066708.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2008.00;financiero;900066708.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2007.00;financiero;900066708.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2006.00;financiero;900066708.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
