ESTADO DE RESULTADOS,NIT,Ingresos Operacionales,Costo De Ventas Y De Prestación De Servicios,UTILIDAD BRUTA,Gastos Operacionales De Administración,Gastos Operacionales De Ventas,Otras ganancias (pérdidas) Operaciones por Ajuste Niif,UTILIDAD OPERACIONAL,Ingresos No Operacionales,Gastos No Operacionales,Intereses Financieros,Otros Gastos No Operacionales,Ajustes No Operacionales Normas Internacionales,UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION,Impuesto De Renta Y Complementarios,Ganancia (pérdida) procedente de operaciones discontinuadas,GANANCIAS Y PERDIDAS,Depreciacion del Periodo,Amortizaciones
2020,900308342,"272,761.40","203,831.86","68,929.55","18,828.69","35,198.41","1,218.33","16,120.78","1,147.80","6,554.67","6,554.67",-,0,"10,713.91","5,335.99",0,"5,377.92","19,947.06",-
2019,900308342,"7,142.00",0,"7,142.00",199.19,62.09,"-1,375.47","5,505.26",150.22,79.24,79.24,0,0,"5,576.23",10.26,0,"5,565.98",0,-
2018,900308342,"4,802.47",0,"4,802.47",57.18,1.27,"-1,299.47","3,444.55",103.9,24.31,24.31,-,0,"3,524.14",57.18,0,"3,466.96",0,-
2017,900308342,"5,419.98",0,"5,419.98",72.37,227.21,"-2,296.03","2,824.37",100.3,8.45,8.45,0,0,"2,916.22",99.54,0,"2,816.67",0,-
2016,900308342,"6,250.75",0,"6,250.75",297.58,0,-103.46,"5,849.71",56.13,5.9,5.9,0,0,"5,899.94",28.83,0,"5,871.11",0,-
2015,900308342,"7,256.95",0,"7,256.95",235.3,0,-,"7,021.65",262.86,289.26,11.87,277.39,-,"6,995.25",189.9,-,"6,805.35",-,-
2014,900308342,"14,346.85",0,"14,346.85",110.04,0,-,"14,236.81",217.6,161.94,-,-,-,"14,292.48",38.61,-,"14,253.87",0,0
2013,900308342,0,0,0,225.49,0,-,-225.49,"9,905.45",155.06,-,-,-,"9,524.91",74.11,-,"9,450.80",0,0
2012,900308342,0,0,0,73.15,0,-,-73.15,"7,462.28",83.93,-,-,-,"7,305.20",30.56,-,"7,274.64",0,0
2011,900308342,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,900308342,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2009,900308342,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008,900308342,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2007,900308342,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2006,900308342,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
