ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020.00;900542692.00;191469.76;161968.18;29501.57;17405.63;5093.38;6373.63;628.93;0.00;0.00;0.00;0.00;75.61;553.33;37.14;0.00;590.46;1827.75;0.00
2019.00;900542692.00;3270.29;0.00;3270.29;35.75;0.00;1.85;3236.38;0.00;0.00;0.00;0.00;0.00;3236.38;0.65;0.00;3235.73;0.00;0.00
2018.00;900542692.00;142.35;0.00;142.35;6.46;0.00;4.57;131.33;0.00;0.00;0.00;0.00;0.00;131.33;3.56;0.00;127.76;0.00;0.00
2017.00;900542692.00;0.00;0.00;0.00;11.09;0.00;16.29;5.20;0.00;0.00;0.00;0.00;0.00;5.20;5.57;0.00;0.38;0.00;0.00
2016.00;900542692.00;163.48;0.00;163.48;4.42;0.00;0.00;159.07;0.00;6.11;6.11;0.00;0.00;152.95;1.51;0.00;151.44;0.00;0.00
2015.00;900542692.00;120.34;0.00;120.34;0.00;8.30;0.00;112.04;23.95;1.54;1.54;0.00;0.00;134.46;0.35;0.00;134.12;0.00;0.00
2014.00;900542692.00;104.39;0.00;104.39;11.66;0.00;0.00;92.73;0.00;0.09;0.00;0.00;0.00;92.64;10.17;0.00;82.47;0.00;0.00
2013.00;900542692.00;1002.14;0.00;1002.14;1.45;0.00;0.00;1000.70;0.00;0.01;0.00;0.00;0.00;1000.69;0.00;0.00;1000.69;0.00;0.00
2012.00;900542692.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2011.00;900542692.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2010.00;900542692.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2009.00;900542692.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2008.00;900542692.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2007.00;900542692.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2006.00;900542692.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
