BALANCE GENERAL;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;890903295;17,26;24.895,87;0;-;24.913,13;5.308,50;65.153,24;-;-;780,25;64.372,99;0;1.346,48;15.835,63;-;0;563,95;17.746,06;-;-;-;-;-;43.557,98;43.557,98;-;-;-;-;155.898,65;0;0;31.691,88;31.691,88;116.313,06;0;948,15;948,15;356,59;0;45,3;0;0;45,3;-;-;-;149.354,98;305.253,62;52.694,06;51.979,15;-;-;-;-;-;-;0;-;0;0;7.835,63;11.171,84;1.384,73;-;-;942,07;942,07;-;126.007,47;41.002,18;0;8.004,90;0;-;-;0;2.072,29;-;51.079,37;177.086,84;348,62;15.535,40;0;-;15.884,02;15.194,67;7.108,70;0;-;-;89.389,83;-;589,57;128.166,78;305.253,62
2019;890903295;-;62.728,33;-;-;62.728,33;0;67.463,51;-;-;-;67.463,51;-;0;9.711,85;-;0;2.215,37;11.927,22;-;-;-;-;-;2.423,30;2.423,30;-;-;-;-;144.542,36;13.957,86;0;93,69;93,69;125.144,06;0;139,17;139,17;0;0;0;280,03;0;280,03;-;-;-;139.614,82;284.157,19;30.540,35;42.200,36;-;-;-;-;-;10.902,35;1.955,43;-;18,92;12.876,70;5.015,90;-;-;-;-;-;-;-;90.633,32;54.285,65;0;8.255,74;0;-;-;121,19;2.726,70;-;65.389,28;156.022,59;348,62;15.535,40;0;-;15.884,02;16.805,59;7.108,70;0;-;-;88.336,29;-;0;128.134,59;284.157,19
2018;890903295;-;48.955,61;-;-;48.955,61;0;67.055,25;-;-;-;67.055,25;-;0;10.338,89;-;0;2.249,77;12.588,66;-;-;-;-;-;1.442,59;1.442,59;-;-;-;-;130.042,12;13.407,17;0;127,59;127,59;44.318,67;0;250,18;250,18;0;0;0;7,8;0;7,8;-;-;-;58.111,39;188.153,51;1.443,99;42.344,48;-;-;-;-;-;9.442,28;1.400,24;9,38;0;10.851,91;5.005,13;-;-;-;-;-;-;-;59.645,50;3.167,82;0;6.552,95;0;-;-;2.026,45;3.381,11;-;15.128,33;74.773,83;348,62;15.535,40;0;-;15.884,02;15.856,84;7.108,70;0;-;-;74.530,13;-;0;113.379,68;188.153,51
2017;890903295;20,79;980,74;-;-;1.001,53;2.702,97;62.499,39;-;-;-;62.499,39;18.021,89;0;11.186,56;-;0;1.668,32;30.876,77;-;-;-;-;-;1.066,95;1.066,95;-;-;-;-;98.147,60;11.580,08;0;142,09;142,09;95.638,87;0;955,34;955,34;0;0;0;942,99;0;942,99;-;-;-;109.259,36;207.406,97;1.712,40;31.743,22;117,93;-;-;-;-;8.763,26;1.773,22;-;0;10.654,41;5.010,73;-;-;-;-;-;-;-;49.120,77;49.071,89;0;-;0;6.060,17;698,33;515,71;6.653,63;-;62.999,72;112.120,49;348,62;15.535,40;0;-;15.884,02;59.079,28;7.108,70;0;-;-;13.214,48;-;0;95.286,48;207.406,97
2016;890903295;-;8.978,74;-;-;8.978,74;32,37;55.525,77;-;-;-;55.525,77;-;0;11.137,89;-;0;2.690,76;13.828,64;-;-;-;-;-;1.145,85;1.145,85;-;-;-;-;79.511,36;11.489,47;0;145,21;145,21;115.314,42;0;1.967,05;1.967,05;0;0;2.732,67;3.530,11;0;6.262,77;-;-;-;135.178,93;214.690,28;11.097,83;31.482,72;-;-;-;-;-;6.910,96;1.185,95;-;20,82;8.117,73;5.821,89;-;-;-;-;-;-;-;56.520,17;48.032,60;0;7.730,85;0;-;-;0;8.674,00;-;64.437,45;120.957,62;348,62;15.535,40;0;-;15.884,02;59.074,89;7.108,70;0;-;-;11.665,06;-;0;93.732,66;214.690,28
2015;890903295;-;302,55;-;-;302,55;78,5;67.687,15;-;-;-;67.687,15;0;0;11.459,46;-;0;2.367,91;13.827,37;-;-;-;-;-;1.313,87;1.313,87;-;-;-;-;83.209,44;10.477,24;0;269,26;269,26;116.997,50;0;3.051,40;3.051,40;4.271,45;0;0;5.947,67;0;5.947,67;-;-;-;141.014,51;224.223,95;6.818,33;35.423,90;-;-;-;-;-;6.453,52;3.018,08;-;41,72;9.513,32;5.508,88;-;-;-;-;0;0;-;57.264,43;58.533,63;0;8.917,53;0;-;-;0;10.672,92;-;78.124,08;135.388,51;348,62;15.535,40;0;-;15.884,02;64.957,36;7.108,70;0;-;-818,11;1.703,48;-;0;88.835,44;224.223,95
2014;890903295;44,11;693,32;0;0;737,43;17,18;67.209,84;0;0;3.147,82;64.062,02;0;290,02;10.622,84;340,81;-;2.006,65;13.260,33;0;0;0;0;0;0;0;1.783,02;4.370,04;0;6.153,06;84.230,01;10.004,66;-;-;0,16;14.232,74;-;-;3.757,03;4.772,26;-;-;-;-;0;1.981,74;48.124,99;50.106,73;82.873,59;167.103,60;6.650,38;24.182,43;240,94;1.464,06;0;157,34;110,63;0;-;250,1;7.763,38;9.986,44;4.844,25;5.331,08;8.880,50;742,54;0;0;0;0;60.617,63;23.333,16;0;49,83;0;0;8.203,74;0;0;0;31.586,73;92.204,36;348,62;-;-;0;348,62;16.561,42;7.108,70;7.755,50;0;10.076,84;-17.058,57;50.106,73;-;74.899,24;167.103,60
2013;890903295;46,08;3.478,89;0;0;3.524,97;6,72;55.702,57;0;0;2.959,85;52.742,72;0;209,14;8.471,16;388,92;-;4.679,90;13.749,12;0;0;0;0;0;0;0;1.426,94;3.661,28;0;5.088,22;75.111,75;11.258,72;-;-;947,33;14.882,48;-;-;3.020,16;2.544,84;-;-;-;-;0;1.979,41;50.392,20;52.371,61;85.025,13;160.136,87;7.022,11;20.640,52;177,13;1.232,17;0;177,6;102,68;841,3;-;1.700,05;8.219,15;12.450,06;4.960,35;4.406,04;9.072,87;65;0;0;0;0;58.616,95;22.953,96;0;0;0;0;9.161,15;0;0;0;32.115,11;90.732,06;348,62;-;-;0;348,62;16.438,64;7.108,70;7.755,50;0;4.574,93;-19.193,18;52.371,61;-;69.404,82;160.136,87
2012;890903295;55,15;2.472,62;0;0;2.527,77;3,77;52.765,76;940,46;0;2.606,82;51.099,40;0;415,15;7.511,56;224,86;-;2.867,59;11.019,16;0;0;0;0;0;0;0;1.850,75;2.152,66;0;4.003,41;68.653,50;10.707,39;-;-;528,11;14.852,49;-;-;934,68;1.016,87;-;-;-;-;0;1.978,81;40.276,37;42.255,17;70.294,71;138.948,22;1.429,59;16.730,85;187,9;933,05;0;227,66;68,78;956,29;-;532,28;11.569,26;14.475,21;3.791,59;3.370,10;7.848,28;0;0;0;0;0;47.645,61;23.368,78;0;673,04;463,75;0;12.089,49;0;0;0;36.595,05;84.240,66;331,22;-;-;0;331,22;16.450,14;7.108,70;7.755,50;0;10.516,78;-29.709,96;42.255,18;-;54.707,56;138.948,22
2011;890903295;55,36;2.206,56;0;0;2.261,92;11,48;42.390,74;352;0;2.672,92;40.069,83;0;144,36;6.958,61;158,61;-;3.999,43;11.261,01;0;0;0;0;0;0;0;2.097,01;1.218,34;0;3.315,35;56.919,59;10.915,90;-;-;755,5;18.168,95;-;-;603,79;1.121,72;-;-;-;-;0;1.981,15;47.817,65;49.798,80;81.364,64;138.284,23;7.259,16;16.895,22;351,73;926,64;0;387,18;78,07;759,38;-;1.891,38;13.339,47;17.733,85;3.537,03;2.888,83;6.084,64;686,54;0;0,51;0,51;0;55.085,78;19.327,54;0;16.792,17;927,49;0;10.013,99;0;0;0;47.061,19;102.146,97;301;-;-;0;301;883,22;7.054,85;7.755,50;0;9.898,71;-39.554,82;49.798,80;-;36.137,26;138.284,23
