BALANCE GENERAL;NIT;Caja;Bancos;Cuentas De Ahorro;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;Otros;SUBTOTAL OTROS PASIVOS;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Subtotal Diferidos;Subtotal Otros Pasivos;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;RESULTADOS DE EJERCICIOS ANTERIORES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;901029518;275,85;38.151,57;0;38.427,42;240,36;77.469,17;1.171,82;76.297,35;0;1.183,99;0;0;676,38;1.860,37;751,51;751,51;117.577,01;0;0;73.975,45;73.975,45;41.701,82;127.883,87;130.322,55;258.206,42;0;0;0;864,09;0;864,09;374.747,78;492.324,79;26.303,37;17.306,52;-;0;-;0;0;8.171,14;9.275,08;0;219,13;219,13;61.275,24;0;0;173,05;0;35.919,23;64.370,70;100.462,97;161.738,22;25.673,20;231.040,81;0;256.714,01;0;0;0;50.136,72;23.735,84;330.586,57;492.324,79
2019;901029518;-;1.633,72;-;1.633,72;0;719,3;-;719,3;-;0;0;0;0;0;0;0;2.353,02;285.396,89;0;0;0;0;0;0;0;0;0;0;0;0;0;285.396,89;287.749,91;4.613,22;1.645,18;0;0;-;0;0;0;-;-;-;-;6.258,40;134.300,00;0;0;0;0;0;134.300,00;140.558,40;11.801,80;107.051,68;0;118.853,48;0;0;0;28.338,02;0;147.191,50;287.749,91
2018;901029518;-;6.408,50;-;6.408,50;0;0;-;0;-;0;0;0;0;0;0;0;6.408,50;270.429,93;0;0;0;0;0;0;0;0;0;0;0;0;0;270.429,93;276.838,43;805,36;38,38;0;0;0;0;0;59,05;-;-;-;-;902,79;134.300,00;0;0;0;0;0;134.300,00;135.202,79;11.801,80;107.051,68;0;118.853,48;0;0;0;22.782,16;0;141.635,64;276.838,43
2017;901029518;-;5.217,00;-;5.217,00;0;6.268,76;-;6.268,76;-;0;0;0;0;0;0;0;11.485,76;257.542,72;0;0;0;0;0;0;0;0;0;0;0;0;0;257.542,72;269.028,49;7.641,35;17,85;0;0;0,3;0;0,3;21,22;-;-;-;-;7.680,73;134.300,00;0;0;0;0;0;134.300,00;141.980,73;118.853,49;0;0;118.853,49;0;0;0;8.194,27;0;127.047,76;269.028,49
2016;901029518;-;1.302,45;-;1.302,45;0;0;-;0;-;0;0;0;0;0;0;0;1.302,45;249.997,74;0;0;0;0;0;0;0;0;0;0;0;0;0;249.997,74;251.300,19;0;0;0;0;0,3;0;0,3;0;-;-;-;-;0,3;134.300,00;0;0;0;0;0;134.300,00;134.300,30;118.000,00;0;0;118.000,00;0;0;0;-1.000,12;0;116.999,89;251.300,19
2015;901029518;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;901029518;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;901029518;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;901029518;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2011;901029518;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2010;901029518;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;901029518;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2008;901029518;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2007;901029518;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2006;901029518;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
