BALANCE GENERAL;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;800198454;0;112,89;0;-;112,89;0;1.258,99;-;-;0;1.258,99;0;0;0;-;0;0;0;-;-;-;-;-;69,31;69,31;-;-;-;-;1.441,18;0;0;0;0;41,63;0;0;0;0;0;0;0;0;0;-;-;-;41,63;1.482,81;14,67;257,02;145,79;-;-;-;-;-;0;-;-;145,79;23,14;57,38;433,69;-;-;0;0;-;931,68;165,7;0;0;0;0;-;0;0;-;165,7;1.097,38;19,56;0;0;-;19,56;0;9,78;0;-;-;356,08;-;0;385,43;1.482,81
2019;800198454;-;117,71;-;-;117,71;0;1.846,47;-;-;-;1.846,47;-;0;0;-;0;0;0;-;-;-;-;-;129,35;129,35;-;-;-;-;2.093,53;0;0;0;0;51,27;0;0;0;0;0;0;0;0;0;-;-;-;51,27;2.144,81;94,62;726,64;-;-;-;-;-;83,79;0;-;0;83,79;292,04;-;-;-;-;-;-;-;1.197,10;105,94;0;0;0;-;-;0;0;-;105,94;1.303,04;19,56;0;0;-;19,56;0;9,78;0;-;-;812,42;-;0;841,77;2.144,81
2018;800198454;-;67,75;-;-;67,75;0;2.030,29;-;-;-;2.030,29;-;0;0;-;0;0;0;-;-;-;-;-;109,64;109,64;-;-;-;-;2.207,69;0;0;0;0;45,82;0;0;0;0;0;0;0;0;0;-;-;-;45,82;2.253,51;235,06;647,59;-;-;-;-;-;74,01;0;-;1,43;75,43;324,28;-;-;-;-;-;-;-;1.282,36;155,67;0;0;0;-;-;0;0;-;155,67;1.438,03;19,56;0;0;-;19,56;0;9,78;0;-;-;786,14;-;0;815,48;2.253,51
2017;800198454;0;70,59;-;-;70,59;0;2.378,45;-;-;-;2.378,45;0;0;0;-;0;0;0;-;-;-;-;-;95,24;95,24;-;-;-;-;2.544,28;0;0;0;0;50,41;0;0;0;0;0;0;0;0;0;-;-;-;50,41;2.594,69;1,65;841,86;0;-;-;-;-;73,02;0,09;-;0;73,1;411,33;-;-;-;-;-;-;-;1.327,94;467;0;-;0;0;0;0;0;-;467;1.794,94;19,56;0;0;-;19,56;0;9,78;0;-;-;770,41;-;0;799,75;2.594,69
2016;800198454;-;539,37;-;-;539,37;0;1.875,16;-;-;-;1.875,16;-;0;0;-;0;0;0;-;-;-;-;-;105,65;105,65;-;-;-;-;2.520,18;0;0;0;0;14,6;0;0;0;0;0;0;0;0;0;-;-;-;14,6;2.534,78;656,27;651,18;-;-;-;-;-;73,64;0,12;-;0;73,76;443,56;-;-;-;-;-;-;-;1.824,77;0;0;0;0;-;-;0;0;-;0;1.824,77;19,56;0;0;-;19,56;0;9,78;0;-;-;680,66;-;0;710;2.534,78
2015;800198454;0;83,67;0;0;83,67;0;0;0;0;0;0;0;0;91,6;0,08;-;1.244,47;1.336,14;0;0;0;86,47;0;0;86,47;1,92;6,35;0;8,27;1.514,54;0;-;-;0;4,48;-;-;0;0;-;-;-;-;0;0;0;0;4,48;1.519,02;0;465,14;118,2;12,23;0;0,01;1,54;11,21;-;3,27;0;146,47;296,72;43,51;37,17;0;0;0,09;0,09;0;989,09;0;0;0;0;0;0;0;0;0;0;989,09;0;-;-;19,56;19,56;0;9,78;269,2;0;231,38;0;0;-;529,93;1.519,02
2014;800198454;0;94,01;0;0;94,01;0;0;0;0;0;0;0;0;71,76;0,04;-;941,89;1.013,69;0;0;0;67,85;0;0;67,85;1,88;6,17;0;8,05;1.183,60;0;-;-;0;4,48;-;-;0;0;-;-;-;-;0;0;0;0;4,48;1.188,08;1,58;307,69;60,24;10,42;0;0,04;1,08;7,89;-;4,19;0;83,85;244,99;24,41;37,41;0;0;0;0;0;699,94;0;0;0;0;0;0;0;0;0;0;699,94;0;-;-;19,56;19,56;0;9,78;269,2;0;189,6;0;0;-;488,14;1.188,08
2013;800198454;0;78,04;0;0;78,04;0;0;0;0;0;0;0;0;0;0;-;1.517,48;1.517,48;0;0;0;76,53;0;0;76,53;0;0;0;0;1.672,05;0;-;-;0;6,15;-;-;0;12,49;-;-;-;-;0;0;0;0;18,64;1.690,68;0;347,77;484,29;10,53;0;1,12;1,09;0;-;1,58;0;498,61;191,56;0;33,42;0;0;0;0;0;1.071,36;0;0;0;0;0;0;0;0;0;0;1.071,36;0;-;-;19,56;19,56;0;9,78;269,2;0;169,92;150,86;0;-;619,33;1.690,68
2012;800198454;0;40,93;0;0;40,93;0;0;0;0;0;0;0;0;2,19;0;-;1.020,27;1.022,45;0;0;0;85,84;0;0;85,84;0;0;0;0;1.149,22;0;-;-;0;8,76;-;-;0;55,83;-;-;-;-;0;0;0;0;64,59;1.213,81;0;356,16;92,37;9,55;0;5,6;1,26;0;-;1,42;8,96;119,17;161,89;0;3,03;0;0;0;0;0;640,25;0;0;0;0;0;0;0;0;0;0;640,25;0;-;-;19,56;19,56;0;9,78;269,2;0;150,86;124,15;0;-;573,55;1.213,81
2011;800198454;0;32,71;0;0;32,71;0;0;0;0;0;0;0;0;2,61;0;-;1.494,20;1.496,81;0;0;0;96,58;0;0;96,58;0;0;0;0;1.626,11;0;-;-;0;6,35;-;-;0;159,23;-;-;-;-;0;0;0;0;165,58;1.791,68;0;488,28;103,08;11,02;0;4,18;0,94;0;-;1,6;0;120,83;147,39;0;1,47;0;0;0;0;0;757,97;0;0;0;0;0;0;0;0;0;0;757,97;0;-;-;19,56;19,56;0;9,78;269,2;0;124,15;611,02;0;-;1.033,72;1.791,68
