BALANCE GENERAL;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;830081427;42,33;1.182,61;0;-;1.224,94;7.470,51;11.400,99;-;-;22,67;11.378,32;0;0;231,83;-;0;3.904,13;4.135,95;-;-;-;-;-;2.607,85;2.607,85;-;-;-;-;26.817,57;737,61;0;292,57;292,57;13.543,76;0;173,72;173,72;1.071,62;0;0;0;0;0;-;-;-;15.819,29;42.636,86;8.955,16;3.552,00;-;-;-;-;-;-;0;-;3.593,52;3.593,52;941,08;0;0;-;-;939,88;939,88;-;17.981,65;0;552,74;0;0;-;-;544,7;11.579,95;-;12.677,39;30.659,04;130,02;0;0;-;130,02;0;1.809,11;899,1;-;-;9.139,58;-;0;11.977,82;42.636,86
2019;830081427;-;761,61;-;-;761,61;0;3.672,62;-;-;-;3.672,62;-;0;3.390,61;-;0;26,18;3.416,78;-;-;-;-;-;2.530,29;2.530,29;-;-;-;-;10.381,30;736,61;0;423,02;423,02;14.512,37;0;207,44;207,44;1.246,16;0;0;0;0;0;-;-;-;17.125,60;27.506,91;4.523,49;5.484,56;-;-;-;-;-;0;0;-;1.087,57;1.087,57;1.371,91;-;-;-;-;-;-;-;12.467,54;0;621,06;0;0;-;-;526,24;10.660,66;-;11.807,96;24.275,49;130,02;0;0;-;130,02;0;580,23;899,1;-;-;1.622,06;-;0;3.231,41;27.506,91
2018;830081427;-;2.330,57;-;-;2.330,57;0;1.996,57;-;-;-;1.996,57;-;-;2.458,74;-;0;13,71;2.472,44;-;-;-;-;-;2.412,00;2.412,00;-;-;-;-;9.211,58;1.004,62;0;0;0;15.055,79;0;258,12;258,12;793,29;0;0;0;0;0;-;-;-;17.111,82;26.323,40;5.367,49;4.747,23;-;-;-;-;-;0;0;12.851,88;0;12.851,88;1.378,12;-;-;-;-;-;-;-;24.344,73;0;0;0;0;-;-;0;0;-;0;24.344,73;130,02;0;0;-;130,02;0;544,84;786,6;-;-;517,22;-;0;1.978,68;26.323,40
2017;830081427;42,66;369,72;-;-;412,38;2.212,81;4.700,70;-;-;-;4.700,70;0;0;0;-;0;16,31;16,31;-;-;-;-;-;2.069,35;2.069,35;-;-;-;-;9.411,54;0;0;0;0;16.678,18;0;265,25;265,25;1.205,01;0;0;490,39;0;490,39;-;-;-;18.638,83;28.050,37;4.994,00;6.792,94;12.627,09;-;-;-;-;0;0;-;0;12.627,09;1.671,34;-;-;-;-;-;-;-;26.085,36;0;0;-;0;0;0;0;0;-;0;26.085,36;130,02;0;0;-;130,02;0;500,85;466,88;-;-;867,26;-;0;1.965,01;28.050,37
2016;830081427;-;4.177,38;-;-;4.177,38;0;3.872,05;-;-;-;3.872,05;-;0;0;-;0;12,33;12,33;-;-;-;-;-;2.091,51;2.091,51;-;-;-;-;10.153,27;859,37;0;0;0;11.320,40;-;-;1.066,90;772,31;0;0;0;0;0;-;-;-;14.018,98;24.172,25;1.900,98;7.283,82;-;-;-;-;-;0;45,93;-;0;45,93;1.255,80;-;-;-;-;-;-;-;10.486,53;0;0;0;0;-;-;0;11.363,27;-;11.363,27;21.849,80;130,02;0;0;-;130,02;0;500,85;297,18;-;-;1.394,40;-;0;2.322,45;24.172,25
2015;830081427;35,8;17,82;5,42;3.697,88;3.756,93;0;322,16;0;0;283,27;38,89;106,89;598,32;1.137,44;93,56;-;500,8;2.437,01;574,15;128,55;0,98;407,62;448,74;55,31;1.615,34;19,57;3,68;0;23,25;7.871,41;582,14;-;-;0;5.391,47;-;-;0;3.340,32;-;-;-;-;0;124,47;0;124,47;9.438,39;17.309,81;1.441,91;2.576,87;2.558,66;77,13;597,45;0,99;1,63;80,67;-;158,27;32,87;3.507,68;1.765,66;614,38;100,25;0;1;4.518,84;4.519,84;0;14.526,60;0;0;0;0;0;0;0;0;0;0;14.526,60;130,02;-;-;0;130,02;0;389,13;46,67;0;1.117,24;975,69;124,47;-;2.783,21;17.309,81
2014;830081427;18,14;20,84;5,41;2.676,29;2.720,68;0;417,16;0;0;1,6;415,56;99,29;294,88;843,57;110,2;-;796,71;2.144,64;430,12;114,02;1,26;416,58;434,02;57,37;1.453,37;19,31;3,56;0;22,88;6.757,12;496,03;-;-;0;4.538,00;-;-;0;3.879,43;-;-;-;-;0;69,6;0;69,6;8.983,06;15.740,18;1.333,27;2.345,67;1.262,17;102,06;268,61;2,14;8,33;75,59;-;127,87;231,03;2.077,80;1.392,11;493,48;87,42;0;16,37;5.882,95;5.899,32;0;13.629,08;0;0;0;0;0;0;0;0;0;0;13.629,08;130,02;-;-;0;130,02;0;284,71;46,67;0;1.044,21;535,9;69,6;-;2.111,11;15.740,18
2013;830081427;16,09;27,28;5,29;1.658,16;1.706,82;0;518,4;0;0;1,6;516,8;37,06;469,5;391,28;90,36;-;378,28;1.366,48;315,15;88,63;6,16;237,41;300,93;41,64;989,91;20,82;0;0;20,82;4.600,81;418,54;-;-;0;2.657,98;-;-;0;1.585,75;-;-;-;-;0;50,29;0;50,29;4.712,56;9.313,37;1.628,00;1.437,93;991,58;54,5;268,61;20,61;25,57;27,61;-;64,89;85,33;1.538,70;793,08;352,8;45,88;0;958,93;1.070,48;2.029,41;0;7.825,79;0;0;0;0;0;0;0;0;0;0;7.825,79;130,02;-;-;0;130,02;0;232,41;46,67;0;522,99;505,22;50,29;-;1.487,59;9.313,37
2012;830081427;21,68;21,39;0;1.544,95;1.588,02;0;257,04;0;0;1,6;255,44;49,89;289,15;339,29;44,43;-;505,36;1.228,11;202,28;76,21;1,59;160,69;172,07;39,61;652,44;23,92;0;0;23,92;3.747,93;418,15;-;-;0;1.885,14;-;-;0;3,05;-;-;-;-;0;50,29;0;50,29;2.356,62;6.104,55;445,75;1.148,98;685,32;109,83;23,31;97,34;19,52;53,32;-;51,02;2,02;1.041,67;727,79;269,94;14,09;0;0;1.091,73;1.091,73;0;4.739,95;0;0;0;0;0;0;0;0;0;0;4.739,95;130,02;-;-;0;130,02;0;232,41;46,67;0;488,51;416,71;50,29;-;1.364,60;6.104,55
2011;830081427;12,17;412,36;0;1.142,65;1.567,18;0;277,07;0;0;0;277,07;19,84;40,91;282,03;45,97;-;287,99;676,75;188,37;76,54;1,29;157,42;154,02;29,7;607,33;117,18;0;0;117,18;3.245,50;120,94;-;-;0;1.554,93;-;-;0;50,22;-;-;-;-;0;50,29;0;50,29;1.776,37;5.021,87;0;974,93;365,15;66,73;109,29;62,28;16,47;41,73;-;37,26;10,26;709,16;651,99;233,45;22,13;0;0;1.164,13;1.164,13;0;3.755,77;0;0;0;0;0;0;0;0;0;0;3.755,77;130,02;-;-;0;130,02;0;194,6;46,67;0;378,12;466,4;50,29;-;1.266,09;5.021,87
