ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo
2020;806008047;95.943,05;77.193,28;18.749,77;0;11.395,14;1.025,09;8.379,71;1.365,75;2.111,34;2.111,34;-;-;7.634,12;2.825,09;0;4.809,03;144,68
2019;806008047;86.194,34;67.126,94;19.067,40;12.241,64;26,37;1.009,06;7.808,45;1.018,35;1.056,23;1.056,23;0;0;7.770,57;2.677,94;0;5.092,64;28,22
2018;806008047;58.765,01;42.178,07;16.586,94;11.131,48;79,15;454,92;5.831,23;808,92;1.036,22;1.036,22;-;0;5.603,94;2.222,87;0;3.381,06;148,34
2017;806008047;32.208,32;20.396,94;11.811,38;8.075,83;116,38;-47,3;3.571,87;504,46;510,17;510,17;0;0;3.566,16;1.413,60;0;2.152,56;344,98
2016;806008047;28.514,98;18.230,44;10.284,55;6.584,36;100,57;129,95;3.729,57;699,31;716,76;716,76;-;-;3.712,12;1.357,51;0;2.354,61;3,85
2015;806008047;27.502,24;18.403,79;9.098,45;5.594,80;99,95;-;3.403,70;2.140,40;1.404,79;6,42;1.398,38;-;4.139,31;1.528,29;-;2.611,01;-
2014;806008047;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;806008047;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;806008047;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2011;806008047;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2010;806008047;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;806008047;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2008;806008047;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2007;806008047;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2006;806008047;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
