ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;830008524;283.289,25;246.379,12;36.910,13;0;28.663,79;5.006,11;13.252,46;10.955,96;19.113,02;19.113,02;-;-;5.095,39;3.690,77;0;1.404,62;2.955,71;-
2019;830008524;275.409,05;236.130,80;39.278,26;31.931,96;0;5.447,82;12.794,11;5.964,48;15.743,39;15.743,39;0;0;3.015,20;1.939,00;0;1.076,20;-1.919,79;-
2018;830008524;296.818,54;252.280,03;44.538,51;39.236,91;0;4.896,39;10.197,99;5.823,59;13.181,28;13.181,28;-;0;2.840,30;485,84;0;2.354,46;0;-
2017;830008524;146.211,83;104.002,30;42.209,53;38.589,24;0;5.089,57;8.709,86;5.128,08;11.160,94;11.160,94;0;0;2.677,01;1.137,53;0;1.539,48;0;-
2016;830008524;149.575,22;99.345,99;50.229,23;46.895,63;0;8.976,92;12.310,52;0;9.830,66;9.830,66;-;-;2.479,87;1.060,83;0;1.419,04;6.659,98;-
2015;830008524;132.564,72;91.329,33;41.235,39;41.669,38;0;-;-433,99;15.890,49;13.716,60;3.873,50;9.843,10;-;1.739,90;192,94;-;1.546,96;-;-
2014;830008524;133.976,33;92.487,55;41.488,78;38.305,79;0;-;3.182,99;15.641,53;14.871,35;-;-;-;3.953,17;2.267,40;-;1.685,77;2.579,23;87,75
2013;830008524;108.641,59;65.942,30;42.699,29;40.065,76;0;-;2.633,52;9.272,95;8.207,28;-;-;-;3.699,19;1.481,72;-;2.217,47;2.257,56;94,56
2012;830008524;47.538,78;21.216,78;26.322,01;28.057,84;0;-;-1.735,83;7.101,40;3.608,95;-;-;-;1.756,61;744,72;-;1.011,89;1.350,68;504,78
2011;830008524;48.151,37;22.472,31;25.679,05;23.023,56;0;-;2.655,50;1.595,08;2.267,86;-;-;-;1.982,72;731,69;-;1.251,02;648;373,12
2010;830008524;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;830008524;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2008;830008524;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2007;830008524;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2006;830008524;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
