ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;800213075;104.698,73;38.261,47;66.437,26;72.920,67;9.954,41;1.096,10;-15.341,73;568,65;4.420,03;4.420,03;-;0;-19.193,10;112,13;0;-19.305,24;5.120,68;-
2019;800213075;129.269,47;55.877,40;73.392,07;8.165,06;66.683,82;219,77;-1.237,04;0;6.109,64;6.109,64;0;0;-7.346,68;-257,92;0;-7.088,77;3.951,59;-
2018;800213075;145.180,17;65.065,18;80.114,99;14.594,46;74.091,67;0;-8.571,14;0;6.199,53;6.199,53;-;0;-14.770,67;-1.120,27;0;-13.650,40;5.070,49;-
2017;800213075;154.853,73;69.505,74;85.347,99;13.105,05;79.282,60;-1.696,36;-8.736,02;4.118,34;10.641,83;10.641,83;0;0;-15.259,51;-3.830,27;0;-11.429,25;5.676,93;-
2016;800213075;154.598,97;61.009,17;93.589,80;74.536,62;14.566,20;-1.582,93;2.904,05;4.372,89;9.910,72;9.910,72;0;0;-2.633,78;1.751,06;0;-4.384,85;5.565,36;-
2015;800213075;134.533,29;55.403,29;79.130,00;62.356,91;11.771,90;0;5.001,19;5.288,60;5.619,98;5.619,98;-;0;4.669,82;710,18;0;3.959,64;5.565,36;-
2014;800213075;118.947,52;48.591,51;70.356,02;9.526,23;61.167,16;-;-337,37;2.741,92;3.176,64;-;-;-;-772,09;831,48;-;-1.603,57;1.885,48;8.262,53
2013;800213075;105.700,54;44.681,58;61.018,96;7.350,75;52.519,03;-;1.149,19;2.947,33;2.505,52;-;-;-;1.591,00;646,64;-;944,36;1.440,49;7.587,14
2012;800213075;90.926,96;40.600,74;50.326,23;6.478,83;41.613,67;-;2.233,73;2.534,54;3.601,00;-;-;-;1.167,27;850,2;-;317,07;1.484,58;7.019,67
2011;800213075;81.179,02;42.462,21;38.716,81;4.014,07;30.707,92;-;3.994,82;1.319,28;4.567,62;-;-;-;746,49;23,18;-;723,31;1.209,12;2.888,10
2010;800213075;48.398,79;20.653,38;27.745,41;2.506,61;23.679,61;-;1.559,18;781,62;1.304,76;-;-;-;1.036,03;490,84;-;545,19;1.107,10;1.483,06
2009;800213075;44.012,41;18.461,59;25.550,81;2.915,93;21.452,72;-;1.182,16;1.266,66;1.654,13;-;-;-;794,69;245,34;-;549,36;1.048,03;3.726,12
2008;800213075;41.550,29;17.102,99;24.447,30;2.301,27;18.949,64;-;3.196,38;3.508,87;6.128,27;-;-;-;576,99;14,18;-;562,8;73,65;380,51
2007;800213075;35.160,83;14.507,86;20.652,97;1.670,11;16.174,17;-;2.808,69;1.080,97;3.635,93;-;-;-;253,73;143,19;-;110,53;-;-
2006;800213075;28.142,88;11.495,94;16.646,94;3.776,31;13.029,89;-;-159,26;342,77;833,69;-;-;-2,89;-650,18;63,68;-;-716,75;-;-
