ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;830033216;1.184,43;568,46;615,97;459,92;137,47;-2,36;16,22;0,14;6,4;6,4;-;9,96;10,23;0;-0,27;0;-
2019;830033216;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2018;830033216;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;830033216;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016;830033216;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;830033216;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;830033216;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;830033216;754,78;417,38;337,41;8,33;249,66;-;79,42;0,92;6,06;-;-;74,29;26,15;-;48,14;1,71;0,62
2012;830033216;802,36;452,95;349,41;8,39;246;-;95,02;6,47;26,55;-;-;74,94;31,97;-;42,98;1,71;0,83
2011;830033216;779,53;413,45;366,08;7,74;293,49;-;64,86;29,87;22,77;-;-;71,96;27,3;-;44,67;1,71;7,92
2010;830033216;1.470,19;480,23;989,97;68,76;818,69;-;102,52;10,43;93,45;-;-;19,5;8,93;-;10,57;1,71;71,82
2009;830033216;1.262,69;640,58;622,11;3,87;597,55;-;20,68;28,37;37,58;-;-;11,47;7,69;-;3,78;1,6;39,72
2008;830033216;577,72;321,81;255,91;4,85;309,95;-;-58,88;70,35;4,78;-;-;6,68;2,71;-;3,97;2,39;0,58
2007;830033216;715,97;286,68;429,29;142,09;276,61;-;10,59;2,19;6,02;-;-;6,77;2,82;-;3,95;-;-
2006;830033216;475,34;256,64;218,7;2,04;210,89;-;5,77;1,68;5,23;-;-2,68;2,23;2,12;-;-2,58;-;-
