ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo
2020;900282324;2.384,66;3.049,14;-664,47;7,98;181,87;274,09;-580,24;0;130,9;130,9;-;-;-711,13;13,38;0;-724,51;217,77
2019;900282324;6.145,03;5.659,61;485,42;341,84;10,76;116,64;249,47;0;153,59;153,59;0;0;95,88;45,26;0;50,62;187,99
2018;900282324;10.114,31;9.291,40;822,91;522,88;33,06;0;266,97;229,81;169,57;169,57;-;0;327,2;106,62;0;220,59;169,24
2017;900282324;10.088,76;9.174,65;914,11;529,13;200,66;304,63;488,95;0;152,65;152,65;0;0;336,29;115,06;0;221,24;165,19
2016;900282324;10.554,38;9.841,77;712,61;443,97;138,4;275,4;405,64;0;144,11;144,11;-;-;261,53;80,45;0;181,08;175,3
2015;900282324;10.283,25;9.065,76;1.217,49;1.230,71;33,44;-;-46,67;367;137,75;97,96;39,78;-;182,59;70,17;-;112,42;-
2014;900282324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;900282324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;900282324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2011;900282324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2010;900282324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;900282324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2008;900282324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2007;900282324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2006;900282324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
