ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo
2020;901037763;8.446,67;3.152,31;5.294,35;3.668,37;45,29;53,14;1.633,84;0;71,75;71,75;1.562,09;180,6;0;1.381,49;157,6
2019;901037763;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2018;901037763;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;901037763;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016;901037763;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;901037763;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;901037763;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;901037763;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;901037763;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2011;901037763;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2010;901037763;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;901037763;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2008;901037763;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2007;901037763;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2006;901037763;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
