BALANCE GENERAL;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;800157508;131,64;2.185,37;0;-;2.317,01;1.398,43;2.031,62;-;-;16,57;2.015,05;0;0;0;-;0;0;0;-;-;-;-;-;4.611,40;4.611,40;-;-;-;-;10.341,89;0;0;0;0;6.693,65;0;19,93;19,93;41,44;0;0;500;0;500;-;-;-;7.255,02;17.596,90;2.950,29;2.985,00;730,88;-;-;-;-;-;0;-;-;730,88;438,45;245,11;0;-;-;0;0;-;7.349,73;2.616,67;685,34;0;0;25,54;-;138,76;0;-;3.466,30;10.816,03;1.658,00;0;0;-;1.658,00;0;576,65;0;-;-;4.546,23;-;0;6.780,87;17.596,90
2019;800157508;-;4.048,33;-;-;4.048,33;0;2.563,62;-;-;-;2.563,62;-;0;0;-;0;0;0;-;-;-;-;-;6.249,22;6.249,22;-;-;-;-;12.861,17;500;0;0;0;6.880,96;0;23,58;23,58;74,24;0;0;0;0;0;-;-;-;7.478,77;20.339,94;2.827,40;5.139,84;-;-;-;-;-;303,64;0;-;0;303,64;774,4;-;-;-;-;-;-;-;9.045,29;2.507,68;694,02;25,54;0;-;-;127,14;0;-;3.354,37;12.399,66;1.658,00;0;0;-;1.658,00;0;519,11;0;-;-;5.763,17;-;0;7.940,28;20.339,94
2018;800157508;-;2.996,85;-;-;2.996,85;0;2.384,16;-;-;-;2.384,16;-;0;0;-;0;0;0;-;-;-;-;-;4.639,06;4.639,06;-;-;-;-;10.020,07;0;0;0;0;7.085,75;0;27,22;27,22;70,9;0;0;500;0;500;-;-;-;7.683,87;17.703,93;2.762,25;4.805,17;-;-;-;-;-;325,6;0;-;0;325,6;384,12;-;-;-;-;-;-;-;8.277,14;2.449,89;0;25,54;0;-;-;81,95;0;-;2.557,38;10.834,52;1.658,00;0;0;-;1.658,00;0;505,27;0;-;-;4.706,14;-;0;6.869,42;17.703,93
2017;800157508;524,3;2.856,64;-;-;3.380,94;0;2.955,54;-;-;-;2.955,54;0;0;0;-;0;0;0;-;-;-;-;-;4.703,01;4.703,01;-;-;-;-;11.039,49;0;0;0;0;7.215,89;0;36,17;36,17;91,52;0;0;500;0;500;-;-;-;7.843,58;18.883,07;2.195,92;5.355,21;0;-;-;-;-;350,62;0;-;0;350,62;582,55;-;-;-;-;-;-;-;8.484,29;3.411,19;0;-;0;25,54;0;233,47;0;-;3.670,19;12.154,49;1.658,00;0;0;-;1.658,00;0;453,39;0;-;-;4.617,19;-;0;6.728,58;18.883,07
2016;800157508;-;3.928,18;-;-;3.928,18;0;2.651,34;-;-;-;2.651,34;-;0;0;-;0;0;0;-;-;-;-;-;5.066,05;5.066,05;-;-;-;-;11.645,57;500;0;0;0;6.996,09;0;29,06;29,06;91,52;0;0;0;0;0;-;-;-;7.616,68;19.262,24;2.027,12;5.252,88;-;-;-;-;-;254,49;0;-;0;254,49;928,07;-;-;-;-;-;-;-;8.462,57;4.418,91;0;25,54;0;-;-;139,86;0;-;4.584,30;13.046,86;1.658,00;0;0;-;1.658,00;0;368,04;0;-;-;4.189,34;-;0;6.215,38;19.262,24
2015;800157508;415,61;3.206,95;777,88;0;4.400,44;0;2.668,33;0;0;1,45;2.666,89;0;22,44;120,65;26,53;-;90,29;259,9;1.237,04;170,69;1.623,82;1.635,05;0;0;4.666,59;0;53,32;0;53,32;12.047,13;500;-;-;0;1.751,25;-;-;2.560,00;0;-;-;-;-;0;0;0;0;4.811,25;16.858,38;4.802,38;4.449,65;180,23;86,92;0;6,27;10,15;54,88;-;54,59;777,34;1.170,38;995,76;425,47;0;0;23,15;0;23,15;0;11.866,79;0;0;0;0;0;0;0;0;0;0;11.866,79;1.658,00;-;-;0;1.658,00;0;283,93;194,05;0;874,82;1.980,79;0;-;4.991,59;16.858,38
2014;800157508;389,65;2.211,45;1.695,06;0;4.296,17;17,53;2.267,17;0;0;1,31;2.265,86;0;68,24;84,98;19,43;-;55,31;227,96;778,98;205,12;929,7;2.262,64;0;0;4.176,44;0;46,49;0;46,49;11.030,45;500;-;-;0;1.231,22;-;-;0;0;-;-;-;-;0;0;0;0;1.731,22;12.761,67;1.426,58;4.830,48;127,43;63,75;0;5,66;6,71;39,8;-;51,12;0;294,46;810,17;139,47;0;0;0;0;0;0;7.501,16;841,55;0;277,34;0;0;0;0;11,35;0;1.130,25;8.631,41;1.158,00;-;-;0;1.158,00;0;199,93;194,05;0;840;1.738,29;0;-;4.130,27;12.761,67
2013;800157508;266,09;1.864,65;373,71;0;2.504,46;582,01;1.811,39;0;38,43;27,23;1.822,60;0;31,1;139,32;18,48;-;106,97;295,88;685,96;49,21;1.043,07;1.635,23;0;12,5;3.425,97;0;32,17;0;32,17;8.663,07;500;-;-;0;932,55;-;-;0;0;-;-;-;-;0;0;0;0;1.432,55;10.095,62;651,19;2.130,42;244,42;35,71;0;24,67;6,47;36,25;-;1.628,64;0;1.976,15;603,17;123,07;0;0;51,15;0;51,15;0;5.535,15;992,85;0;277,34;0;0;0;0;0;0;1.270,19;6.805,34;1.158,00;-;-;0;1.158,00;0;156,22;194,05;0;437,17;1.344,84;0;-;3.290,27;10.095,62
2012;800157508;348,44;944,3;189,54;0;1.482,29;385,86;2.346,32;0;11,21;0;2.357,53;0;21,95;81,44;28,13;-;71,44;202,97;738,04;75,89;2.361,49;1.496,19;0;0,63;4.672,24;12,66;147,06;0;159,72;9.260,60;500;-;-;0;889,36;-;-;0;0;-;-;-;-;0;0;0;0;1.389,36;10.649,97;1.644,67;4.788,69;267,94;37,14;0;49,83;4,5;49,96;-;115,39;0;524,76;461,39;90,36;0;0;4,59;0;4,59;0;7.514,45;0;0;277,34;0;0;0;0;0;0;277,34;7.791,79;1.158,00;-;-;0;1.158,00;0;125,34;202,48;0;305,45;1.066,91;0;-;2.858,17;10.649,97
2011;800157508;271,14;968,37;126,64;0;1.366,15;298,95;1.747,29;0;38,43;27,23;1.758,49;0;27,68;38,59;0,82;-;12,86;79,94;458,7;0;1.652,50;653,17;0;15,92;2.780,29;10,88;78,22;0;89,09;6.372,92;500;-;-;0;556,41;-;-;0;0;-;-;-;-;0;0;0;0;1.056,41;7.429,32;766,55;2.659,77;0;30,58;0;50,19;3,18;40,11;-;115,19;0;239,25;302,02;87,51;276,37;0;0;0;0;0;4.331,46;759,63;0;277,34;0;0;0;0;3,84;0;1.040,81;5.372,27;0;-;-;658;658;0;96,17;206,81;0;291,64;804,43;0;-;2.057,05;7.429,32
