BALANCE GENERAL;SECTOR;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;calzado;800196632;41.69;951.77;0.00;0.00;993.47;2685.06;4883.43;0.00;0.00;0.00;4883.43;0.00;0.00;341.91;0.00;0.00;403.80;745.71;0.00;0.00;0.00;0.00;0.00;4486.12;4486.12;0.00;0.00;0.00;0.00;13793.78;8816.14;0.00;0.00;0.00;7932.29;0.00;0.00;0.00;23.71;0.00;0.00;0.00;2718.86;2718.86;0.00;0.00;0.00;19490.99;33284.77;0.26;1346.07;497.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;497.25;0.00;147.41;0.00;0.00;0.00;0.30;0.30;0.00;1991.29;627.99;2234.32;0.00;0.00;0.00;0.00;1299.67;0.00;0.00;4161.98;6153.27;1500.00;0.00;0.00;0.00;1500.00;0.00;750.00;0.00;0.00;0.00;24881.50;0.00;0.00;27131.50;33284.77
2019;calzado;800196632;0.00;1759.35;0.00;0.00;1759.35;0.00;6655.47;0.00;0.00;0.00;6655.47;0.00;0.00;838.49;0.00;0.00;0.00;838.49;0.00;0.00;0.00;0.00;0.00;4441.99;4441.99;0.00;0.00;0.00;0.00;13695.30;11435.51;0.00;0.00;0.00;8618.56;0.00;0.00;0.00;102.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;20156.77;33852.08;39.30;3514.73;0.00;0.00;0.00;0.00;0.00;191.28;0.00;0.00;5.13;196.42;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3750.45;1239.45;0.00;0.00;0.00;0.00;0.00;1362.81;0.00;0.00;2602.26;6352.71;1500.00;0.00;0.00;0.00;1500.00;0.00;679.15;0.00;0.00;0.00;25320.22;0.00;0.00;27499.37;33852.08
2018;calzado;800196632;0.00;1785.41;0.00;0.00;1785.41;0.00;6316.57;0.00;0.00;0.00;6316.57;0.00;0.00;783.74;0.00;0.00;3.00;786.74;0.00;0.00;0.00;0.00;0.00;4198.91;4198.91;0.00;0.00;0.00;0.00;13087.62;9911.69;0.00;0.00;0.00;8911.61;0.00;0.00;0.00;160.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18983.60;32071.22;2.23;3654.79;0.00;0.00;0.00;0.00;0.00;148.40;0.00;0.00;8.30;156.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3813.73;1541.22;0.00;0.00;0.00;0.00;0.00;1248.80;0.00;0.00;2790.02;6603.75;1500.00;0.00;0.00;0.00;1500.00;0.00;679.15;0.00;0.00;0.00;23288.32;0.00;0.00;25467.48;32071.22
2017;calzado;800196632;61.24;1283.25;0.00;0.00;1344.48;68.96;5814.51;0.00;0.00;0.00;5814.51;0.00;0.00;448.39;0.00;0.00;3.30;451.69;0.00;0.00;0.00;0.00;0.00;4337.73;4337.73;0.00;0.00;0.00;0.00;12017.37;6810.64;0.00;0.00;0.00;8984.20;0.00;0.00;0.00;0.17;0.00;0.00;1312.74;0.00;1312.74;0.00;0.00;0.00;17107.74;29125.11;17.76;2402.55;7.13;0.00;0.00;0.00;0.00;127.70;0.00;0.00;0.00;134.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2555.14;2006.35;0.00;0.00;0.00;0.00;0.00;728.27;0.00;0.00;2734.62;5289.76;1500.00;0.00;0.00;0.00;1500.00;0.00;532.89;0.00;0.00;0.00;21802.47;0.00;0.00;23835.36;29125.11
2016;calzado;800196632;0.00;2455.81;0.00;0.00;2455.81;0.00;3656.88;0.00;0.00;0.00;3656.88;0.00;0.00;223.14;0.00;0.00;3.30;226.44;0.00;0.00;0.00;0.00;0.00;4006.95;4006.95;0.00;0.00;0.00;0.00;10346.07;7730.31;0.00;0.00;0.00;9607.97;0.00;0.00;0.00;0.17;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17338.45;27684.52;32.32;1615.05;0.00;0.00;0.00;0.00;0.00;100.15;0.00;0.00;5.38;105.53;154.34;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1907.24;2675.24;0.00;0.00;0.00;0.00;0.00;729.35;0.00;0.00;3404.59;5311.83;1500.00;0.00;0.00;0.00;1500.00;0.00;367.30;0.00;0.00;0.00;20505.39;0.00;0.00;22372.70;27684.52
2015;calzado;800196632;41.83;584.38;35.28;0.00;661.49;1047.18;4096.64;0.00;0.00;0.00;4096.64;0.00;209.46;160.87;166.03;0.00;118.33;654.68;3403.53;1055.74;0.00;0.00;0.00;0.00;4459.27;0.00;277.78;0.00;277.78;11197.04;143.41;0.00;0.00;0.00;5776.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5919.91;17116.94;29.12;1375.87;51.99;0.00;795.37;0.00;0.00;36.33;0.00;8.05;404.70;1296.44;58.51;117.74;0.00;0.00;0.00;7.60;7.60;0.00;2885.28;1527.92;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1527.92;4413.20;1500.00;0.00;0.00;0.00;1500.00;0.00;250.00;1851.49;0.00;817.81;8284.44;0.00;0.00;12703.75;17116.94
2014;calzado;800196632;2.15;454.06;89.91;0.00;546.12;1465.50;2781.72;0.00;0.00;0.00;2781.72;0.00;170.78;528.97;252.60;0.00;1.64;953.98;3114.49;269.35;0.00;0.00;0.00;0.00;3383.84;15.74;0.00;0.00;15.74;9146.89;143.41;0.00;0.00;0.00;4512.78;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4656.19;13803.08;10.69;253.90;24.91;0.00;0.00;0.00;0.00;41.44;0.00;1086.93;416.67;1569.96;68.59;77.06;0.00;0.00;7.53;0.00;7.53;0.00;1987.73;783.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;783.65;2771.38;500.00;0.00;0.00;0.00;500.00;0.00;250.00;1942.04;0.00;958.37;7381.30;0.00;0.00;11031.71;13803.08
2013;calzado;800196632;10.72;1325.48;224.57;0.00;1560.78;1618.85;2481.67;0.00;0.00;0.00;2481.67;0.00;300.61;425.97;246.18;0.00;12.34;985.10;2809.62;153.88;0.00;0.00;0.00;0.00;2963.50;13.28;344.20;0.00;357.47;9967.36;143.41;0.00;0.00;0.00;3273.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3416.86;13384.22;15.56;687.47;27.49;0.00;0.00;0.00;0.00;41.84;0.00;1074.66;600.24;1744.24;22.34;80.12;0.00;0.00;0.00;5.30;5.30;0.00;2555.03;704.38;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;704.38;3259.41;500.00;0.00;0.00;0.00;500.00;0.00;250.00;1993.51;0.00;388.52;6992.78;0.00;0.00;10124.81;13384.22
2012;calzado;800196632;2.15;417.71;111.48;0.00;531.33;1927.24;2664.69;0.00;0.00;0.00;2664.69;0.00;203.77;128.43;258.59;0.00;35.25;626.03;2625.13;552.14;0.00;0.00;0.00;0.00;3177.27;13.11;278.82;0.00;291.93;9218.50;143.41;0.00;0.00;0.00;1783.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1926.61;11145.11;17.06;270.05;37.20;0.00;0.00;0.00;0.00;62.55;0.00;285.51;641.15;1026.41;0.00;89.40;0.00;0.00;0.01;5.82;5.83;0.00;1408.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1408.75;500.00;0.00;0.00;0.00;500.00;0.00;250.00;1993.51;0.00;720.36;6272.49;0.00;0.00;9736.36;11145.11
2011;calzado;800196632;9.68;144.89;23.82;0.00;178.38;2947.60;2665.50;0.00;0.00;0.00;2665.50;0.00;128.23;9.94;192.96;0.00;53.60;384.73;2232.00;761.75;0.00;0.00;0.00;0.00;2993.75;5.75;199.98;0.00;205.72;9375.68;143.41;0.00;0.00;0.00;1259.85;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1403.26;10778.93;15.25;502.53;36.78;0.00;0.00;0.00;0.00;74.27;0.00;1.89;269.04;381.99;0.00;55.39;0.00;0.00;15.01;5.30;20.31;0.00;975.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;975.45;500.00;0.00;0.00;0.00;500.00;0.00;250.00;2385.45;0.00;977.56;5690.47;0.00;0.00;9803.48;10778.93
2010;calzado;800196632;0.85;116.12;0.70;0.00;117.67;2764.59;3275.68;0.00;0.00;0.00;3275.68;0.00;157.43;53.26;179.34;0.00;1.37;391.39;1421.68;493.23;0.00;0.00;0.00;0.00;1914.92;4.19;66.90;0.00;71.09;8535.34;143.41;0.00;0.00;0.00;1045.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1188.54;9723.88;11.14;347.02;25.70;0.00;0.00;0.00;0.00;62.24;0.00;1.85;360.98;450.76;0.00;88.63;0.00;0.00;0.13;2.75;2.88;0.00;900.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;900.43;500.00;0.00;0.00;0.00;500.00;0.00;250.00;2532.51;0.00;629.75;4911.19;0.00;0.00;8823.45;9723.88
2009;calzado;800196632;2.99;150.23;114.19;0.00;267.42;2940.29;2830.53;0.00;0.00;0.00;2830.53;0.00;15.99;73.19;191.98;0.00;6.54;287.70;1212.66;217.22;0.00;0.00;0.00;0.00;1429.88;8.39;109.07;0.00;117.46;7873.28;143.41;0.00;0.00;0.00;1073.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1216.97;9090.24;77.13;343.37;27.59;0.00;0.00;0.00;0.00;52.89;0.00;1.99;314.45;396.92;0.00;76.54;0.00;0.00;0.08;2.49;2.56;0.00;896.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;896.53;500.00;0.00;0.00;0.00;500.00;0.00;250.00;2532.51;0.00;376.73;4534.48;0.00;0.00;8193.71;9090.24
2008;calzado;800196632;1.03;778.51;636.55;0.00;1416.10;1661.28;3020.96;0.00;0.00;0.00;3020.96;0.00;14.17;130.82;143.05;0.00;254.81;542.84;914.44;197.55;0.00;0.00;0.00;0.00;1111.99;7.16;0.00;0.00;7.16;7760.33;143.41;0.00;0.00;0.00;837.38;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;980.79;8741.12;4.52;384.65;17.99;0.00;0.00;0.00;0.00;45.51;0.00;1.49;394.82;459.81;0.00;71.57;0.00;0.00;0.00;3.59;3.59;0.00;924.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;924.14;500.00;0.00;0.00;0.00;500.00;0.00;250.00;2532.51;0.00;300.63;4233.84;0.00;0.00;7816.98;8741.12
2007;calzado;800196632;0.98;280.78;128.98;0.00;410.74;2360.09;3202.07;0.00;0.00;0.00;3202.07;0.00;18.76;54.83;172.90;0.00;102.66;349.16;973.20;28.94;0.00;0.00;0.00;0.00;1002.14;6.67;0.00;0.00;6.67;7330.86;143.41;0.00;0.00;0.00;778.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;921.49;8252.36;0.00;242.59;24.20;0.00;0.00;0.00;0.00;29.30;0.00;0.15;367.49;421.13;0.00;67.99;0.00;0.00;0.00;4.30;4.30;0.00;736.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;736.01;500.00;0.00;0.00;0.00;500.00;0.00;250.00;2532.51;0.00;535.27;3698.57;0.00;0.00;7516.35;8252.36
2006;calzado;800196632;0.85;368.66;24.10;0.00;393.61;1889.02;3259.92;0.00;0.00;0.00;3259.92;0.00;8.99;42.54;135.09;0.00;519.31;705.93;1026.42;356.61;0.00;0.00;0.00;0.00;1383.02;6.06;0.00;0.00;6.06;7637.56;143.41;0.00;0.00;0.00;271.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;414.59;8052.15;0.00;667.56;14.33;0.00;0.00;0.00;0.00;5.24;0.00;0.07;342.74;362.38;0.00;35.47;0.00;0.00;3.28;2.49;5.76;0.00;1071.17;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1071.17;500.00;0.00;0.00;0.00;500.00;0.00;198.23;2532.51;0.00;610.38;3139.86;0.00;0.00;6980.98;8052.15
