BALANCE GENERAL;SECTOR;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos, y Contrib,O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD, Y PROVIS,;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA,;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad, y Provis,;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia,;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN, O PARTC, DECRET, EN ACC,O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;calzado;860523238;35.94;64.03;0.00;0.00;99.96;0.00;1126.44;0.00;0.00;0.00;1126.44;0.00;0.00;94.86;0.00;0.00;0.00;94.86;0.00;0.00;0.00;0.00;0.00;184.62;184.62;0.00;0.00;0.00;0.00;1505.88;1377.64;0.00;0.00;0.00;2147.06;0.00;7.99;7.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3532.68;5038.56;383.57;660.77;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;160.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1204.86;844.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;844.01;2048.88;100.00;0.00;0.00;0.00;100.00;256.10;52.45;0.00;0.00;0.00;2581.14;0.00;0.00;2989.69;5038.56
2019;calzado;860523238;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2018;calzado;860523238;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2017;calzado;860523238;0.00;53.87;0.00;0.00;53.87;0.00;1425.86;0.00;0.00;0.00;1425.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;337.98;337.98;0.00;0.00;0.00;0.00;1817.71;1377.64;0.00;0.00;0.00;2228.17;0.00;12.78;12.78;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3618.58;5436.30;297.55;596.25;0.00;0.00;0.00;0.00;0.00;51.94;0.00;0.00;0.00;51.94;240.64;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1186.38;1674.00;0.00;123.82;0.00;0.00;0.00;0.00;0.00;0.00;1797.82;2984.20;100.00;0.00;0.00;0.00;100.00;256.10;52.45;0.00;0.00;0.00;2043.55;0.00;0.00;2452.10;5436.30
2016;calzado;860523238;0.00;125.54;0.00;0.00;125.54;0.00;908.91;0.00;0.00;0.00;908.91;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;304.04;304.04;0.00;0.00;0.00;0.00;1338.49;1377.64;0.00;0.00;0.00;2264.12;0.00;14.38;14.38;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3656.14;4994.63;165.90;559.78;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;135.19;0.00;0.00;0.00;0.00;0.00;0.00;0.00;860.87;1833.27;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1833.27;2694.14;100.00;0.00;0.00;0.00;100.00;256.10;52.45;0.00;0.00;0.00;1891.94;0.00;0.00;2300.49;4994.63
2015;calzado;860523238;9.55;27.90;0.00;0.00;37.45;0.00;645.03;0.00;0.00;0.00;645.03;472.61;50.00;102.17;18.92;0.00;64.19;707.89;86.11;73.37;144.99;0.00;0.00;0.00;304.46;0.00;0.00;0.00;0.00;1694.83;0.00;0.00;0.00;0.00;2479.86;0.00;0.00;27.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2535.50;2535.50;5042.43;6737.27;151.23;283.97;9.19;10.77;0.00;0.00;0.52;4.70;0.00;7.19;0.00;32.36;22.92;33.41;76.32;0.00;8.24;1.03;9.27;0.00;609.48;1924.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1924.16;2533.63;0.00;0.00;0.00;100.00;100.00;0.00;52.45;256.10;0.00;52.41;1207.18;2535.50;0.00;4203.64;6737.27
2014;calzado;860523238;26.84;15.88;0.00;0.00;42.72;0.00;873.46;0.00;0.00;0.00;873.46;364.87;55.71;112.77;18.16;0.00;0.00;551.51;43.05;15.86;250.66;0.00;0.00;0.00;309.57;0.00;0.00;0.00;0.00;1777.26;0.00;0.00;0.00;0.00;576.25;0.00;0.00;1917.69;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2535.50;2535.50;5029.43;6806.69;508.63;573.20;74.38;8.11;5.11;0.00;0.02;5.21;0.00;7.36;0.00;100.20;162.48;43.19;151.43;0.00;24.51;0.44;24.95;0.00;1564.08;1051.82;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1051.82;2615.90;0.00;0.00;0.00;100.00;100.00;0.00;52.45;256.10;0.00;281.23;965.51;2535.50;0.00;4190.79;6806.69
2013;calzado;860523238;7.02;34.73;2.04;0.00;43.79;0.00;556.01;0.00;0.00;0.00;556.01;109.48;27.59;105.28;18.65;0.00;9.74;270.74;42.01;18.85;352.82;0.00;0.00;0.00;413.68;0.00;0.00;0.00;0.00;1284.22;0.00;0.00;0.00;0.00;554.59;0.00;0.00;1827.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2535.50;2535.50;4917.17;6201.39;476.50;335.76;6.12;3.46;0.00;0.00;0.00;4.21;0.00;6.29;0.00;20.09;124.05;39.33;119.11;0.00;2.03;0.27;2.30;0.00;1117.15;1175.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1175.49;2292.64;0.00;0.00;0.00;100.00;100.00;0.00;52.45;256.10;0.00;178.47;786.23;2535.50;0.00;3908.75;6201.39
2012;calzado;860523238;18.26;26.28;2.04;0.00;46.59;0.00;468.19;0.00;0.00;0.00;468.19;111.98;43.16;110.90;20.68;0.00;10.07;296.79;37.41;13.65;58.24;162.93;0.00;0.00;272.23;0.00;0.00;0.00;0.00;1083.80;0.00;0.00;0.00;0.00;529.55;0.00;0.00;1811.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2535.50;2535.50;4876.15;5959.95;511.95;233.86;12.11;2.92;32.56;0.00;0.11;9.00;0.00;5.67;0.00;62.37;95.86;36.13;104.95;0.00;1.41;0.00;1.41;0.00;1046.53;1172.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1172.83;2219.36;0.00;0.00;0.00;100.00;100.00;0.00;52.45;256.10;0.00;308.66;487.88;2535.50;0.00;3740.59;5959.95
2011;calzado;860523238;20.21;6.87;2.04;0.00;29.13;0.00;614.21;0.00;0.00;0.00;614.21;102.94;32.24;139.13;15.47;0.00;809.82;1099.61;34.89;8.71;59.11;0.00;0.00;81.47;184.18;0.00;0.00;0.00;0.00;1927.13;0.00;0.00;0.00;0.00;604.84;0.00;0.00;1011.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1398.84;1398.84;3014.78;4941.91;218.71;358.04;4.96;7.12;0.00;0.00;0.20;8.47;0.00;5.47;0.18;26.40;197.98;51.79;0.00;0.00;7.18;0.00;7.18;0.00;860.10;1625.44;0.00;56.15;0.00;0.00;0.00;0.00;0.00;0.00;1681.59;2541.69;0.00;0.00;0.00;100.00;100.00;0.00;52.45;256.10;0.00;296.09;296.74;1398.84;0.00;2400.22;4941.91
