BALANCE GENERAL;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;900086028;2;87,98;0;-;89,98;0;2.032,06;-;-;0;2.032,06;0;75,33;238,7;-;0;74,88;388,9;-;-;-;-;-;2.918,18;2.918,18;-;-;-;-;5.429,11;0;0;2.353,22;2.353,22;4.883,87;0;0;0;149,31;0;0;0;0;0;-;-;-;7.386,40;12.815,51;684,25;1.759,54;377,91;-;-;-;-;-;0;-;-;377,91;125,09;177,97;0;-;-;98,33;98,33;-;3.223,10;353,54;2.121,87;0;0;0;-;315,79;0;-;2.791,20;6.014,29;6.200,00;0;0;-;6.200,00;1.410,20;55,55;0;-;-;-864,53;-;0;6.801,22;12.815,51
2019;900086028;-;30,32;-;-;30,32;15,88;2.937,02;-;-;-;2.937,02;-;0;263,18;-;0;0;263,18;-;-;-;-;-;2.680,61;2.680,61;-;-;-;-;5.927,01;0;0;2.402,99;2.402,99;4.978,21;0;1,34;1,34;139,72;0;0;0;0;0;-;-;-;7.522,27;13.449,27;499,24;2.620,49;-;-;-;-;-;181,18;0;-;106,68;287,85;201,08;-;-;-;-;-;-;-;3.608,67;335,46;1.988,17;0;0;-;-;327,84;0;-;2.651,47;6.260,13;6.200,00;0;0;-;6.200,00;1.410,20;50,89;0;-;-;-471,95;-;0;7.189,14;13.449,27
2018;900086028;-;54,37;-;-;54,37;0;2.645,05;-;-;-;2.645,05;-;0;245,53;-;0;33,7;279,24;-;-;-;-;-;2.468,32;2.468,32;-;-;-;-;5.446,98;0;0;2.174,48;2.174,48;3.557,45;0;2,6;2,6;74,03;0;0;0;0;0;-;-;-;5.808,56;11.255,54;943,55;1.807,63;-;-;-;-;-;170,63;0;-;85,35;255,98;217,12;-;-;-;-;-;-;-;3.224,28;119,7;2.113,30;0;0;-;-;65,89;0;-;2.298,89;5.523,16;6.200,00;0;0;-;6.200,00;0;50,89;0;-;-;-518,52;-;0;5.732,38;11.255,54
2017;900086028;0;30,71;-;-;30,71;0;2.600,52;-;-;-;2.600,52;0;0;0;-;0;84,45;84,45;-;-;-;-;-;2.592,48;2.592,48;-;-;-;-;5.308,16;0;0;2.334,30;2.334,30;3.711,12;0;0;0;0;0;0;10,3;0;10,3;-;-;-;6.055,72;11.363,89;2.123,57;1.742,25;84,16;-;-;-;-;146,28;0;-;112,82;343,27;243,56;-;-;-;-;-;-;-;4.452,65;0;815;-;0;0;0;133,73;0;-;948,73;5.401,37;6.200,00;0;0;-;6.200,00;0;50,89;0;-;-;-288,38;-;0;5.962,51;11.363,89
2016;900086028;-;309,28;-;-;309,28;0;1.666,33;-;-;-;1.666,33;-;0;658,81;-;0;204,21;863,02;-;-;-;-;-;2.060,40;2.060,40;-;-;-;-;4.899,03;0;0;2.334,50;2.334,50;3.819,67;0;0;0;0;0;0;0;0;0;-;-;-;6.154,17;11.053,20;1.851,77;1.613,40;-;-;-;-;-;133,1;0;-;80,88;213,98;406,95;-;-;-;-;-;-;-;4.086,11;0;747,94;0;0;-;-;125,13;0;-;873,07;4.959,17;6.200,00;0;0;-;6.200,00;0;20,09;0;-;-;-126,07;-;0;6.094,02;11.053,20
2015;900086028;0;63,72;0;0;63,72;0,54;1.332,71;0;0;0;1.332,71;22,48;33,84;531,05;14,43;-;138,74;740,54;528,77;241,46;1.308,23;0;0;0;2.078,46;0;0;0;0;4.215,97;0;-;-;2.716,34;2.820,53;-;-;0;148,1;-;-;-;-;0;0;0;0;5.684,98;9.900,95;1.341,43;1.041,61;70,91;12,76;364;5,97;0,18;13,33;-;131,7;124,85;723,69;142,35;133,02;5,73;0;538,68;0;538,68;0;3.926,51;0;868,79;0;0;0;0;0;0;0;868,79;4.795,30;6.200,00;-;-;0;6.200,00;0;20,09;0;0;-435,37;-679,07;0;-;5.105,65;9.900,95
2014;900086028;0;117,7;0;0;117,7;0;1.095,20;0;0;0;1.095,20;22,48;17,02;477,82;11,29;-;106,04;634,65;511,01;55,45;1.251,03;0;0;0;1.817,49;0;0;0;0;3.665,04;0;-;-;2.494,59;3.086,27;-;-;0;24,03;-;-;-;-;0;0;0;0;5.604,88;9.269,92;1.035,48;1.085,86;91,39;8,76;64;6;0,23;12,71;-;91,25;84,79;359,12;176,84;104,33;4,07;0;5,42;0;5,42;0;2.771,13;0;957,78;0;0;0;0;0;0;0;957,78;3.728,90;6.200,00;-;-;0;6.200,00;0;20,09;0;0;63,57;-742,64;0;-;5.541,02;9.269,92
2013;900086028;0;57,89;0;0;57,89;0;972,9;2.221,58;0;0;3.194,48;22,48;26,21;367,28;9,88;-;123,58;549,43;348,79;47,92;925,35;0;0;0;1.322,05;40,29;0;0;40,29;5.164,13;0;-;-;117,27;3.140,39;-;-;0;0;-;-;-;-;0;0;0;0;3.257,66;8.421,79;772,8;1.542,43;62,96;4,47;64;2,64;0,15;6,59;-;14,31;86,06;241,17;109,8;89,98;3,54;0;3,42;0;3,42;0;2.763,15;181,2;0;0;0;0;0;0;0;0;181,2;2.944,35;6.200,00;-;-;0;6.200,00;0;20,09;0;0;-383,72;-358,92;0;-;5.477,44;8.421,79
2012;900086028;0;64,53;0;0;64,53;0;1.461,26;2.170,67;0;0;3.631,92;10,58;45,35;405,64;9;-;142,4;612,97;355,18;29,9;732,83;0;0;0;1.117,90;6,23;0;0;6,23;5.433,56;0;-;-;117,27;3.284,34;-;-;0,23;0;-;-;-;-;0;0;0;0;3.401,84;8.835,40;707,29;1.613,52;108,63;11,87;0;0;0,27;18,79;-;28,9;96,45;264,91;109,31;83,36;3,29;0;11,36;0;11,36;0;2.793,03;181,2;0;0;0;0;0;0;0;0;181,2;2.974,23;6.200,00;-;-;0;6.200,00;0;20,09;0;0;58,24;-417,16;0;-;5.861,16;8.835,40
2011;900086028;2,01;30,78;0;0;32,8;0;1.185,07;2.319,91;0;0;3.504,98;53,63;109,34;425,16;10,69;-;105,46;704,27;316,85;30,37;507,34;0;0;0;854,56;6,86;0,09;0;6,95;5.103,55;0;-;-;119,85;3.523,12;-;-;3,94;0;-;-;-;-;0;0;0;0;3.646,91;8.750,46;958,56;1.476,47;230,08;4,14;0;1,32;0,1;12,89;-;14,89;15,69;279,1;133,26;69,64;22,86;0;7,64;0;7,64;0;2.947,53;0;0;0;0;0;0;0;0;0;0;2.947,53;6.200,00;-;-;0;6.200,00;0;20,09;0;0;-475,27;58,11;0;-;5.802,93;8.750,46
