BALANCE GENERAL;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;890924742;604,33;0;0;-;604,33;0;6.955,70;-;-;0;6.955,70;0;45,31;935,57;-;0;1.515,98;2.496,87;-;-;-;-;-;3.229,11;3.229,11;-;-;-;-;13.286,01;0;0;0;0;5.056,68;0;0;0;75,84;0;0;0;0;0;-;-;-;5.132,52;18.418,52;1.398,42;7.429,86;1.398,42;-;-;-;-;-;0;-;-;1.398,42;803,22;0;0;-;-;1.404,26;1.404,26;-;12.434,16;0;0;0;0;0;-;286,38;0;-;286,38;12.720,55;500;0;0;-;500;0;4.581,48;0;-;-;616,49;-;0;5.697,98;18.418,52
2019;890924742;-;1.619,14;-;-;1.619,14;28,82;11.179,40;-;-;-;11.179,40;-;0;0;-;0;0;0;-;-;-;-;-;3.960,31;3.960,31;-;-;-;-;16.787,67;14,57;0;0;0;4.673,58;0;0;0;0,28;0;0;0;0;0;-;-;-;4.688,43;21.476,10;5.014,10;9.826,70;-;-;-;-;-;0;0;-;349,6;349,6;484,16;-;-;-;-;-;-;-;15.674,55;0;0;0;0;-;-;0;0;-;0;15.674,55;500;0;0;-;500;0;250;4.322,71;-;-;728,85;-;0;5.801,56;21.476,10
2018;890924742;-;60,54;-;-;60,54;29,28;15.900,50;-;-;-;15.900,50;-;0;0;-;0;0;0;-;-;-;-;-;3.413,29;3.413,29;-;-;-;-;19.403,61;3,67;0;0;0;5.260,88;0;0;0;4,99;0;0;0;0;0;-;-;-;5.269,54;24.673,15;5.690,82;11.224,10;-;-;-;-;-;0;0;-;553,24;553,24;2.987,80;-;-;-;-;-;-;-;20.455,97;0;0;0;0;-;-;0;0;-;0;20.455,97;500;0;0;-;500;1.334,10;250;0;-;-;2.133,08;-;0;4.217,18;24.673,15
2017;890924742;0;173,22;-;-;173,22;0;9.331,80;-;-;-;9.331,80;0;35,74;1.445,97;-;0;0;1.481,71;-;-;-;-;-;4.047,17;4.047,17;-;-;-;-;15.033,89;0;0;0;0;5.144,12;0;0;0;0;0;0;5,91;0;5,91;-;-;-;5.150,03;20.183,93;3.615,97;11.913,95;623,33;-;-;-;-;0;0;-;0;623,33;1.920,88;-;-;-;-;-;-;-;18.074,12;0;0;-;0;0;0;0;0;-;0;18.074,12;500;0;0;-;500;1.334,10;250;0;-;-;25,7;-;0;2.109,80;20.183,93
2016;890924742;-;210,81;-;-;210,81;0;10.102,48;-;-;-;10.102,48;-;0;1.849,72;-;0;36,51;1.886,23;-;-;-;-;-;3.942,19;3.942,19;-;-;-;-;16.141,71;2,55;0;0;0;5.323,37;0;0;0;0;0;0;0;0;0;-;-;-;5.325,93;21.467,64;4.423,20;10.660,13;-;-;-;-;-;0;0;-;589,4;589,4;2.715,69;-;-;-;-;-;-;-;18.388,42;0;0;0;0;-;-;0;0;-;0;18.388,42;500;0;0;-;500;1.334,10;250;0;-;-;995,11;-;0;3.079,22;21.467,64
2015;890924742;0;0;0,29;0;0,29;0;8.236,51;0;0;0;8.236,51;0;18,75;1.412,07;53,72;-;62,62;1.547,16;7.129,75;232,55;125,12;0;0;27,3;7.514,73;34,89;0;0;34,89;17.333,58;0;-;-;0;4.340,54;-;-;0;1.641,45;-;-;-;-;0;0;0;0;5.981,99;23.315,57;5.419,86;11.068,69;296,45;35,47;211,04;33,42;1,78;56;-;44,93;152,11;831,19;1.069,09;219,95;0;0;488,83;0;488,83;0;19.097,61;0;0;0;0;0;0;0;0;0;0;19.097,61;500;-;-;0;500;0;250;1.334,10;0;-372,71;2.506,57;0;-;4.217,96;23.315,57
2014;890924742;0;1.324,56;0,28;0;1.324,84;0;9.661,88;0;0;0;9.661,88;81,56;341,29;1.347,17;64,28;-;57,16;1.891,45;2.398,00;449,93;186,32;0;0;0;3.034,24;20,82;0;0;20,82;15.933,23;0;-;-;0;3.722,14;-;-;0;81,98;-;-;-;-;0;0;0;0;3.804,12;19.737,35;4.142,35;9.014,34;330,22;43,69;0;45,6;2,22;39,91;-;50,33;152,11;664,08;1.103,80;217,5;0;0;4,61;0;4,61;0;15.146,68;0;0;0;0;0;0;0;0;0;0;15.146,68;500;-;-;0;500;0;250;1.334,10;0;145,6;2.360,97;0;-;4.590,67;19.737,35
2013;890924742;0;622,63;0,28;0;622,91;0;8.253,30;0;0;0;8.253,30;11,69;249,77;1.406,77;29,91;-;43,49;1.741,62;2.237,94;227,41;225,74;0;0;0;2.691,09;23,5;0;0;23,5;13.332,42;0;-;-;0;3.333,77;-;-;0;89,61;-;-;-;-;0;0;106,43;106,43;3.529,81;16.862,23;4.006,70;6.008,62;181,83;36,6;0;12,52;1,3;46,37;-;41,54;0,8;320,96;875,02;101,48;0;0;713,1;0;713,1;0;12.025,88;0;0;0;0;0;0;0;0;0;0;12.025,88;0;-;-;500;500;0;250;1.334,10;0;284,85;2.360,97;106,43;-;4.836,35;16.862,23
2012;890924742;0;234,19;0,28;0;234,47;0;8.587,21;0;0;2,06;8.585,15;0;273,38;1.164,45;36,79;-;13,23;1.487,85;2.621,12;262,51;258,78;0;0;0;3.142,41;0;0;0;0;13.449,88;0;-;-;0;1.965,84;-;-;0;114,32;-;-;-;-;0;0;51,91;51,91;2.132,07;15.581,94;4.092,49;5.898,12;201,96;50,86;38,37;65,74;1,44;67,15;-;39,15;103,8;568,47;246,68;227,61;0;0;47,89;0;47,89;0;11.081,24;0;0;0;0;0;0;0;0;0;0;11.081,24;0;-;-;500;500;0;250;1.334,10;0;252,2;2.112,49;51,91;-;4.500,70;15.581,94
2011;890924742;0;140,21;0,28;0;140,49;0;8.454,66;0;0;7,53;8.447,13;0;382,41;1.179,90;32,85;-;10,23;1.605,39;1.794,00;214,52;219,2;0;0;0;2.227,71;0;0;0;0;12.420,72;0;-;-;0;1.125,66;-;-;0;91,57;-;-;-;-;0;0;51,91;51,91;1.269,14;13.689,86;2.339,61;5.595,85;172,49;47,75;367,74;63,74;1,6;80,69;-;36,71;103,8;874,51;346,65;250,39;0;0;4,39;0;4,39;0;9.411,39;0;0;0;0;0;0;0;0;0;0;9.411,39;0;-;-;500;500;0;200;1.364,07;0;376,71;1.785,78;51,91;-;4.278,47;13.689,86
