BALANCE GENERAL;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;900436389;0.02;36.49;0;0;36.51;0;2.961.45;0;0;0;2.961.45;0;0;105.36;0;0;0;105.36;0;0;0;0;0;6.121.04;6.121.04;0;0;0;0;9.224.35;0;0;0;0;1.814.39;0;28.63;28.63;36.82;0;0;0;0;0;0;0;0;1.879.83;11.104.18;360.48;6.562.39;0;0;0;0;0;0;0;0;0;0;355.98;80.98;0;0;0;2.180.21;2.180.21;0;9.540.03;0;0;0;0;0;0;0;0;0;0;9.540.03;200;0;0;0;200;240.24;10.47;0;0;0;1.113.44;0;0;1.564.15;11.104.18
2019;900436389;0;46.32;0;0;46.32;0;1.972.28;0;0;0;1.972.28;0;0;534.89;0;0;0;534.89;0;0;0;0;0;5.643.49;5.643.49;0;0;0;0;8.196.98;8.74;0;0;0;1.892.31;0;28.63;28.63;32.13;0;0;0;0;0;0;0;0;1.961.81;10.158.79;162.72;6.586.85;0;0;0;0;0;52.27;0;0;0;52.27;123.1;0;0;0;0;0;0;0;6.924.93;0;1.821.82;0;0;0;0;3.87;0;0;1.825.69;8.750.62;200;0;0;0;200;0;0;0;0;0;1.208.17;0;0;1.408.17;10.158.79
2018;900436389;0;107.99;0;0;107.99;0;1.006.84;0;0;0;1.006.84;0;0;875.01;0;0;0;875.01;0;0;0;0;0;4.132.14;4.132.14;0;0;0;0;6.121.98;0;0;0;0;1.935.12;0;36.16;36.16;32.57;0;0;0;0;0;0;0;0;2.003.86;8.125.84;84.14;3.622.73;0;0;0;0;0;43.98;0;0;0;43.98;204.46;0;0;0;0;0;0;0;3.955.32;0;2.743.86;0;0;0;0;1.26;0;0;2.745.12;6.700.43;200;0;0;0;200;0;0;0;0;0;1.225.41;0;0;1.425.41;8.125.84
2017;900436389;0;120.79;0;0;120.79;0;3.357.10;0;0;0;3.357.10;0;0;0;0;0;0;0;0;0;0;0;0;4.205.41;4.205.41;0;0;0;0;7.683.30;0;0;0;0;1.868.94;0;10.95;10.95;0;0;0;13.64;0;13.64;0;0;0;1.893.53;9.576.83;43.18;1.686.83;0;0;0;0;0;41.17;0.37;0;0;41.55;0;0;0;0;0;0;0;0;1.771.56;0;2.015.08;0;0;0;0;0;4.548.85;0;6.563.93;8.335.49;200;0;0;0;200;71.1;0;171.3;0;0;798.96;0;0;1.241.35;9.576.83
2016;900436389;0;208.85;0;0;208.85;0;1.049.99;0;0;0;1.049.99;0;0;0;0;0;0;0;0;0;0;0;0;2.372.71;2.372.71;0;0;0;0;3.631.55;0;0;0;0;1.406.53;0;10.95;10.95;0;0;0;0;0;0;0;0;0;1.417.49;5.049.03;162.5;2.408.99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.571.49;0;1.444.75;0;0;0;0;0;0;0;1.444.75;4.016.23;50;0;0;0;50;71.1;0;171.3;0;0;740.41;0;0;1.032.80;5.049.03
2015;900436389;0.38;151.59;3.03;0;155;0;2.799.06;0;0;80.97;2.718.09;15.4;147.41;216.7;0;0;336.06;715.58;241.98;0;106.79;0;0;0;348.77;0;0;0;0;3.937.42;0;0;0;0;161.44;0;0;5.94;5.79;0;0;0;0;0;0;0;0;173.17;4.110.59;140.96;301.52;618.26;8.24;157.75;0.46;0.5;15.04;0;94.06;0;894.31;204.09;26.32;15.78;98.89;0;843.66;843.66;0;2.525.53;447.69;0;0;0;0;501.31;0;0;0;949;3.474.52;50;0;0;0;50;0;0;171.3;0;374.72;0;40.05;0;636.07;4.110.59
2014;900436389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;900436389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;900436389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;900436389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
