BALANCE GENERAL;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;800159903;23,51;18,5;0;-;42,01;0;4.362,20;-;-;0;4.362,20;0;0;327,97;-;0;1.149,27;1.477,24;-;-;-;-;-;7.877,95;7.877,95;-;-;-;-;13.759,39;0;0;0;0;3.749,55;0;0;0;0;0;1.327,87;0;0;1.327,87;-;-;-;5.077,42;18.836,81;2.771,45;2.740,04;225;-;-;-;-;-;0;-;-;225;569,97;0;0;-;-;97,38;97,38;-;6.403,84;5.955,07;0;0;0;0;-;448,43;0;-;6.403,50;12.807,34;1.725,00;0;0;-;1.725,00;0;849,88;0;-;-;3.454,59;-;0;6.029,47;18.836,81
2019;800159903;-;146,74;-;-;146,74;0;4.256,19;-;-;-;4.256,19;-;0;240,83;-;0;799,49;1.040,32;-;-;-;-;-;8.948,39;8.948,39;-;-;-;-;14.391,64;1.327,87;0;0;0;3.582,88;0;0;0;0;0;0;0;0;0;-;-;-;4.910,75;19.302,39;3.195,44;4.513,76;-;-;-;-;-;0;0;-;382,63;382,63;467,31;-;-;-;-;-;-;-;8.559,14;4.545,84;0;0;0;-;-;541,87;0;-;5.087,71;13.646,85;1.725,00;0;0;-;1.725,00;0;819,45;0;-;-;3.111,09;-;0;5.655,54;19.302,39
2018;800159903;-;54,42;-;-;54,42;0;4.059,90;-;-;-;4.059,90;-;0;703,22;-;0;513,56;1.216,78;-;-;-;-;-;8.231,08;8.231,08;-;-;-;-;13.562,18;1.327,87;0;0;0;3.477,97;0;0;0;0;0;0;0;0;0;-;-;-;4.805,84;18.368,02;1.168,00;4.800,69;-;-;-;-;-;0;0;-;385,56;385,56;1.039,16;-;-;-;-;-;-;-;7.393,41;5.105,11;0;0;0;-;-;541,87;0;-;5.646,98;13.040,39;1.725,00;0;0;-;1.725,00;0;738,16;0;-;-;2.864,47;-;0;5.327,63;18.368,02
2017;800159903;8,68;91,03;-;-;99,7;0;3.183,77;-;-;-;3.183,77;0;961,76;147,35;-;0;0;1.109,11;-;-;-;-;-;8.185,62;8.185,62;-;-;-;-;12.578,19;0;0;0;0;3.614,33;0;0;0;0;0;0;27,87;0;27,87;-;-;-;3.642,20;16.220,39;5.369,76;5.467,82;198,64;-;-;-;-;0;0;-;0;198,64;177,89;-;-;-;-;-;-;-;11.214,11;0;0;-;0;0;0;541,87;0;-;541,87;11.755,98;1.725,00;0;0;-;1.725,00;0;651,84;0;-;-;2.087,57;-;0;4.464,41;16.220,39
2016;800159903;-;52,44;-;-;52,44;0;3.647,21;-;-;-;3.647,21;-;0;91,95;-;0;192,31;284,26;-;-;-;-;-;7.360,35;7.360,35;-;-;-;-;11.344,25;26,25;0;0;0;3.461,09;0;0;0;0;0;0;0;0;0;-;-;-;3.487,34;14.831,59;4.742,16;4.810,84;-;-;-;-;-;0;0;-;507,14;507,14;421,98;-;-;-;-;-;-;-;10.482,13;0;0;0;0;-;-;468,41;0;-;468,41;10.950,54;1.725,00;0;0;-;1.725,00;0;614,88;0;-;-;1.541,16;-;0;3.881,05;14.831,59
2015;800159903;2;76,96;0;0;78,96;54,73;3.941,04;0;0;0;3.941,04;426,9;109,5;575,59;11,79;-;659,56;1.783,35;3.882,07;0;1.253,78;1.015,81;0;0;6.151,66;0;0;0;0;12.009,74;0;-;-;0;1.256,12;-;-;1.245,65;0;-;-;-;-;0;0;0;0;2.501,77;14.511,51;1.684,73;4.577,54;0;0;0;0;0;3,87;-;12,53;0;16,4;0;97,81;0;0;166,56;0;166,56;0;6.543,04;4.530,44;0;0;0;0;0;0;0;0;4.530,44;11.073,48;0;-;-;225;225;0;561,55;0;0;431,72;2.066,97;152,79;-;3.438,03;14.511,51
2014;800159903;110,92;127,84;0;0;238,76;75,12;3.797,04;0;0;0;3.797,04;667,75;87,69;409,43;19,13;-;459,29;1.643,29;2.421,73;0;2.206,84;853,21;0;0;5.481,78;0;0;0;0;11.235,99;0;-;-;0;1.081,42;-;-;1.445,39;0;-;-;-;-;0;0;0;0;2.526,82;13.762,80;1.318,63;4.790,09;0;0;0;0;0;3,33;-;10,48;0;13,81;57,24;86,47;0;0;513,13;0;513,13;0;6.779,36;3.420,01;0;0;0;0;0;0;0;0;3.420,01;10.199,37;0;-;-;225;225;0;518,45;0;0;980,55;1.679,08;160,35;-;3.563,43;13.762,80
2013;800159903;29,92;21,25;0;0;51,16;94,25;2.397,30;0;0;0;2.397,30;1.033,79;362,23;427,86;11,32;-;788,82;2.624,01;3.600,10;0;0;540,69;0;0;4.140,79;0;0;0;0;9.307,51;0;-;-;0;1.042,01;-;-;347,01;0;-;-;-;-;0;0;0;0;1.389,01;10.696,52;1.506,27;3.160,98;131,14;0;0;0;0;2,31;-;7,02;0;140,47;216,05;66,04;0;0;504,64;0;504,64;0;5.594,45;1.635,95;0;0;0;0;0;0;0;0;1.635,95;7.230,40;0;-;-;225;225;0;469,48;160,35;0;945,99;1.665,31;0;-;3.466,12;10.696,52
2012;800159903;67,34;26,42;0;0;93,76;76,13;2.355,66;0;0;0;2.355,66;407,13;389,65;487,57;10,31;-;918,61;2.213,28;1.464,00;0;899,89;265,16;0;0;2.629,05;0;0;0;0;7.367,87;0;-;-;0;956,09;-;-;469,18;0;-;-;-;-;0;0;0;0;1.425,27;8.793,14;1.120,78;2.549,99;68,82;0;0;0;0;3,6;-;5,62;0;78,04;50,44;51,23;0;0;275,23;0;275,23;0;4.125,72;1.730,45;0;0;0;0;0;0;0;0;1.730,45;5.856,16;0;-;-;225;225;0;414,14;160,35;0;594,42;1.543,08;0;-;2.936,98;8.793,14
2011;800159903;127;194,45;0;0;321,45;55,64;1.705,77;0;0;0;1.705,77;372,99;54,91;184,41;0;-;439,66;1.051,96;1.033,20;0;766,56;294,65;0;0;2.094,41;0;0;0;0;5.229,22;0;-;-;0;988,64;-;-;427,97;0;-;-;-;-;0;0;0;0;1.416,61;6.645,83;802,19;1.810,75;45,85;0;0;0;0;2,05;-;3,23;0;51,13;57,95;26,43;0;0;351;0;351;0;3.099,45;1.203,83;0;0;0;0;0;0;0;0;1.203,83;4.303,27;0;-;-;225;225;0;351,01;160,35;0;313,91;1.292,30;0;-;2.342,56;6.645,83
