BALANCE GENERAL;sector;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;confeccion;800256322;1.88;202.84;0.00;0.00;204.72;8.40;953.62;0.00;0.00;0.00;953.62;0.00;150.24;120.45;0.00;0.00;24.00;294.69;0.00;0.00;0.00;0.00;0.00;1638.08;1638.08;0.00;0.00;0.00;0.00;3099.51;0.00;0.00;934.57;934.57;4403.23;0.00;0.00;0.00;11.54;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5349.34;8448.85;0.00;412.83;274.07;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;274.07;219.70;125.60;0.00;0.00;0.00;0.00;0.00;0.00;1032.20;1110.40;0.00;0.00;0.00;0.00;0.00;254.01;18.83;0.00;1383.24;2415.43;618.00;0.00;0.00;0.00;618.00;1797.08;245.74;0.00;0.00;0.00;3372.60;0.00;0.00;6033.42;8448.85
2019;confeccion;800256322;0.00;267.10;0.00;0.00;267.10;0.00;1082.50;0.00;0.00;0.00;1082.50;0.00;0.00;263.29;0.00;0.00;22.80;286.08;0.00;0.00;0.00;0.00;0.00;1235.03;1235.03;0.00;0.00;0.00;0.00;2870.71;0.05;0.00;1038.62;1038.62;4438.83;0.00;0.00;0.00;4.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5481.93;8352.64;0.00;1079.88;0.00;0.00;0.00;0.00;0.00;114.26;0.00;0.00;0.00;114.26;89.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1283.24;625.25;0.00;0.00;0.00;0.00;0.00;287.66;9.00;0.00;921.91;2205.15;618.00;0.00;0.00;0.00;618.00;1797.08;245.74;0.00;0.00;0.00;3486.67;0.00;0.00;6147.49;8352.64
2018;confeccion;800256322;0.00;196.60;0.00;0.00;196.60;130.74;774.47;0.00;0.00;0.00;774.47;0.00;0.00;160.91;0.00;0.00;0.00;160.91;0.00;0.00;0.00;0.00;0.00;1094.16;1094.16;0.00;0.00;0.00;0.00;2356.88;0.00;0.00;399.62;399.62;5529.69;0.00;0.00;0.00;74.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6003.86;8360.74;0.00;958.28;0.00;0.00;0.00;0.00;0.00;107.12;0.00;0.00;0.00;107.12;80.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1145.48;581.06;0.00;0.00;0.00;0.00;0.00;302.65;4.64;0.00;888.35;2033.84;618.00;0.00;0.00;0.00;618.00;1797.08;245.74;0.00;0.00;0.00;3666.08;0.00;0.00;6326.90;8360.74
2017;confeccion;800256322;12.44;260.11;0.00;0.00;272.55;254.59;1161.89;0.00;0.00;0.00;1161.89;0.00;0.00;162.87;0.00;0.00;132.00;294.87;0.00;0.00;0.00;0.00;0.00;985.28;985.28;0.00;0.00;0.00;0.00;2969.17;0.00;0.00;805.39;805.39;5399.73;0.00;0.00;0.00;46.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6251.40;9220.58;0.00;1055.53;14.09;0.00;0.00;0.00;0.00;90.45;0.00;0.00;0.00;104.54;282.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1442.29;861.38;0.00;0.00;0.00;0.00;0.00;339.96;0.00;0.00;1201.34;2643.62;618.00;0.00;0.00;0.00;618.00;1797.08;234.15;0.00;0.00;0.00;3927.73;0.00;0.00;6576.95;9220.58
2016;confeccion;800256322;0.00;586.78;0.00;0.00;586.78;116.87;1287.72;0.00;0.00;0.00;1287.72;0.00;0.00;173.54;0.00;0.00;11.63;185.17;0.00;0.00;0.00;0.00;0.00;1154.36;1154.36;0.00;0.00;0.00;0.00;3330.89;0.00;0.00;1809.63;1809.63;4648.15;0.00;0.00;0.00;60.77;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6518.55;9849.44;0.00;1157.99;0.00;0.00;0.00;0.00;0.00;95.71;0.00;0.00;12.89;108.60;216.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1482.65;1389.57;0.00;0.00;0.00;0.00;0.00;364.42;0.00;0.00;1753.99;3236.63;618.00;0.00;0.00;0.00;618.00;1797.08;212.59;0.00;0.00;0.00;3985.14;0.00;0.00;6612.81;9849.44
2015;confeccion;800256322;4.30;389.71;879.28;3.16;1276.45;398.26;1678.26;0.00;0.00;216.15;1462.10;1115.11;5.28;174.30;6.55;0.00;19.01;1320.25;230.93;113.62;30.03;0.00;0.00;0.00;374.58;0.00;0.00;0.00;0.00;4831.63;0.00;0.00;0.00;0.00;1361.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2421.71;2421.71;3783.70;8615.32;0.00;519.98;36.78;10.55;0.00;0.34;0.00;14.87;0.00;131.51;0.00;194.05;383.40;92.53;0.00;0.00;2.91;0.00;2.91;0.00;1192.86;1322.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1322.29;2515.15;618.00;0.00;0.00;0.00;618.00;1797.08;172.00;301.57;0.00;438.24;351.58;2421.71;0.00;6100.17;8615.32
2014;confeccion;800256322;9.89;312.32;466.00;3.16;791.37;0.00;1608.75;0.00;0.00;153.47;1455.29;508.24;14.19;150.05;34.00;0.00;0.00;706.47;420.00;34.54;21.69;0.00;0.00;0.00;476.24;0.00;0.00;0.00;0.00;3429.37;474.84;0.00;0.00;0.00;1177.66;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1812.24;1812.24;3464.74;6894.10;0.00;587.10;82.92;10.31;0.00;0.61;0.00;23.63;0.00;129.63;0.00;247.10;250.25;90.86;0.00;0.00;14.54;0.00;14.54;0.00;1189.85;651.78;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;651.78;1841.64;618.00;0.00;0.00;0.00;618.00;1797.08;146.42;301.57;0.00;255.72;121.43;1812.24;0.00;5052.46;6894.10
2013;confeccion;800256322;1.79;340.56;624.86;3.16;970.37;0.00;1997.86;0.00;0.00;128.86;1869.00;416.79;8.66;133.99;45.50;0.00;47.62;652.56;241.19;64.47;22.08;0.00;0.00;0.00;327.74;11.24;0.00;0.00;11.24;3830.91;145.51;0.00;0.00;0.00;1216.95;0.00;0.00;14.98;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1812.24;1812.24;3189.68;7020.59;0.00;877.70;65.96;8.04;0.00;2.53;0.00;43.52;0.00;0.00;0.00;120.05;257.25;96.71;0.00;0.00;0.32;0.00;0.32;0.00;1352.04;736.91;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;736.91;2088.94;618.00;0.00;0.00;0.00;618.00;1797.08;128.67;301.57;0.00;232.67;41.42;1812.24;0.00;4931.65;7020.59
2012;confeccion;800256322;0.90;953.81;186.61;45.31;1186.63;0.00;1642.07;0.00;0.00;112.06;1530.02;168.53;20.11;168.24;5.39;0.00;50.74;413.01;147.66;84.86;76.22;0.00;0.00;83.45;392.19;1.86;0.00;0.00;1.86;3523.70;74.92;0.00;0.00;0.00;1251.57;0.00;0.00;30.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1812.24;1812.24;3168.97;6692.67;0.00;801.90;110.20;2.55;0.00;4.58;0.00;56.04;0.00;0.00;0.00;173.36;268.00;92.23;0.00;0.00;1.96;0.00;1.96;0.00;1337.45;556.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;556.25;1893.70;618.00;0.00;0.00;0.00;618.00;1797.08;122.32;301.57;0.00;63.53;84.25;1812.24;0.00;4798.98;6692.67
2011;confeccion;800256322;1.17;11.61;35.92;6.75;55.45;64.83;1505.44;0.00;0.00;20.48;1484.96;184.57;0.57;123.75;8.52;0.00;4.00;321.40;438.74;80.77;665.71;26.66;0.00;23.09;1234.97;0.00;0.00;0.00;0.00;3161.61;0.00;0.00;0.00;0.00;1295.48;0.00;0.00;1.29;336.17;0.00;0.00;0.00;0.00;0.00;0.00;1812.24;1812.24;3445.18;6606.79;888.33;676.80;63.48;5.18;0.00;7.98;0.00;0.00;0.00;0.00;0.00;76.63;51.97;94.28;0.00;0.00;0.20;0.00;0.20;0.00;1788.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1788.21;618.00;0.00;0.00;0.00;618.00;1797.08;110.40;301.57;0.00;119.20;60.09;1812.24;0.00;4818.58;6606.79
