BALANCE GENERAL;SECTOR;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos. y Contrib.O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA.;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad. y Provis.;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia.;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;CONFECCION;805009200;5,45;471,61;0,00;0,00;477,06;49,21;14854,41;0,00;0,00;0,00;14854,41;0,00;19,93;4299,90;0,00;0,00;0,00;4319,83;0,00;0,00;0,00;0,00;0,00;8641,50;8641,50;0,00;0,00;0,00;0,00;28342,00;0,00;0,00;37,20;37,20;3263,25;0,00;0,00;0,00;197,16;0,00;0,00;63,83;0,00;63,83;0,00;0,00;0,00;3561,44;31903,45;2966,11;5317,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4465,03;303,97;0,00;0,00;0,00;3473,78;3473,78;0,00;16526,43;3435,98;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3435,98;19962,40;1712,88;242,56;0,00;0,00;1955,44;330,74;198,18;0,00;0,00;0,00;9456,68;0,00;0,00;11941,04;31903,45
2019;CONFECCION;805009200;0,00;230,24;0,00;0,00;230,24;0,00;3645,89;0,00;0,00;0,00;3645,89;0,00;0,00;299,89;0,00;0,00;40,11;340,00;0,00;0,00;0,00;0,00;0,00;1929,02;1929,02;0,00;0,00;0,00;0,00;6145,15;63,83;0,00;3,18;3,18;1138,66;646,00;0,00;646,00;63,62;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1915,29;8060,45;1058,41;1597,52;0,00;0,00;0,00;0,00;0,00;237,06;0,00;0,00;4,62;241,68;491,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3389,25;1455,37;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1455,37;4844,62;1712,88;242,56;0,00;0,00;1955,44;330,74;150,35;0,00;0,00;0,00;779,29;0,00;0,00;3215,83;8060,45
2018;CONFECCION;805009200;0,00;535,99;0,00;0,00;535,99;0,00;2582,02;0,00;0,00;0,00;2582,02;0,00;0,00;262,42;0,00;0,00;125,36;387,78;0,00;0,00;0,00;0,00;0,00;1084,39;1084,39;0,00;0,00;0,00;0,00;4590,18;0,00;0,00;3,18;3,18;1089,79;0,00;0,00;0,00;63,83;0,00;0,00;63,62;0,00;63,62;0,00;0,00;0,00;1220,42;5810,60;1230,59;932,26;0,00;0,00;0,00;0,00;0,00;217,54;0,00;0,00;29,12;246,66;360,72;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2770,23;785,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;785,08;3555,31;1300,00;0,00;0,00;0,00;1300,00;0,00;150,35;0,00;0,00;0,00;804,94;0,00;0,00;2255,29;5810,60
2017;CONFECCION;805009200;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2016;CONFECCION;805009200;0,00;70,85;0,00;0,00;70,85;0,00;2838,87;0,00;0,00;0,00;2838,87;0,00;0,00;252,33;0,00;0,00;89,84;342,17;0,00;0,00;0,00;0,00;0,00;1009,40;1009,40;0,00;0,00;0,00;0,00;4261,29;63,62;0,00;162,35;162,35;1140,02;0,00;9,64;9,64;205,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1580,65;5841,94;859,95;1506,19;0,00;0,00;0,00;0,00;0,00;174,21;0,00;0,00;0,00;174,21;164,84;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2705,19;1048,52;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1048,52;3753,71;1300,00;0,00;0,00;0,00;1300,00;0,00;138,48;0,00;0,00;0,00;649,75;0,00;0,00;2088,23;5841,94
2015;CONFECCION;805009200;2,30;196,03;2,78;0,00;201,11;0,00;2079,47;0,00;0,00;0,00;2079,47;0,00;115,90;226,70;1,33;0,00;20,07;364,00;509,95;255,40;373,20;22,21;2,01;125,66;1288,42;0,00;0,00;0,00;0,00;3933,00;223,95;0,00;0,00;384,56;123,27;0,00;0,00;3,95;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;735,72;4668,72;1136,65;1308,92;221,55;4,64;1,02;0,74;3,25;13,75;0,00;0,00;59,42;304,36;214,46;122,72;0,00;0,00;0,23;0,00;0,23;0,00;3087,33;0,00;0,00;14,49;0,00;0,00;0,00;0,00;0,00;0,00;14,49;3101,82;1300,00;0,00;0,00;0,00;1300,00;0,00;132,44;72,99;0,00;60,66;0,82;0,00;0,00;1566,90;4668,72
2014;CONFECCION;805009200;3,37;124,36;1,45;0,00;129,17;222,83;2054,36;0,00;0,00;0,00;2054,36;0,00;343,42;187,33;1,51;0,00;26,63;558,89;439,82;114,43;316,37;43,19;2,46;149,48;1065,75;17,31;0,00;0,00;17,31;4048,31;1,08;0,00;0,00;782,95;80,09;0,00;0,00;819,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1684,02;5732,32;1884,35;1246,27;202,86;6,48;1,02;0,96;3,22;10,56;0,00;0,00;21,35;246,45;246,59;114,55;0,00;0,00;30,51;0,00;30,51;0,00;3768,72;0,00;0,00;223,24;0,00;0,00;0,00;0,00;0,00;0,00;223,24;3991,95;1300,00;0,00;0,00;0,00;1300,00;0,00;111,60;72,99;0,00;185,93;69,86;0,00;0,00;1740,37;5732,32
2013;CONFECCION;805009200;2,81;152,12;22,48;0,00;177,41;1,06;1770,79;0,00;0,00;0,00;1770,79;1,23;224,15;196,20;2,37;0,00;254,63;678,57;364,12;59,48;292,72;66,96;2,16;174,48;959,91;31,19;41,39;0,00;72,58;3660,31;231,40;0,00;0,00;147,22;57,54;0,00;0,00;850,00;215,76;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1501,93;5162,24;805,22;983,81;217,33;8,43;0,00;0,68;1,17;10,64;0,00;8,07;1,58;247,89;174,81;115,66;0,00;0,00;23,18;0,00;23,18;0,00;2350,58;1262,38;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1262,38;3612,95;954,76;0,00;0,00;0,00;954,76;0,00;106,44;72,99;0,00;68,76;346,34;0,00;0,00;1549,29;5162,24
2012;CONFECCION;805009200;4,40;86,48;0,06;0,00;90,94;12,25;1550,60;0,00;0,00;118,83;1431,77;0,00;140,24;97,87;18,06;0,00;32,56;288,72;255,60;150,71;434,88;90,98;2,09;27,04;961,30;0,00;0,00;0,00;0,00;2784,97;464,00;0,00;0,00;275,35;49,25;0,00;0,00;850,00;246,31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1884,92;4669,89;1790,78;924,10;141,88;5,16;71,91;2,06;0,84;34,05;0,00;7,27;8,65;271,82;99,44;94,56;0,00;0,00;8,67;0,00;8,67;0,00;3189,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3189,36;954,76;0,00;0,00;0,00;954,76;0,00;92,77;72,99;0,00;136,71;223,30;0,00;0,00;1480,53;4669,89
2011;CONFECCION;805009200;4,91;81,07;0,50;0,00;86,48;12,25;1580,52;0,00;127,39;70,00;1637,91;33,79;89,24;54,94;3,61;0,00;29,05;210,62;236,44;79,39;293,87;44,72;1,30;36,70;692,42;68,31;93,11;0,00;161,42;2801,09;455,00;0,00;0,00;0,00;45,42;0,00;0,00;850,00;61,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1411,49;4212,58;1662,47;890,02;101,00;4,07;0,00;1,56;0,64;22,18;0,00;5,89;11,29;146,63;74,89;64,86;28,81;0,00;6,53;0,00;6,53;0,00;2874,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2874,21;954,76;0,00;0,00;0,00;954,76;0,00;81,96;72,99;0,00;102,60;126,07;0,00;0,00;1338,37;4212,58
